State abbreviation,FIPS State code,State annual CO2 equivalent total output emission rate (lb/MWh),State_annual_CO2e_total_output_emission_rate(kgCO2e/GJ)
AK,02,814.457,102.621582
AL,01,713.976,89.960976
AR,05,998.414,125.800164
AZ,04,689.104,86.827104
CA,06,394.769,49.740894
CO,08,"1,091.078",137.475828
CT,09,540.674,68.124924
DC,11,395.011,49.771386
DE,10,704.171,88.725546
FL,12,789.133,99.430758
GA,13,717.445,90.39807
HI,15,"1,394.680",175.72968
IA,19,634.156,79.903656
ID,16,313.880,39.54888
IL,17,474.436,59.778936
IN,18,"1,465.502",184.653252
KS,20,733.284,92.393784
KY,21,"1,747.004",220.122504
LA,22,763.068,96.146568
MA,25,830.101,104.592726
MD,24,522.207,65.798082
ME,23,316.835,39.92121
MI,26,797.432,100.476432
MN,27,752.329,94.793454
MO,29,"1,454.593",183.278718
MS,28,828.274,104.362524
MT,30,"1,063.921",134.054046
NC,37,626.438,78.931188
ND,38,"1,297.852",163.529352
NE,31,"1,025.822",129.253572
NH,33,276.222,34.803972
NJ,34,470.168,59.241168
NM,35,773.637,97.478262
NV,32,643.859,81.126234
NY,36,466.616,58.793616
OH,39,"1,068.270",134.60202
OK,40,648.834,81.753084
OR,41,364.963,45.985338
PA,42,647.871,81.631746
PR,72,"1,548.530",195.11478
RI,44,840.004,105.840504
SC,45,560.363,70.605738
SD,46,335.582,42.283332
TN,47,661.166,83.306916
TX,48,771.179,97.168554
UT,49,"1,421.234",179.075484
VA,51,539.599,67.989474
VT,50,52.239,6.582114
WA,53,266.585,33.58971
WI,55,"1,163.572",146.610072
WV,54,"1,968.869",248.077494
WY,56,"1,833.263",230.991138
