Balancing Authority Name,Balancing Authority Code,BA annual CO2 equivalent total output emission rate (lb/MWh),State_annual_CO2e_total_output_emission_rate(kgCO2e/GJ)
"Alcoa Power Generating, Inc. - Yadkin Division",YAD,0,0
Arizona Public Service Company,AZPS,1457.392,183.631392
"Arlington Valley, LLC - AVBA",DEAA,873.897,110.111022
"Associated Electric Cooperative, Inc.",AECI,1292.208,162.818208
Avangrid Renewables LLC,AVRN,369.716,46.584216
Avista Corporation,AVA,363.542,45.806292
Balancing Authority of Northern California,BANC,384.072,48.393072
Bonneville Power Administration,BPAT,213.65,26.9199
California Independent System Operator,CISO,370.651,46.702026
Chugach Electric Assn Inc,CEA,829.964,104.575464
City of Homestead,HST,-26.607,-3.352482
"City of Tacoma, Department of Public Utilities, Light Division",TPWR,5.854,0.737604
City of Tallahassee,TAL,847.561,106.792686
Duke Energy Carolinas,DUK,486.302,61.274052
Duke Energy Florida Inc,FPC,972.803,122.573178
Duke Energy Progress East,CPLE,483.557,60.928182
Duke Energy Progress West,CPLW,0,0
El Paso Electric Company,EPE,1011.755,127.48113
"Electric Reliability Council of Texas, Inc.",ERCO,736.779,92.834154
Florida Municipal Power Pool,FMPP,1156.316,145.695816
Florida Power & Light Company,FPL,598.609,75.424734
Gainesville Regional Utilities,GVL,1585.184,199.733184
"Gridforce Energy Management, LLC",GRID,879.808,110.855808
Gridforce South,GRIS,0,0
"Griffith Energy, LLC",GRIF,861.901,108.599526
Hawaiian Electric Co Inc,HECO,1486.04,187.24104
ISO New England Inc.,ISNE,545.267,68.703642
Idaho Power Company,IPCO,225.324,28.390824
Imperial Irrigation District,IID,251.225,31.65435
JEA,JEA,1171.826,147.650076
LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,LGEE,1908.055,240.41493
Los Angeles Department of Water and Power,LDWP,1017.531,128.208906
"Midcontinent Independent Transmission System Operator, Inc..",MISO,987.438,124.417188
"NaturEner Power Watch, LLC (GWA)",GWA,0,0
"NaturEner Wind Watch, LLC",WWA,0,0
Nevada Power Company,NEVP,706.558,89.026308
New Brunswick System Operator,NBSO,173.292,21.834792
"New Harquahala Generating Company, LLC - HGBA",HGMA,833.526,105.024276
New York Independent System Operator,NYIS,480.66,60.56316
No balancing authority,NA,1847.164,232.742664
No balancing authority - AK,NA - AK,806.924,101.672424
No balancing authority - HI,NA - HI,1170.736,147.512736
No balancing authority - PR,NA - PR,1548.53,195.11478
NorthWestern Energy (NWMT),NWMT,1594.721,200.934846
"PJM Interconnection, LLC",PJM,719.405,90.64503
PUD No. 1 of Douglas County,DOPD,0,0
PacifiCorp - East,PACE,1418.897,178.781022
PacifiCorp - West,PACW,309.116,38.948616
Portland General Electric Company,PGE,796.14,100.31364
Public Service Company of Colorado,PSCO,806.261,101.588886
Public Service Company of New Mexico,PNM,394.657,49.726782
Public Utility District No. 1 of Chelan County,CHPD,0,0
"Public Utility District No. 2 of Grant County, Washington",GCPD,0,0
Puget Sound Energy,PSEI,642.683,80.978058
Salt River Project,SRP,552.707,69.641082
Seattle City Light,SCL,0.875,0.11025
Seminole Electric Cooperative,SEC,1213.68,152.92368
South Carolina Electric & Gas Company,SCEG,748.563,94.318938
South Carolina Public Service Authority,SC,1690.202,212.965452
Southeastern Power Administration,SEPA,0.08,0.01008
"Southern Company Services, Inc. - Trans",SOCO,846.471,106.655346
Southwest Power Pool,SWPP,876.354,110.420604
Southwestern Power Administration,SPA,521.771,65.743146
Tampa Electric Company,TEC,857.455,108.03933
Tennessee Valley Authority,TVA,643.921,81.134046
Tucson Electric Power Company,TEPC,1633.065,205.76619
Turlock Irrigation District,TIDC,772.958,97.392708
Western Area Power Administration - Desert Southwest Region,WALC,481.873,60.715998
Western Area Power Administration - Rocky Mountain Region,WACM,1882.276,237.166776
Western Area Power Administration UGP West,WAUW,0,0
