# Construction AdditionalProperties
,out_R10_Expanded_Polystyrene_EPS_Foam_Board,out_R10_Extruded_Polystyrene_XPS_Foam_Board,out_R10_Fiberglass_Batts,out_R10_Graphite_Polystyrene_GPS_Foam_Board,out_R10_Mineral_Wool_Heavy_Density_Blanket,out_R10_Mineral_Wool_Light_Density_Blanket,out_R10_Polyiso_Insulation_Foam_Board,out_R10_Pure_Wool_Batts,out_R15_Expanded_Polystyrene_EPS_Foam_Board,out_R15_Extruded_Polystyrene_XPS_Foam_Board,out_R15_Fiberglass_Batts,out_R15_Graphite_Polystyrene_GPS_Foam_Board,out_R15_Mineral_Wool_Heavy_Density_Blanket,out_R15_Mineral_Wool_Light_Density_Blanket,out_R15_Polyiso_Insulation_Foam_Board,out_R15_Pure_Wool_Batts,out_R20_Expanded_Polystyrene_EPS_Foam_Board,out_R20_Extruded_Polystyrene_XPS_Foam_Board,out_R20_Fiberglass_Batts,out_R20_Graphite_Polystyrene_GPS_Foam_Board,out_R20_Mineral_Wool_Heavy_Density_Blanket,out_R20_Mineral_Wool_Light_Density_Blanket,out_R20_Polyiso_Insulation_Foam_Board,out_R20_Pure_Wool_Batts,out_R5_Expanded_Polystyrene_EPS_Foam_Board,out_R5_Extruded_Polystyrene_XPS_Foam_Board,out_R5_Fiberglass_Batts,out_R5_Graphite_Polystyrene_GPS_Foam_Board,out_R5_Mineral_Wool_Heavy_Density_Blanket,out_R5_Mineral_Wool_Light_Density_Blanket,out_R5_Polyiso_Insulation_Foam_Board,out_R5_Pure_Wool_Batts
construction_handle,{f2223c95-5392-49e5-a694-cf27f8ce2f27},{4aa5eb6e-90f0-4cf8-bf61-db09df5471fa},{5b291502-c4f3-4980-acd4-05299eabbc12},{1e59af53-709a-40b1-a9c5-98e5686bf0ed},{3bfe5e57-e39f-4252-9c66-8aa8939285c7},{b287be94-f8bb-42d1-a081-41849619bfa8},{8e561ac4-7cd6-414d-82ba-18fcbe8953fd},{52f6395d-e962-409f-9e23-e80e3a373ddc},{7161b278-b9ad-422e-bed6-d954fa8c2601},{dce411c9-2cec-4ffd-9022-32e499413631},{ed3a9cb3-d706-4d10-bede-afed218700aa},{971b064f-fb37-4992-a8b4-4692627a56b0},{eb0dc4ea-2cb3-4dc1-a7c8-fa722cf2bf44},{fb0eeced-3c64-4ce9-a1f7-2a503a43f8de},{fb33c73d-6250-4cd7-a711-e02f9f653357},{5530178d-6144-4981-865f-a4b1e17d3186},{a520c89a-c42b-4ab2-a27c-4a8407e8cd5e},{7fac4583-c157-4e17-a332-ce6d6214fedb},{1ae30969-a0d4-4eca-a91c-362a0fdc704c},{6e0d2ba7-ffdd-4448-b595-0bdb46515724},{a6defe5f-728a-4c76-a2a9-d23c4a83686c},{c39bc077-2598-4b14-b471-9c45b9bc4228},{58178244-a931-427d-a7a2-792805c666f4},{b2dcabf4-64db-4ba4-902f-701e5179cd54},{48ee6f4d-2704-4c22-a934-cf555d4000c0},{456b1c79-7179-46c5-8625-b4cd6b38328c},{9340c81b-9d05-41a0-9d4e-befd78b12bcd},{e2e2d341-e405-4c45-b844-138ce232bfe1},{c45cf29c-e470-47c3-b15d-312e586c4103},{1f6894c6-4bde-4a87-84b6-3d1515329132},{063bd496-9abf-4041-9248-543e7dcdc758},{60197034-ec63-49e2-a28e-a655efdfe40e}
total_volume_m3,6.838317686451179,6.637190695673203,6.637190695673203,6.0338097233392745,6.436063704895227,6.436063704895227,5.028174769449396,8.045079631119034,14.867525410852673,14.430245251709946,14.430245251709946,13.11840477428177,13.992965092567221,13.992965092567221,10.932003978568142,17.491206365709026,22.89673313525417,22.223299807746695,22.223299807746695,20.202999825224264,21.549866480239217,21.549866480239217,16.835833187686887,26.937333100299025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_embodied_carbon_kgCO2eq,508.7708358719678,738.6452282245147,29.30201170644047,337.5031674047767,1387.8853468512762,1648.7618405617964,486.0568943315026,848.8890442547246,1106.143890567439,1605.9252002859469,63.70695595171899,733.7823639834207,3017.470320594287,3584.654835437753,1056.7603844892444,1845.6117447508207,1703.5169452629102,2473.2051723473796,98.11190019699752,1130.0615605620646,4647.055294337299,5520.547830313711,1627.4638746469861,2842.3344452469173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_insulation_r-value_ip,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
renovated_exterior_wall_area_m2,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207
original_insulation_r-value_ip,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652
insutlation_material_type,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts
insulation_material_thermal_conductivity_W_per_mK,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04
insulation_material_lifetime_years,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
