# Construction AdditionalProperties
insulation_material_gwp_per_m3,0.0,111.28883620988,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0,0.0,111.28883620988,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0,0.0,111.28883620988,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0,0.0,111.28883620988,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0
insulation_material_gwp_per_m2,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63
insulation_material_gwp_per_kg,3.72,12.13089076,0.8125334259000001,3.995381062,2.3960216998191677,2.8463944495,3.333333333,2.637913741,3.72,12.13089076,0.8125334259000001,3.995381062,2.3960216998191677,2.8463944495,3.333333333,2.637913741,3.72,12.13089076,0.8125334259000001,3.995381062,2.3960216998191677,2.8463944495,3.333333333,2.637913741,3.72,12.13089076,0.8125334259000001,3.995381062,2.3960216998191677,2.8463944495,3.333333333,2.637913741
insulation_material_density_kg_per_m3,20,35,30,20,90,90,35,40,20,35,30,20,90,90,35,40,20,35,30,20,90,90,35,40,20,35,30,20,90,90,35,40
construction_name,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1,Typical Insulated Exterior Mass Wall R-8.13 1
analysis_period_years,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
added_insulation_layer_thickness_m,0.02549822626090672,0.024748278429703577,0.024748278429703577,0.022498434936094158,0.02399833059850044,0.02399833059850044,0.018748695780078466,0.02999791324812555,0.05543695748689871,0.05380645873728404,0.05380645873728404,0.04891496248844004,0.05217595998766937,0.05217595998766937,0.0407624687403667,0.06521994998458672,0.08537568871289071,0.08286463904486452,0.08286463904486452,0.07533149004078592,0.08035358937683831,0.08035358937683831,0.06277624170065493,0.1004419867210479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
added_insulation_layer_mass_kg,136.7663537290236,232.3016743485621,199.1157208701961,120.67619446678549,579.2457334405705,579.2457334405705,175.98611693072885,321.8031852447614,297.35050821705346,505.05858380984813,432.9073575512984,262.3680954856354,1259.3668583310498,1259.3668583310498,382.620139249885,699.648254628361,457.9346627050834,777.8154932711343,666.6989942324009,404.05999650448535,1939.4879832215297,1939.4879832215297,589.2541615690411,1077.4933240119608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

# EnergyPlus Simulation Summary
,out_R10_Expanded_Polystyrene_EPS_Foam_Board,out_R10_Extruded_Polystyrene_XPS_Foam_Board,out_R10_Fiberglass_Batts,out_R10_Graphite_Polystyrene_GPS_Foam_Board,out_R10_Mineral_Wool_Heavy_Density_Blanket,out_R10_Mineral_Wool_Light_Density_Blanket,out_R10_Polyiso_Insulation_Foam_Board,out_R10_Pure_Wool_Batts,out_R15_Expanded_Polystyrene_EPS_Foam_Board,out_R15_Extruded_Polystyrene_XPS_Foam_Board,out_R15_Fiberglass_Batts,out_R15_Graphite_Polystyrene_GPS_Foam_Board,out_R15_Mineral_Wool_Heavy_Density_Blanket,out_R15_Mineral_Wool_Light_Density_Blanket,out_R15_Polyiso_Insulation_Foam_Board,out_R15_Pure_Wool_Batts,out_R20_Expanded_Polystyrene_EPS_Foam_Board,out_R20_Extruded_Polystyrene_XPS_Foam_Board,out_R20_Fiberglass_Batts,out_R20_Graphite_Polystyrene_GPS_Foam_Board,out_R20_Mineral_Wool_Heavy_Density_Blanket,out_R20_Mineral_Wool_Light_Density_Blanket,out_R20_Polyiso_Insulation_Foam_Board,out_R20_Pure_Wool_Batts,out_R5_Expanded_Polystyrene_EPS_Foam_Board,out_R5_Extruded_Polystyrene_XPS_Foam_Board,out_R5_Fiberglass_Batts,out_R5_Graphite_Polystyrene_GPS_Foam_Board,out_R5_Mineral_Wool_Heavy_Density_Blanket,out_R5_Mineral_Wool_Light_Density_Blanket,out_R5_Polyiso_Insulation_Foam_Board,out_R5_Pure_Wool_Batts
building_name,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice
environment,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695
simulation_hours,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00
total_site_energy_GJ,224.12,224.12,224.12,224.12,224.12,224.12,224.12,224.12,218.92,218.92,218.92,218.92,218.92,218.92,218.92,218.92,216.07,216.07,216.07,216.07,216.07,216.07,216.07,216.07,232.11,232.11,232.11,232.11,232.11,232.11,232.11,232.11
net_site_energy_GJ,224.12,224.12,224.12,224.12,224.12,224.12,224.12,224.12,218.92,218.92,218.92,218.92,218.92,218.92,218.92,218.92,216.07,216.07,216.07,216.07,216.07,216.07,216.07,216.07,232.11,232.11,232.11,232.11,232.11,232.11,232.11,232.11
total_source_energy_GJ,548.04,548.04,548.04,548.04,548.04,548.04,548.04,548.04,542.41,542.41,542.41,542.41,542.41,542.41,542.41,542.41,539.59,539.59,539.59,539.59,539.59,539.59,539.59,539.59,558.67,558.67,558.67,558.67,558.67,558.67,558.67,558.67
net_source_energy_GJ,548.04,548.04,548.04,548.04,548.04,548.04,548.04,548.04,542.41,542.41,542.41,542.41,542.41,542.41,542.41,542.41,539.59,539.59,539.59,539.59,539.59,539.59,539.59,539.59,558.67,558.67,558.67,558.67,558.67,558.67,558.67,558.67
total_building_area_m2,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52
net_conditioned_building_area_m2,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52
