epd_name,gwp_per_kg (kg CO2 eq/kg),Material Category
FOAMULAR® XPS Insulation - 600,74.95049505,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® XPS Insulation - 400,74.57831325,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® XPS Insulation - 1000,95.29128261,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® NGX™150 XPS Insulation,9.686117786,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® NGX™ 600 XPS Insulation,16.38996386,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® NGX™ 350 XPS Insulation,12.6683895,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® NGX™ C-300 XPS Insulation,11.91655629,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® NGX™ 250 XPS Insulation,11.54063969,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® NGX™ C-200 & CodeBord XPS Insulation,10.80133704,Extruded Polystyrene (XPS) Foam Board
Thermafiber Mineral Wool - Joplin FireSpan 90 (Heavy Density),2.3660714285714284,Mineral Wool Heavy Density Blanket
Thermafiber Mineral Wool Light and Heavy Density Mineral Wool Insulation,4.258928571,Mineral Wool Heavy Density Blanket
Thermafiber Formaldehyde-Free Mineral Wool Light and Heavy Density Mineral Wool,1.136363636,Mineral Wool Heavy Density Blanket
Thermafiber Mineral Wool Light and Heavy Density Mineral Wool Insulation,4.258928571,Mineral Wool Light Density Blanket
Thermafiber Mineral Wool Insulation - light density batt - unfaced,2.839285714,Mineral Wool Light Density Blanket
Thermafiber Mineral Wool Insulation - light density batt - faced,2.982954545,Mineral Wool Light Density Blanket
Thermafiber Mineral Wool Insulation - light density batt - faced,2.982954545,Mineral Wool Light Density Blanket
Thermafiber Mineral Wool Insulation - light density batt - unfaced,2.839285714,Mineral Wool Light Density Blanket
Thermafiber Formaldehyde-Free Mineral Wool Light and Heavy Density Mineral Wool,1.136363636,Mineral Wool Light Density Blanket
Thermafiber Formaldehyde-Free Mineral Wool Insulation - light density batt - faced,2.853503185,Mineral Wool Light Density Blanket
Thermafiber Formaldehyde-Free Mineral Wool Insulation - light density batt - unfaced,2.547770701,Mineral Wool Light Density Blanket
"Fiberglass batts (faced), McPherson",0.946327684,Fiberglass Batts
"Fiberglass batts (faced), Penbryn",0.620762712,Fiberglass Batts
"Fiberglass batts (unfaced), McPherson",0.934308684,Fiberglass Batts
Fiberglass batts (faced),0.798022599,Fiberglass Batts
#merge_to_ec3hh16y Fiberglass Batts (Unfaced),2.550505051,Fiberglass Batts
Fiberglass batts (unfaced),0.827044253,Fiberglass Batts
®Sustainable Insulation Fiberglass Building Insulation Batts - Canada,9.852941176,Fiberglass Batts
Sustainable Insulation® Fiberglass Building Insulation Batts - Canada,6.875757576,Fiberglass Batts
Sustainable Insulation® Fiberglass Building Insulation Batts - Canada,0.358928571,Fiberglass Batts
Sustainable Insulation® Fiberglass Building Insulation Batts - Canada,0.358928571,Fiberglass Batts
Batts Insulation Wool,2.637913741,Pure Wool Batts
