epd_name,gwp_per_kg (kg CO2 eq/kg),Material Category
Loose-Fill Cellulose Insulation,0.8377773954928608,Blown Cellulose
AFT Carbon Smart™ Loose-Fill Cellulose Insulation,0.405208333,Blown Cellulose
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",2.241463415,Blown Fiberglass
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",2.24738676,Blown Fiberglass
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",2.24738676,Blown Fiberglass
Fiberglass Loose Fill Insulation,2.225641026,Blown Fiberglass
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",1.785714286,Blown Fiberglass
Thermafiber Mineral Wool Unbonded Loosefill,3.463087248,Blown Mineral Wool
Polyiso Roof Insulation Boards,2.494089835,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,2.640661939,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,2.411347518,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,2.121949274,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,2.494089835,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board with GRF Facer,2.96834925,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,0.110820244,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,3.333333333,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,3.333333333,Polyiso Insulation Foam Board
Neopor® Plus Graphite Polystyrene Insulation,3.97808,Graphite Polystyrene (GPS) Foam Board
Neopor® Plus Graphite Polystyrene Insulation,3.995381062,Graphite Polystyrene (GPS) Foam Board
Neopor® Plus Graphite Polystyrene Insulation,3.995381062,Graphite Polystyrene (GPS) Foam Board
Neopor® Plus Graphite Polystyrene Insulation,3.995381062,Graphite Polystyrene (GPS) Foam Board
EPS Insulation,3.72,Expanded Polystyrene (EPS) Foam Board
FOAMULAR® NGX™ 1000 XPS Insulation,12.34522523,Extruded Polystyrene (XPS) Foam Board
"XPS Insulation Board, 25 psi Standard",4.423283984,Extruded Polystyrene (XPS) Foam Board
"XPS Insulation Board, 40 psi, Standard",4.23912037,Extruded Polystyrene (XPS) Foam Board
"XPS Insulation Board, 60 psi low-GWP",3.90862069,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® XPS Insulation - Average,30.545454545454547,Extruded Polystyrene (XPS) Foam Board
"XPS Insulation Board, 25 psi Low-GWP",4.093544858,Extruded Polystyrene (XPS) Foam Board
"XPS Insulation Board, 40 psi, Low-GWP",4.067349138,Extruded Polystyrene (XPS) Foam Board
"XPS Insulation Board, 60 psi standard",3.947264957,Extruded Polystyrene (XPS) Foam Board
"Declaration XPS Insulation Boards, 60 PSI _ Waa) 2 by SCS GLOBAL SERVICES 7 y r_ ""a e ENVIRONMENTAL ",51.72413793,Extruded Polystyrene (XPS) Foam Board
"XPS Insulation Board, 40 psi, Standard",3.858836207,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® NGX™ 400 XPS Insulation,12.37792521,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® XPS Insulation - 250,74.54545455,Extruded Polystyrene (XPS) Foam Board
FOAMULAR® XPS Insulation - 150,74.5,Extruded Polystyrene (XPS) Foam Board
