Scenario,Target_R_Value_IP,Original_R_Value_IP,Insulation_Material,Total_Embodied_Carbon_kgCO2eq,Total_Operational_Carbon_kgCO2e,Total_Site_Energy_GJ,Renovated_Roof_Area_m2,Total_Volume_m3,Material_Density_kg_per_m3,Material_Thermal_Conductivity_W_per_mK,Material_GWP_per_m3,Material_GWP_per_kg,Material_Lifetime_years
out_R24.4_Blown_Cellulose,24.4,14.755768664463385,Blown Cellulose,322.2485109967992,18520.89,218.93,464.5151999999988,31.558184455704062,25.2,0.04,10.21124999916,0.6214928643964304,30
out_R24.4_Blown_Fiberglass,24.4,14.755768664463385,Blown Fiberglass,1753.0420274812843,18520.89,218.93,464.5151999999988,26.035502175955852,30.0,0.033,0.0,2.2444250875,30
out_R24.4_Blown_Mineral_Wool,24.4,14.755768664463385,Blown Mineral Wool,7868.789723417799,18520.89,218.93,464.5151999999988,25.246547564563247,90.0,0.032,0.0,3.463087248,30
out_R24.4_Expanded_Polystyrene_EPS_Foam_Board,24.4,14.755768664463385,Expanded Polystyrene (EPS) Foam Board,1995.7395849787254,18520.89,218.93,464.5151999999988,26.824456787348456,20.0,0.034,0.0,3.72,30
out_R24.4_Extruded_Polystyrene_XPS_Foam_Board,24.4,14.755768664463385,Extruded Polystyrene (XPS) Foam Board,7581.682670777188,18520.89,218.93,464.5151999999988,26.035502175955852,25.63,0.033,291.20554769936325,12.13089076,30
out_R24.4_Fiberglass_Batts,24.4,14.755768664463385,Fiberglass Batts,114.94209290087835,18520.89,218.93,464.5151999999988,26.035502175955852,12.3,0.033,4.414821428220001,0.8125334259000001,30
out_R24.4_Graphite_Polystyrene_GPS_Foam_Board,24.4,14.755768664463385,Graphite Polystyrene (GPS) Foam Board,1323.9132115169389,18520.89,218.93,464.5151999999988,23.668638341778042,14.0,0.03,55.935334868,3.995381062,30
out_R24.4_Mineral_Wool_Heavy_Density_Blanket,24.4,14.755768664463385,Mineral Wool Heavy Density Blanket,6152.718890846016,18520.89,218.93,464.5151999999988,25.246547564563247,103.0,0.032,0.0,2.3660714285714284,30
out_R24.4_Mineral_Wool_Light_Density_Blanket,24.4,14.755768664463385,Mineral Wool Light Density Blanket,3492.4753568409938,18520.89,218.93,464.5151999999988,25.246547564563247,48.6,0.032,0.0,2.8463944495,30
out_R24.4_Polyiso_Insulation_Foam_Board,24.4,14.755768664463385,Polyiso Insulation Foam Board,1906.64031067479,18520.89,218.93,464.5151999999988,19.72386528481504,29.0,0.025,96.66666665700001,3.333333333,30
out_R24.4_Pure_Wool_Batts,24.4,14.755768664463385,Pure Wool Batts,2079.5292550495246,18520.89,218.93,464.5151999999988,31.558184455704062,24.98,0.04,0.0,2.637913741,30
out_R27.0_Blown_Cellulose,27.000000000000004,14.755768664463385,Blown Cellulose,409.12387715526353,18402.99,216.71,464.5151999999988,40.06599360400725,25.2,0.04,10.21124999916,0.6214928643964304,30
out_R27.0_Blown_Fiberglass,27.000000000000004,14.755768664463385,Blown Fiberglass,2225.6467497110975,18402.99,216.71,464.5151999999988,33.05444472330598,30.0,0.033,0.0,2.2444250875,30
out_R27.0_Blown_Mineral_Wool,27.000000000000004,14.755768664463385,Blown Mineral Wool,9990.146270051066,18402.99,216.71,464.5151999999988,32.05279488320579,90.0,0.032,0.0,3.463087248,30
out_R27.0_Expanded_Polystyrene_EPS_Foam_Board,27.000000000000004,14.755768664463385,Expanded Polystyrene (EPS) Foam Board,2533.7734355174184,18402.99,216.71,464.5151999999988,34.056094563406155,20.0,0.034,0.0,3.72,30
out_R27.0_Extruded_Polystyrene_XPS_Foam_Board,27.000000000000004,14.755768664463385,Extruded Polystyrene (XPS) Foam Board,9625.637679548645,18402.99,216.71,464.5151999999988,33.05444472330598,25.63,0.033,291.20554769936325,12.13089076,30
out_R27.0_Fiberglass_Batts,27.000000000000004,14.755768664463385,Fiberglass Batts,145.92947086236475,18402.99,216.71,464.5151999999988,33.05444472330598,12.3,0.033,4.414821428220001,0.8125334259000001,30
out_R27.0_Graphite_Polystyrene_GPS_Foam_Board,27.000000000000004,14.755768664463385,Graphite Polystyrene (GPS) Foam Board,1680.8285767944683,18402.99,216.71,464.5151999999988,30.049495203005428,14.0,0.03,55.935334868,3.995381062,30
out_R27.0_Mineral_Wool_Heavy_Density_Blanket,27.000000000000004,14.755768664463385,Mineral Wool Heavy Density Blanket,7811.437824438411,18402.99,216.71,464.5151999999988,32.05279488320579,103.0,0.032,0.0,2.3660714285714284,30
out_R27.0_Mineral_Wool_Light_Density_Blanket,27.000000000000004,14.755768664463385,Mineral Wool Light Density Blanket,4434.016015900822,18402.99,216.71,464.5151999999988,32.05279488320579,48.6,0.032,0.0,2.8463944495,30
out_R27.0_Polyiso_Insulation_Foam_Board,27.000000000000004,14.755768664463385,Polyiso Insulation Foam Board,2420.6537800000388,18402.99,216.71,464.5151999999988,25.041246002504526,29.0,0.025,96.66666665700001,3.333333333,30
out_R27.0_Pure_Wool_Batts,27.000000000000004,14.755768664463385,Pure Wool Batts,2640.1520641692246,18402.99,216.71,464.5151999999988,40.06599360400725,24.98,0.04,0.0,2.637913741,30
out_R32.3_Blown_Cellulose,32.3,14.755768664463385,Blown Cellulose,586.2159697090558,18220.62,213.24,464.5151999999988,57.40883532939446,25.2,0.04,10.21124999916,0.6214928643964304,30
out_R32.3_Blown_Fiberglass,32.3,14.755768664463385,Blown Fiberglass,3189.033298871869,18220.62,213.24,464.5151999999988,47.362289146750435,30.0,0.033,0.0,2.2444250875,30
out_R32.3_Blown_Mineral_Wool,32.3,14.755768664463385,Blown Mineral Wool,14314.449999726563,18220.62,213.24,464.5151999999988,45.927068263515565,90.0,0.032,0.0,3.463087248,30
