Scenario,Target_R_Value_IP,Original_R_Value_IP,Insulation_Material,Total_Embodied_Carbon_kgCO2eq,Total_Operational_Carbon_kgCO2e,Total_Site_Energy_GJ,Renovated_Roof_Area_m2,Total_Volume_m3,Material_Density_kg_per_m3,Material_Thermal_Conductivity_W_per_mK,Material_GWP_per_m3,Material_GWP_per_kg,Material_Lifetime_years
out_R32.3_Expanded_Polystyrene_EPS_Foam_Board,32.3,14.755768664463385,Expanded Polystyrene (EPS) Foam Board,3630.534746230906,18220.62,213.24,464.5151999999988,48.7975100299853,20.0,0.034,0.0,3.72,30
out_R32.3_Extruded_Polystyrene_XPS_Foam_Board,32.3,14.755768664463385,Extruded Polystyrene (XPS) Foam Board,13792.161351275068,18220.62,213.24,464.5151999999988,47.362289146750435,25.63,0.033,291.20554769936325,12.13089076,30
out_R32.3_Fiberglass_Batts,32.3,14.755768664463385,Fiberglass Batts,209.09604901462538,18220.62,213.24,464.5151999999988,47.362289146750435,12.3,0.033,4.414821428220001,0.8125334259000001,30
out_R32.3_Graphite_Polystyrene_GPS_Foam_Board,32.3,14.755768664463385,Graphite Polystyrene (GPS) Foam Board,2408.386821398661,18220.62,213.24,464.5151999999988,43.05662649704585,14.0,0.03,55.935334868,3.995381062,30
out_R32.3_Mineral_Wool_Heavy_Density_Blanket,32.3,14.755768664463385,Mineral Wool Heavy Density Blanket,11192.672573684438,18220.62,213.24,464.5151999999988,45.927068263515565,103.0,0.032,0.0,2.3660714285714284,30
out_R32.3_Mineral_Wool_Light_Density_Blanket,32.3,14.755768664463385,Mineral Wool Light Density Blanket,6353.310436292006,18220.62,213.24,464.5151999999988,45.927068263515565,48.6,0.032,0.0,2.8463944495,30
out_R32.3_Polyiso_Insulation_Foam_Board,32.3,14.755768664463385,Polyiso Insulation Foam Board,3468.450467470737,18220.62,213.24,464.5151999999988,35.880522080871536,29.0,0.025,96.66666665700001,3.333333333,30
out_R32.3_Pure_Wool_Batts,32.3,14.755768664463385,Pure Wool Batts,3782.960098143994,18220.62,213.24,464.5151999999988,57.40883532939446,24.98,0.04,0.0,2.637913741,30
out_R34.5_Blown_Cellulose,34.50000000000001,14.755768664463385,Blown Cellulose,659.7258949200642,18160.66,212.10,464.5151999999988,64.6077507625741,25.2,0.04,10.21124999916,0.6214928643964304,30
out_R34.5_Blown_Fiberglass,34.50000000000001,14.755768664463385,Blown Fiberglass,3588.9296022970966,18160.66,212.10,464.5151999999988,53.30139437912363,30.0,0.033,0.0,2.2444250875,30
out_R34.5_Blown_Mineral_Wool,34.50000000000001,14.755768664463385,Blown Mineral Wool,16109.44400072395,18160.66,212.10,464.5151999999988,51.68620061005928,90.0,0.032,0.0,3.463087248,30
out_R34.5_Expanded_Polystyrene_EPS_Foam_Board,34.50000000000001,14.755768664463385,Expanded Polystyrene (EPS) Foam Board,4085.7941582251865,18160.66,212.10,464.5151999999988,54.91658814818799,20.0,0.034,0.0,3.72,30
out_R34.5_Extruded_Polystyrene_XPS_Foam_Board,34.50000000000001,14.755768664463385,Extruded Polystyrene (XPS) Foam Board,15521.661743312457,18160.66,212.10,464.5151999999988,53.30139437912363,25.63,0.033,291.20554769936325,12.13089076,30
out_R34.5_Fiberglass_Batts,34.50000000000001,14.755768664463385,Fiberglass Batts,235.3161380589601,18160.66,212.10,464.5151999999988,53.30139437912363,12.3,0.033,4.414821428220001,0.8125334259000001,30
out_R34.5_Graphite_Polystyrene_GPS_Foam_Board,34.50000000000001,14.755768664463385,Graphite Polystyrene (GPS) Foam Board,2710.392130479648,18160.66,212.10,464.5151999999988,48.45581307193057,14.0,0.03,55.935334868,3.995381062,30
out_R34.5_Mineral_Wool_Heavy_Density_Blanket,34.50000000000001,14.755768664463385,Mineral Wool Heavy Density Blanket,12596.203979031858,18160.66,212.10,464.5151999999988,51.68620061005928,103.0,0.032,0.0,2.3660714285714284,30
out_R34.5_Mineral_Wool_Light_Density_Blanket,34.50000000000001,14.755768664463385,Mineral Wool Light Density Blanket,7149.998686265711,18160.66,212.10,464.5151999999988,51.68620061005928,48.6,0.032,0.0,2.8463944495,30
out_R34.5_Polyiso_Insulation_Foam_Board,34.50000000000001,14.755768664463385,Polyiso Insulation Foam Board,3903.384941515181,18160.66,212.10,464.5151999999988,40.37984422660882,29.0,0.025,96.66666665700001,3.333333333,30
out_R34.5_Pure_Wool_Batts,34.50000000000001,14.755768664463385,Pure Wool Batts,4257.3332443222025,18160.66,212.10,464.5151999999988,64.6077507625741,24.98,0.04,0.0,2.637913741,30
out_R38.5_Blown_Cellulose,38.50000000000001,14.755768664463385,Blown Cellulose,793.3803043946244,18073.04,210.39,464.5151999999988,77.69668791380974,25.2,0.04,10.21124999916,0.6214928643964304,30
out_R38.5_Blown_Fiberglass,38.50000000000001,14.755768664463385,Blown Fiberglass,4316.013790342962,18073.04,210.39,464.5151999999988,64.09976752889304,30.0,0.033,0.0,2.2444250875,30
out_R38.5_Blown_Mineral_Wool,38.50000000000001,14.755768664463385,Blown Mineral Wool,19373.069457082816,18073.04,210.39,464.5151999999988,62.157350331047795,90.0,0.032,0.0,3.463087248,30
out_R38.5_Expanded_Polystyrene_EPS_Foam_Board,38.50000000000001,14.755768664463385,Expanded Polystyrene (EPS) Foam Board,4913.538543669329,18073.04,210.39,464.5151999999988,66.04218472673828,20.0,0.034,0.0,3.72,30
out_R38.5_Extruded_Polystyrene_XPS_Foam_Board,38.50000000000001,14.755768664463385,Extruded Polystyrene (XPS) Foam Board,18666.207910653156,18073.04,210.39,464.5151999999988,64.09976752889304,25.63,0.033,291.20554769936325,12.13089076,30
out_R38.5_Fiberglass_Batts,38.50000000000001,14.755768664463385,Fiberglass Batts,282.9890272304776,18073.04,210.39,464.5151999999988,64.09976752889304,12.3,0.033,4.414821428220001,0.8125334259000001,30
out_R38.5_Graphite_Polystyrene_GPS_Foam_Board,38.50000000000001,14.755768664463385,Graphite Polystyrene (GPS) Foam Board,3259.4926924450765,18073.04,210.39,464.5151999999988,58.2725159353573,14.0,0.03,55.935334868,3.995381062,30
out_R38.5_Mineral_Wool_Heavy_Density_Blanket,38.50000000000001,14.755768664463385,Mineral Wool Heavy Density Blanket,15148.079261481693,18073.04,210.39,464.5151999999988,62.157350331047795,103.0,0.032,0.0,2.3660714285714284,30
out_R38.5_Mineral_Wool_Light_Density_Blanket,38.50000000000001,14.755768664463385,Mineral Wool Light Density Blanket,8598.522777126982,18073.04,210.39,464.5151999999988,62.157350331047795,48.6,0.032,0.0,2.8463944495,30
out_R38.5_Polyiso_Insulation_Foam_Board,38.50000000000001,14.755768664463385,Polyiso Insulation Foam Board,4694.174894323255,18073.04,210.39,464.5151999999988,48.56042994613109,29.0,0.025,96.66666665700001,3.333333333,30
out_R38.5_Pure_Wool_Batts,38.50000000000001,14.755768664463385,Pure Wool Batts,5119.829873737123,18073.04,210.39,464.5151999999988,77.69668791380974,24.98,0.04,0.0,2.637913741,30
