Metric,Material Category,Component Type,Count,Min,Max,Mean,Median,Std Dev,Q1 (25th percentile),Q3 (75th percentile)
density,Casement Window,whole window,1,2400.0,2400.0,2400.0,2400.0,0.0,2400.0,2400.0
density,Fixed Window,whole window,1,2700.0,2700.0,2700.0,2700.0,0.0,2700.0,2700.0
density,Insulating Glazing Unit - Double Pane,glass pane,4,2500.0,2500.0,2500.0,2500.0,0.0,2500.0,2500.0
density,Insulating Glazing Unit - Triple Pane,glass pane,4,2500.0,2500.0,2500.0,2500.0,0.0,2500.0,2500.0
density,Processed Non-Insulating Glass Panes,glass pane,2,2500.0,2530.0,2515.0,2515.0,15.0,2507.5,2522.5
density,Project Window,whole window,1,2400.0,2400.0,2400.0,2400.0,0.0,2400.0,2400.0
density,Storefront Window,whole window,1,2400.0,2400.0,2400.0,2400.0,0.0,2400.0,2400.0
density,Window Perimeter Caulking - Sealant Acrylic,window perimeter caulking,1,1610.0,1610.0,1610.0,1610.0,0.0,1610.0,1610.0
density,Window Perimeter Caulking - Single-Ply Polyurethane,window perimeter caulking,1,1400.0,1400.0,1400.0,1400.0,0.0,1400.0,1400.0
reference_service_life,Insulating Glazing Unit - Double Pane,glass pane,1,30.0,30.0,30.0,30.0,0.0,30.0,30.0
gwp_per_declared_unit,Casement Window,whole window,6,106.0,4840.0,2483.5116666666668,2495.0,2356.5227672032415,131.3025,4840.0
gwp_per_declared_unit,Fixed Window,whole window,7,2.65,293.2286,120.18917599999999,94.39,87.74754722065421,81.33281600000001,144.195
gwp_per_declared_unit,Insulating Glazing Unit - Double Pane,glass pane,8,38.1,694.0,241.51375000000002,58.7,257.3046522576642,50.625,454.03249999999997
gwp_per_declared_unit,Insulating Glazing Unit - Triple Pane,glass pane,7,38.1,582.0,218.11428571428573,90.9,227.77386924360763,74.95,332.95
gwp_per_declared_unit,Processed Non-Insulating Glass Panes,glass pane,3,26.7,577.0,213.60000000000002,37.1,256.99767832933173,31.9,307.05
gwp_per_declared_unit,Project Window,whole window,6,125.07,4840.0,2514.7164333333335,2566.6143,2325.873781194845,185.80714999999998,4840.0
gwp_per_declared_unit,Sliding Window,whole window,3,1.7,295.28,161.66,188.0,121.29207393725278,94.85,241.64
gwp_per_declared_unit,Storefront Window,whole window,2,150.0,164.35,157.175,157.175,7.174999999999997,153.5875,160.7625
gwp_per_declared_unit,Window Perimeter Caulking - Sealant Acrylic,window perimeter caulking,1,1.7,1.7,1.7,1.7,0.0,1.7,1.7
gwp_per_declared_unit,Window Perimeter Caulking - Single-Ply Polyurethane,window perimeter caulking,1,3.67,3.67,3.67,3.67,0.0,3.67,3.67
gwp_per_declared_unit,Wood Window Frame,window frame,36,77.05,126.14,100.805,102.52000000000001,12.256811371641485,90.8575,108.6925
