epd_name,declared_unit,gwp_per_declared_unit,mass_per_declared_unit,thickness,thickness_per_declared_unit,density,reference_service_life,gwp_per_m3 (kg CO2 eq/m3),gwp_per_m2 (kg CO2 eq/m2),gwp_per_kg (kg CO2 eq/kg),gwp_per_unit (kg CO2 eq/unit),mass_per_area,original_ec3_link,description,Material Category,Component Type
Monolithic Glass,1 m2,37.1 kgCO2e,15.1 kg,6 mm,,2500 kg / m3,,6183.333333333333,37.1,2.456953642,0.0,0.0,https://buildingtransparency.org/ec3/organizations/89494e685cb245bba17eeaefbcce5c8f,"Monolithic Glass is processed glass made of flat glass, which can be tempered or heat strengthened, that meet ASTM C1036-21 Standard Specification for Flat Glass. The glass can be coated with ceramic or silicone opacifying coating.",Processed Non-Insulating Glass Panes,glass pane
#split Curtainwall Series with Pyrostop Monolithic Glass 120-202,1 m²,577 kgCO2e,,,,,,0.0,577.0,0.0,0.0,0.0,https://buildingtransparency.org/ec3/organizations/d5a3c2198a9e4b3f918e6a5f5a40a1ef,"The Fireframes® Curtainwall Series allows for large, multi-story expanses of glass using narrow steel profiles and
Pilkington Pyrostop® fire-resistive-rated glass, composed of Pilkington Optiwhite™ glass and clear intumescent
interlayers. An alternative to solid walls, the fire-rated curtain wall system provides clear sightlines while blocking the
spread of flames and protecting against the transfer of radiant and conductive heat transfer. Suitable for interior and
exterior applications. The product is field-erected..",Processed Non-Insulating Glass Panes,glass pane
LAURIER Monolithic Glass,1 m2,26.7 kgCO2e,16.2 kg,6.36 mm,,2530 kg / m3,,4198.11320754717,26.7,1.648148148,0.0,0.0,https://buildingtransparency.org/ec3/organizations/20359008822b4cd08ddfea563616c0c2,A coated or uncoated tempered flat glass,Processed Non-Insulating Glass Panes,glass pane
SageGlass Electrochromic Insulating Glass Unit Double Pane and Double Pane VARIO,1 m2,413.71 kgCO2e,,,,,,0.0,413.71,0.0,0.0,0.0,https://buildingtransparency.org/ec3/organizations/4f0f4939d54945a08051f4c048ac71c0,"The SageGlass electrochromic insulating glass unit (IGU) is a type of dynamic glazing for use in buildings which tintsautomatically or on demand to control sunlight admission, controlling heat and glare, while maintaining a view to theoutdoors and reducing energy consumption.",Insulating Glazing Unit - Double Pane,glass pane
Vitro Architectural Double-pane and Triple-Pane IGU Processed Glass Products,1 m2,38.1 kgCO2e,46.1 kg,,,2500 kg / m3,,2066.1605205,38.1,0.8264642082,0.0,0.0,https://buildingtransparency.org/ec3/organizations/9b4acf8e1121459caab5e7c71c64be81,This declaration encompasses all coated and/or heat-treated glasses manufactured by Vitro Glass whether they are used monolithically (in single-pane windows) or combined with other Vitro Architectural Glass products in double- or triple-pane IGUs.,Insulating Glazing Unit - Double Pane,glass pane
Vitro Architectural Glass Processed Glass Products - Double-pane IGU,1 m2,58.7 kgCO2e,30.7 kg,,,,,0.0,58.7,1.912052117,0.0,0.0,https://buildingtransparency.org/ec3/organizations/9b4acf8e1121459caab5e7c71c64be81,"Product Name: Vitro Architectural Processed GlassProduct Definition: This declaration encompasses all coated and/or heat-treated glasses manufactured by Vitro Glass whether they are used monolithically (in single-pane windows) or combined with other Vitro Architectural Glass products in double- or triple-pane IGUs.Product brands covered under this declaration are listed below. They include architectural glass products processed with coatings over clear, ultra-clear (including Acuity™ glass) and tinted glass substrates:Solarban® 60 solar control low-e glass Solarban® 67 solar control low-e glass Solarban® 70 solar control low-e glass (formerly Solarban® 70XL glass) Solarban® 72 solar control low-e glass Solarban® R77 solar control low-e glass Solarban® 90 solar control low-e glass  Solarban® 90 solar control low-e glass Solarban® z50 solar control low-e glass Solarban® z75 solar control low-e glass Solarban® R100 solar control low-e glass Sungate® 400 passive low-e glass Sungate® 460 passive low-e glass Vistacool® subtly reflective tinted glasses Solarcool® reflective tinted glasses Clarvista® shower glass Herculite® tempered glass Declaration Type: Business-to-businessPeriod of Validity: This declaration is valid for a period of five years from the date of publication.Geographic Scope: This declaration is valid for Vitro Architectural Glass products sold worldwide.",Insulating Glazing Unit - Double Pane,glass pane
Processed glass products - double pane,1 m2,58.7 kgCO2e,30.7 kg,,,2500 kg / m3,,4780.1302925,58.7,1.912052117,0.0,0.0,https://buildingtransparency.org/ec3/organizations/9b4acf8e1121459caab5e7c71c64be81,"The declared products validated in this document are processed glass products manufactured by Vitro Glass that are commonly used for windows, glass doors and walls. All processed glass utilizes the upstream data included in Float Glass EPD published by Vitro Glass (ASTM-EPD #061) and verified through ASTM International against the NSF GANA PCR for Float Glass - UNCPC 3711. The declared glass products are available in a range of thicknesses and treatment options. While designed for a wide range of commercial, institutional and residential building applications, the thicknesses selected for this declaration are representative primarily of commercial building applications.",Insulating Glazing Unit - Double Pane,glass pane
"Insulating glass - double pane, tempered",1 m2,54.3 kgCO2e,15.3 kg,3 mm,,,,18100.0,54.3,3.549019608,0.0,0.0,https://buildingtransparency.org/ec3/organizations/1db5e05eaf8f4b1a8be98259f88748e9,"Multi-pane insulating glass units (IGU) are used to improve the energy efficiency of windows. Low-E coatings and argon gas fills can be used to further enhance the glazing performance. Tempered and/or laminated glass can be incorporated to address life safety glazing issues. Seal durability, both in material selection and manufacturing quality, is critical to the long term performance of the IGU. Note: this is specific to the double pane product.",Insulating Glazing Unit - Double Pane,glass pane
"Insulating glass - double pane, annealed",1 m2,39.6 kgCO2e,15.6 kg,3 mm,,,,13200.0,39.6,2.538461538,0.0,0.0,https://buildingtransparency.org/ec3/organizations/1db5e05eaf8f4b1a8be98259f88748e9,"Multi-pane insulating glass units (IGU) are used to improve the energy efficiency of windows. Low-E coatings and argon gas fills can be used to further enhance the glazing performance. Tempered and/or laminated glass can be incorporated to address life safety glazing issues. Seal durability, both in material selection and manufacturing quality, is critical to the long term performance of the IGU. Note: this is specific to the double pane product.",Insulating Glazing Unit - Double Pane,glass pane
"TSM-DEG15M.20(II), TSM-DEG15MC.20(II), TSM-DEG17M.20(II),TSM-DEG17MC.20(II) PV Double Glass Panels",1 kWh,,,,,,30 year,0.0,0.0,0.0,0.0,0.0,https://buildingtransparency.org/ec3/organizations/3d738b47a5d14048b41eeff17d2461b1,"1.2.1 Product Identification
The Trina Solar’s PV modules under analysis integrate various technologies like half-cut cells and multi-busbar, with
the highest power up to 455W and up to 20.8% module efficiency. Besides, the unique circuit design of half-cut cells
can reduce power loss caused by ribbon resistance to 1/4 compared to full cells, which results the decrease of
electrical resistance within the ribbon and finally improves the overall module efficiency by more than 2%. Application
of this modules can remarkably reduce the number of modules employed in a power station, thus lowering the
corresponding cost of supports, cables, construction and land, improving the return on investment.",Insulating Glazing Unit - Double Pane,glass pane
