epd_name,declared_unit,gwp_per_declared_unit,mass_per_declared_unit,thickness,thickness_per_declared_unit,density,reference_service_life,gwp_per_m3 (kg CO2 eq/m3),gwp_per_m2 (kg CO2 eq/m2),gwp_per_kg (kg CO2 eq/kg),gwp_per_unit (kg CO2 eq/unit),mass_per_area,original_ec3_link,description,Material Category,Component Type
SageGlass Electrochromic IGU Double Pane VARIO 26.65 mm,1 m2,694 kgCO2e,70.16 kg,27 mm,,2500 kg / m3,,25703.703703703704,694.0,9.891676169,0.0,0.0,https://buildingtransparency.org/ec3/organizations/d5a3c2198a9e4b3f918e6a5f5a40a1ef,"The SageGlass electrochromic insulating glass unit (IGU) is a type of dynamic glazing for use in buildings which tints automatically or on demand to control sunlight admission, controlling heat and glare, while maintaining a view to the outdoors and reducing energy consumption. The dynamic functionality is provided by the SageGlass electrochromic coating which is located on the cavity facing surface of the exterior lite of the insulating glass unit (see Figure 1). The SageGlass coating comprises multiple layers of ceramic materials of less than a micron thick that together, and upon application of a low voltage direct current, provides the ability to reversibly tint the glass to dynamically control the admission of the sun’s heat and light. SageGlass electrochromic insulating glass units are available in a range of product configurations according to customer specifications. This EPD is specific to the Double Pane and Double Pane VARIO products. The VARIO product is offered in response to significant demand from the EU market. SageGlass VARIO IGUs include an additional U-profile that is positioned in the glass edge seal which are used to connect to retaining anchors in the façade during installation, providing a safe and secure installation. VARIO products typically use a thicker combination of additional lites than the non-VARIO version of the products. A typical IGU configuration is shown in Figure 1. Each configuration comprises (i) a support lite of float glass, the thickness of which depends on the application that is laminated to the 2.2mm device lite, (ii) a 2.2mm thick float glass lite on which the electrochromic coating is deposited (called the device lite), (iii) a third lite of float glass which is the inboard lite of the insulating glass unit (called a cover lite), the thickness and type of which depends on the application, and (iv) associated insulating glass materials which comprise metallic spacer, dessicant, sealants, laminating interlayer materials.",Insulating Glazing Unit - Double Pane,glass pane
SageGlass Electrochromic IGU Double Pane 16.47 mm,1 m2,575 kgCO2e,43.755 kg,16 mm,,2500 kg / m3,,35937.5,575.0,13.20991887,0.0,0.0,https://buildingtransparency.org/ec3/organizations/d5a3c2198a9e4b3f918e6a5f5a40a1ef,"The SageGlass electrochromic insulating glass unit (IGU) is a type of dynamic glazing for use in buildings which tints automatically or on demand to control sunlight admission, controlling heat and glare, while maintaining a view to the outdoors and reducing energy consumption. The dynamic functionality is provided by the SageGlass electrochromic coating which is located on the cavity facing surface of the exterior lite of the insulating glass unit (see Figure 1). The SageGlass coating comprises multiple layers of ceramic materials of less than a micron thick that together, and upon application of a low voltage direct current, provides the ability to reversibly tint the glass to dynamically control the admission of the sun’s heat and light. SageGlass electrochromic insulating glass units are available in a range of product configurations according to customer specifications. This EPD is specific to the Double Pane and Double Pane VARIO products. The VARIO product is offered in response to significant demand from the EU market. SageGlass VARIO IGUs include an additional U-profile that is positioned in the glass edge seal which are used to connect to retaining anchors in the façade during installation, providing a safe and secure installation. VARIO products typically use a thicker combination of additional lites than the non-VARIO version of the products. A typical IGU configuration is shown in Figure 1. Each configuration comprises (i) a support lite of float glass, the thickness of which depends on the application that is laminated to the 2.2mm device lite, (ii) a 2.2mm thick float glass lite on which the electrochromic coating is deposited (called the device lite), (iii) a third lite of float glass which is the inboard lite of the insulating glass unit (called a cover lite), the thickness and type of which depends on the application, and (iv) associated insulating glass materials which comprise metallic spacer, dessicant, sealants, laminating interlayer materials.",Insulating Glazing Unit - Double Pane,glass pane
Vitro Architectural Double-pane and Triple-Pane IGU Processed Glass Products,1 m2,38.1 kgCO2e,46.1 kg,,,2500 kg / m3,,2066.1605205,38.1,0.8264642082,0.0,0.0,https://buildingtransparency.org/ec3/organizations/9b4acf8e1121459caab5e7c71c64be81,This declaration encompasses all coated and/or heat-treated glasses manufactured by Vitro Glass whether they are used monolithically (in single-pane windows) or combined with other Vitro Architectural Glass products in double- or triple-pane IGUs.,Insulating Glazing Unit - Triple Pane,glass pane
Vitro Architectural Glass Processed Glass Products - Triple-pane IGU,1 m2,90.9 kgCO2e,46.1 kg,,,,,0.0,90.9,1.971800434,0.0,0.0,https://buildingtransparency.org/ec3/organizations/9b4acf8e1121459caab5e7c71c64be81,"Product Name: Vitro Architectural Processed GlassProduct Definition: This declaration encompasses all coated and/or heat-treated glasses manufactured by Vitro Glass whether they are used monolithically (in single-pane windows) or combined with other Vitro Architectural Glass products in double- or triple-pane IGUs.Product brands covered under this declaration are listed below. They include architectural glass products processed with coatings over clear, ultra-clear (including Acuity™ glass) and tinted glass substrates:Solarban® 60 solar control low-e glass Solarban® 67 solar control low-e glass Solarban® 70 solar control low-e glass (formerly Solarban® 70XL glass) Solarban® 72 solar control low-e glass Solarban® R77 solar control low-e glass Solarban® 90 solar control low-e glass  Solarban® 90 solar control low-e glass Solarban® z50 solar control low-e glass Solarban® z75 solar control low-e glass Solarban® R100 solar control low-e glass Sungate® 400 passive low-e glass Sungate® 460 passive low-e glass Vistacool® subtly reflective tinted glasses Solarcool® reflective tinted glasses Clarvista® shower glass Herculite® tempered glass Declaration Type: Business-to-businessPeriod of Validity: This declaration is valid for a period of five years from the date of publication.Geographic Scope: This declaration is valid for Vitro Architectural Glass products sold worldwide.",Insulating Glazing Unit - Triple Pane,glass pane
SageGlass Electrochromic IGU Triple Pane VARIO 23.19 mm,1 m2,572 kgCO2e,59.88 kg,24.95 mm,,2500 kg / m3,,22925.851703406814,572.0,9.619238477,0.0,0.0,https://buildingtransparency.org/ec3/organizations/d5a3c2198a9e4b3f918e6a5f5a40a1ef,"The SageGlass electrochromic insulating glass unit (IGU) is a type of dynamic glazing for use in buildings which tints automatically or on demand to control sunlight admission, controlling heat and glare, while maintaining a view to the outdoors and reducing energy consumption. The dynamic functionality is provided by the SageGlass electrochromic coating which is located on the cavity facing surface of the exterior lite of the insulating glass unit (see Figure 1). The SageGlass coating comprises multiple layers of ceramic materials of less than a micron thick that together, and upon application of a low voltage direct current, provides the ability to reversibly tint the glass to dynamically control the admission of the sun’s heat and light. SageGlass electrochromic insulating glass units are available in a range of product configurations according to customer specifications. This EPD is specific to the Triple Pane and Triple Pane VARIO products. The VARIO product is offered in response to significant demand from the EU market. SageGlass VAIRO IGUs include an additional U-profile that is positoned in the glass edge seal which are used to connect to retaining anchors in the façade during installation, providing a safe and secure installation. VARIO products typically use a thicker combination of additional lites than the non-VARIO version of the products.",Insulating Glazing Unit - Triple Pane,glass pane
SageGlass Electrochromic IGU Triple Pane 24.95 mm,1 m2,582 kgCO2e,64.721 kg,24.95 mm,,2500 kg / m3,,23326.653306613225,582.0,9.038797299,0.0,0.0,https://buildingtransparency.org/ec3/organizations/d5a3c2198a9e4b3f918e6a5f5a40a1ef,"The SageGlass electrochromic insulating glass unit (IGU) is a type of dynamic glazing for use in buildings which tints automatically or on demand to control sunlight admission, controlling heat and glare, while maintaining a view to the outdoors and reducing energy consumption. The dynamic functionality is provided by the SageGlass electrochromic coating which is located on the cavity facing surface of the exterior lite of the insulating glass unit (see Figure 1). The SageGlass coating comprises multiple layers of ceramic materials of less than a micron thick that together, and upon application of a low voltage direct current, provides the ability to reversibly tint the glass to dynamically control the admission of the sun’s heat and light. SageGlass electrochromic insulating glass units are available in a range of product configurations according to customer specifications. This EPD is specific to the Triple Pane and Triple Pane VARIO products. The VARIO product is offered in response to significant demand from the EU market. SageGlass VAIRO IGUs include an additional U-profile that is positoned in the glass edge seal which are used to connect to retaining anchors in the façade during installation, providing a safe and secure installation. VARIO products typically use a thicker combination of additional lites than the non-VARIO version of the products.",Insulating Glazing Unit - Triple Pane,glass pane
Processed glass products - triple pane,1 m2,90.9 kgCO2e,46.1 kg,,,2500 kg / m3,,4929.501085,90.9,1.971800434,0.0,0.0,https://buildingtransparency.org/ec3/organizations/9b4acf8e1121459caab5e7c71c64be81,"The declared products validated in this document are processed glass products manufactured by Vitro Glass that are commonly used for windows, glass doors and walls. All processed glass utilizes the upstream data included in Float Glass EPD published by Vitro Glass (ASTM-EPD #061) and verified through ASTM International against the NSF GANA PCR for Float Glass - UNCPC 3711. The declared glass products are available in a range of thicknesses and treatment options. While designed for a wide range of commercial, institutional and residential building applications, the thicknesses selected for this declaration are representative primarily of commercial building applications.",Insulating Glazing Unit - Triple Pane,glass pane
"Insulating glass - triple pane, annealed",1 m2,59 kgCO2e,23.89999999999999 kg,3 mm,,,,19666.666666666668,59.0,2.468619247,0.0,0.0,https://buildingtransparency.org/ec3/organizations/1db5e05eaf8f4b1a8be98259f88748e9,"Multi-pane insulating glass units (IGU) are used to improve the energy efficiency of windows. Low-E coatings and argon gas fills can be used to further enhance the glazing performance. Tempered and/or laminated glass can be incorporated to address life safety glazing issues. Seal durability, both in material selection and manufacturing quality, is critical to the long term performance of the IGU. Note: this is specific to the double pane product.",Insulating Glazing Unit - Triple Pane,glass pane
"Insulating glass - triple pane, tempered",1 m2,93.9 kgCO2e,23.89999999999999 kg,3 mm,,,,31300.0,93.9,3.928870293,0.0,0.0,https://buildingtransparency.org/ec3/organizations/1db5e05eaf8f4b1a8be98259f88748e9,"Multi-pane insulating glass units (IGU) are used to improve the energy efficiency of windows. Low-E coatings and argon gas fills can be used to further enhance the glazing performance. Tempered and/or laminated glass can be incorporated to address life safety glazing issues. Seal durability, both in material selection and manufacturing quality, is critical to the long term performance of the IGU. Note: this is specific to the double pane product.",Insulating Glazing Unit - Triple Pane,glass pane
Wood-aluminium Window Frame - Serie 90Excell- Chestnut,1 m2,102.56 kgCO2e,40.4 kg,90 mm,,,,1139.5555555555557,102.56,2.538613861,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 70Excell- Larch,1 m2,108.38 kgCO2e,40.4 kg,90 mm,,,,1204.2222222222222,108.38,2.682673267,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 70Energy - Chestnut,1 m2,84.1 kgCO2e,39.69 kg,70 mm,,,,1201.4285714285713,84.1,2.118921643,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Eucalyptus Red Grandis,1 m2,126.14 kgCO2e,51.5 kg,120 mm,,,,1051.1666666666667,126.14,2.449320388,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Pine tree,1 m2,121.43 kgCO2e,49.29999999999998 kg,120 mm,,,,1011.9166666666667,121.43,2.463083164,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Oak,1 m2,112.3 kgCO2e,58.7 kg,120 mm,,,,935.8333333333334,112.3,1.913117547,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Heat treated larch,1 m2,105.14 kgCO2e,46.9 kg,120 mm,,,,876.1666666666667,105.14,2.241791045,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Larch,1 m2,123.8 kgCO2e,53.4 kg,120 mm,,,,1031.6666666666667,123.8,2.31835206,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Chestnut,1 m2,112.46 kgCO2e,50.29999999999998 kg,120 mm,,,,937.1666666666666,112.46,2.235785288,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Eucalyptus Red Grandis,1 m2,115.47 kgCO2e,45.7 kg,100 mm,,,,1154.6999999999998,115.47,2.526695842,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Pine tree,1 m2,111.97 kgCO2e,44 kg,100 mm,,,,1119.6999999999998,111.97,2.544772727,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Oak,1 m2,105.46 kgCO2e,51 kg,100 mm,,,,1054.6,105.46,2.067843137,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Heat treated larch,1 m2,99.32 kgCO2e,42.65 kg,100 mm,,,,993.1999999999999,99.32,2.328722157,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Larch,1 m2,115.81 kgCO2e,47.1 kg,100 mm,,,,1158.1,115.81,2.45881104,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Chestnut,1 m2,105.63 kgCO2e,44.9 kg,100 mm,,,,1056.3,105.63,2.352561247,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 90Excell - Eucalyptus Red Grandis,1 m2,109.63 kgCO2e,41 kg,90 mm,,,,1218.111111111111,109.63,2.673902439,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 90Excell - Pine tree,1 m2,107.14 kgCO2e,39.79999999999999 kg,90 mm,,,,1190.4444444444446,107.14,2.691959799,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 90Excell - Oak,1 m2,102.48 kgCO2e,44.7 kg,90 mm,,,,1138.6666666666667,102.48,2.29261745,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 90Excell - Heat treated larch,1 m2,95.51 kgCO2e,38.4 kg,90 mm,,,,1061.2222222222224,95.51,2.487239583,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 100Energy - Eucalyptus Red Grandis,1 m2,107.68 kgCO2e,50.77 kg,100 mm,,,,1076.8,107.68,2.120937562,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 100Energy - Pine tree,1 m2,102.97 kgCO2e,48.57 kg,100 mm,,,,1029.6999999999998,102.97,2.120032942,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
