scenario,annual_electricity_cost_usd,annual_gas_cost_usd,annual_electricity_operating_emissions_kg_co2e,annual_gas_operating_emissions_kg_co2e,Door_Enhancement_total_additional_embodied_carbon_kgCO2,Increase_Insulation_R-Value_for_Exterior_Walls_total_additional_embodied_carbon_kgCO2,Increase_Insulation_R-Value_for_Roofs_total_additional_embodied_carbon_kgCO2,Window_Enhancement_total_additional_embodied_carbon_kgCO2
baseline_RetailStandalone_Denver,46614.09933,5212.197861,139530.7249,27467.04049,,,,
door_glass_d_RetailStandalone_Denver,45057.0537,4047.603963,134925.9793,21329.90821,19789.86567,,,
roof_r30_RetailStandalone_Denver,45000.52157,4444.983793,135064.6428,23424.00521,,,9231.563884,
wall_r20_RetailStandalone_Denver,45324.61701,4504.065897,136012.2983,23735.35382,,5194.155098,,
window_u0.25_RetailStandalone_Denver,47379.94896,3306.926611,141281.9962,17426.7151,,,,38132.7307
