Data Year,Balancing Authority Name,Balancing Authority Code,BA annual CO2 equivalent total output emission rate (lb/MWh),weather_file_location
YEAR,BANAME,BACODE,BAC2ERTA,WEATHER_FILE_LOCATION
2023,National Average,National Average,770.884,
2023,"Alcoa Power Generating, Inc. - Yadkin Division",YAD,0,Atlanta Hartsfield Jackson
2023,Arizona Public Service Company,AZPS,"1,457.39",
2023,"Arlington Valley, LLC - AVBA",DEAA,873.897,
2023,"Associated Electric Cooperative, Inc.",AECI,"1,292.21",Rockford Chicago
2023,Avangrid Renewables LLC,AVRN,369.716,Portland
2023,Avista Corporation,AVA,363.542,Helena
2023,Balancing Authority of Northern California,BANC,384.072,San Francisco
2023,Bonneville Power Administration,BPAT,213.65,Portland
2023,California Independent System Operator,CISO,370.651,San Francisco
2023,Chugach Electric Assn Inc,CEA,829.964,Fairbanks
2023,City of Homestead,HST,-26.607,Miami
2023,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,5.854,Port Angeles
2023,City of Tallahassee,TAL,847.561,Atlanta Hartsfield Jackson
2023,Duke Energy Carolinas,DUK,486.302,Atlanta Hartsfield Jackson
2023,Duke Energy Florida Inc,FPC,972.803,Miami
2023,Duke Energy Progress East,CPLE,483.557,Atlanta Hartsfield Jackson
2023,Duke Energy Progress West,CPLW,0,Atlanta Hartsfield Jackson
2023,El Paso Electric Company,EPE,"1,011.76",El Paso
2023,"Electric Reliability Council of Texas, Inc.",ERCO,736.779,Houston Bush
2023,Florida Municipal Power Pool,FMPP,"1,156.32",Miami
2023,Florida Power & Light Company,FPL,598.609,Miami
2023,Gainesville Regional Utilities,GVL,"1,585.18",Miami
2023,"Gridforce Energy Management, LLC",GRID,879.808,Houston Bush
2023,Gridforce South,GRIS,0,Houston Bush
2023,"Griffith Energy, LLC",GRIF,861.901,
2023,Hawaiian Electric Co Inc,HECO,"1,486.04",Miami
2023,ISO New England Inc.,ISNE,545.267,Buffalo Greater
2023,Idaho Power Company,IPCO,225.324,Helena
2023,Imperial Irrigation District,IID,251.225,
2023,JEA,JEA,"1,171.83",Miami
2023,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,LGEE,"1,908.06",Rockford Chicago
2023,Los Angeles Department of Water and Power,LDWP,"1,017.53",San Francisco
2023,"Midcontinent Independent Transmission System Operator, Inc..",MISO,987.438,Minneapolis Crystal
2023,"NaturEner Power Watch, LLC (GWA)",GWA,0,Helena
2023,"NaturEner Wind Watch, LLC",WWA,0,Helena
2023,Nevada Power Company,NEVP,706.558,
2023,New Brunswick System Operator,NBSO,173.292,Buffalo Greater
2023,"New Harquahala Generating Company, LLC - HGBA",HGMA,833.526,
2023,New York Independent System Operator,NYIS,480.66,Buffalo Greater
2023,No balancing authority,NA,"1,847.16",
2023,No balancing authority - AK,NA - AK,806.924,Fairbanks
2023,No balancing authority - HI,NA - HI,"1,170.74",Miami
2023,No balancing authority - PR,NA - PR,"1,548.53",Miami
2023,NorthWestern Energy (NWMT),NWMT,"1,594.72",Helena
2023,"PJM Interconnection, LLC",PJM,719.405,Baltimore Washington
2023,PUD No. 1 of Douglas County,DOPD,0,Port Angeles
2023,PacifiCorp - East,PACE,"1,418.90",Denver
2023,PacifiCorp - West,PACW,309.116,Portland
2023,Portland General Electric Company,PGE,796.14,Portland
2023,Public Service Company of Colorado,PSCO,806.261,Denver
2023,Public Service Company of New Mexico,PNM,394.657,Amarillo Husband
2023,Public Utility District No. 1 of Chelan County,CHPD,0,Port Angeles
2023,"Public Utility District No. 2 of Grant County, Washington",GCPD,0,Port Angeles
2023,Puget Sound Energy,PSEI,642.683,Port Angeles
2023,Salt River Project,SRP,552.707,Phoenix Sky Harbor Int AP
2023,Seattle City Light,SCL,0.875,Port Angeles
2023,Seminole Electric Cooperative,SEC,"1,213.68",Miami
2023,South Carolina Electric & Gas Company,SCEG,748.563,Atlanta Hartsfield Jackson
2023,South Carolina Public Service Authority,SC,"1,690.20",Atlanta Hartsfield Jackson
2023,Southeastern Power Administration,SEPA,0.08,Atlanta Hartsfield Jackson
2023,"Southern Company Services, Inc. - Trans",SOCO,846.471,Atlanta Hartsfield Jackson
2023,Southwest Power Pool,SWPP,876.354,Amarillo Husband
2023,Southwestern Power Administration,SPA,521.771,Amarillo Husband
2023,Tampa Electric Company,TEC,857.455,Miami
2023,Tennessee Valley Authority,TVA,643.921,Atlanta Hartsfield Jackson
2023,Tucson Electric Power Company,TEPC,"1,633.07",
2023,Turlock Irrigation District,TIDC,772.958,San Francisco
2023,Western Area Power Administration - Desert Southwest Region,WALC,481.873,
2023,Western Area Power Administration - Rocky Mountain Region,WACM,"1,882.28",Denver
2023,Western Area Power Administration UGP West,WAUW,0,Duluth
