State,Residential,Commercial,Industrial,Transportation,Total,weather_file
New England,27.678886,20.554466,16.282883,12.992054,23.029285,
Connecticut,28.745463,21.209726,17.122955,17.767971,24.369524,
Maine,24.286709,18.217494,12.464281,.,19.662481,
Massachusetts,29.349701,20.895059,18.190619,9.2151894,23.937668,
New Hampshire,23.404467,19.398687,16.210857,.,20.604971,
Rhode Island,28.649071,21.093077,19.696526,21.53281,24.14941,
Vermont,21.903774,18.890152,11.578185,.,18.411283,
Middle Atlantic,20.62677,15.693436,8.5207212,13.673396,16.110448,
New Jersey,19.343644,14.644882,11.932863,11.110166,16.288791,
New York,24.429702,18.770605,9.1748323,14.703552,19.65911,Buffalo
Pennsylvania,17.765152,11.030316,7.8652093,9.9570938,12.510697,
East North Central,16.480534,12.130873,8.0818498,7.9947346,12.216681,
Illinois,15.869375,11.814543,8.8251841,7.7625882,12.208183,Chicago
Indiana,14.765731,12.441245,8.1461459,12.312038,11.376168,
Michigan,19.298901,14.008705,8.2582387,14.093482,14.155878,
Ohio,15.985153,10.662838,7.0963817,7.3153005,11.29265,
Wisconsin,17.184541,12.634141,8.5385362,18.355011,12.723255,
West North Central,13.465454,10.254032,7.7214016,10.983413,10.521148,
Iowa,13.40241,10.221523,6.804213,.,9.3394405,
Kansas,14.14946,11.191723,7.7311728,.,11.208629,
Minnesota,15.451173,12.147296,9.1488916,12.708714,12.346894,Minneapolis
Missouri,12.911136,10.261625,7.870943,9.9429673,11.063378,
Nebraska,11.530737,8.3930152,7.6626303,.,9.072212,
North Dakota,11.508334,7.1869573,7.2466135,.,7.9269561,
South Dakota,12.861325,10.549951,8.2780044,.,10.867177,
South Atlantic,14.512667,10.688363,7.7578717,10.022739,11.917645,
Delaware,16.566854,12.198161,8.4895905,.,13.560564,
District of Columbia,17.709519,17.066871,10.804457,9.6600895,16.875079,
Florida,14.136787,10.991281,8.498442,10.866873,12.526858,Miami
Georgia,14.082517,10.865825,7.2112972,7.6425637,11.398811,Atlanta
Maryland,17.857924,12.964068,10.008281,11.545039,15.044674,Baltimore
North Carolina,14.133317,10.559871,7.7670104,10.28011,11.648787,
South Carolina,14.233052,10.635386,6.8429855,.,10.895705,
Virginia,14.410483,8.7219615,8.9940445,9.2538363,10.615807,
West Virginia,15.073903,11.62018,7.8093448,.,11.045297,
East South Central,13.396358,12.360737,6.7240722,.,10.985249,
Alabama,15.176898,13.639542,7.253566,.,11.899937,
Kentucky,12.785958,11.4951,6.4981659,.,10.066853,
Mississippi,13.394398,12.321169,6.8134709,.,10.9301,
Tennessee,12.423933,12.052651,6.2091646,.,10.897478,
West South Central,14.041949,8.8826265,6.0544231,7.7612282,9.5757904,
Arkansas,12.317615,10.236441,6.610511,13.231939,9.5925179,
Louisiana,11.728914,10.456313,5.6145281,11.539996,8.8022275,
Oklahoma,12.237098,8.9232705,5.8413762,.,9.086423,
Texas,14.936178,8.552524,6.1215,4.3508802,9.7898755,Houston
Mountain,14.123476,11.02915,7.7039985,10.611001,11.233097,
Arizona,14.90675,12.23007,7.9010392,10.94952,12.739983,Phoenix
Colorado,14.916859,11.712089,8.622039,9.6624965,12.066156,Denver
Idaho,11.52011,9.1693805,7.693207,.,9.5099508,
Montana,12.662786,11.868222,7.5859235,.,10.82981,Helena
Nevada,14.995608,10.191304,8.6358805,10.65724,11.469964,
New Mexico,14.19892,10.540595,5.4306618,.,9.1751499,
Utah,12.215056,9.3884135,7.8551371,12.070181,9.9724165,
Wyoming,12.467923,9.2716714,7.9570698,.,9.137451,
Pacific Contiguous,24.226245,20.36063,15.3771,16.099892,20.786201,
California,31.966832,25.537262,21.527795,16.794602,27.039842,SanFrancisco
Oregon,14.698463,10.113228,8.0507823,12.539482,11.106613,Portland
Washington,11.898243,9.9914832,6.6090283,11.644722,10.129111,PortAngeles
Pacific Noncontiguous,34.952982,30.221409,29.930283,.,31.617107,
Alaska,24.822249,21.568207,19.311503,.,22.170385,Fairbanks
Hawaii,42.863934,38.182114,34.1291,.,37.997667,
U.S. Total,16.479315,12.753323,8.128368,12.750228,12.939531,
