State,Unit,Residential,Commercial,Industrial,Transportation ,Electric power,Total
Alabama,$/MMBtu,18.09,13.57,4.02,15.13,2.77,4.13
Alaska,$/MMBtu,11.69,10.76,6.33,16.18,6.37,7.8
Arizona,$/MMBtu,19.92,11.57,5.19,17.05,2.24,4.47
Arkansas,$/MMBtu,15.77,10.03,7.68,15.39,2.72,6.12
California,$/MMBtu,18.44,13.5,11.06,10.12,3.83,10.87
Colorado,$/MMBtu,10.09,8.26,7.26,16.86,2.64,6.67
Connecticut,$/MMBtu,16.36,10.1,6.61,18.18,3.06,6.74
Delaware,$/MMBtu,14.29,10.76,10.47,—,2.48,7.88
Dist. of Col.,$/MMBtu,16.03,13.5,—,17.51,—,14.59
Florida,$/MMBtu,24.66,11.71,5.83,14.28,3.62,4.42
Georgia,$/MMBtu,17.66,9.06,4.7,20.37,2.93,6.37
Hawaii,$/MMBtu,53.25,40.01,30.88,—,—,42.49
Idaho,$/MMBtu,8.25,7.36,4.92,12.12,2.86,5.35
Illinois,$/MMBtu,10.64,8.91,6.34,14.87,2.4,7.56
Indiana,$/MMBtu,8.99,7.33,5.23,19.27,2.48,5.13
Iowa,$/MMBtu,9.69,7.21,5.41,11.51,2.48,5.74
Kansas,$/MMBtu,12.65,9.92,4.13,13.02,2.69,6.55
Kentucky,$/MMBtu,12.85,9.55,3.45,15.58,3.11,5.12
Louisiana,$/MMBtu,16.04,10.73,3.25,14.11,2.6,3.49
Maine,$/MMBtu,18.17,13.95,8.38,11.32,4.79,7.4
Maryland,$/MMBtu,15.55,12.64,11.63,17.94,3.04,9.63
Massachusetts,$/MMBtu,21.27,15.02,12.79,22.62,4.85,13.44
Michigan,$/MMBtu,10.21,8.82,7.21,—,2.35,6.21
Minnesota,$/MMBtu,10.03,7.97,4.8,13.89,3.04,6.36
Mississippi,$/MMBtu,15.03,11,4.39,16.2,2.7,3.72
Missouri,$/MMBtu,16.49,11.87,8.28,9.33,2.82,9.81
Montana,$/MMBtu,7.77,7.5,5.91,10.08,1.41,6.4
Nebraska,$/MMBtu,10.06,6.91,4.24,29.81,4.15,5.77
Nevada,$/MMBtu,17.91,13.1,10.24,15.31,2.98,7.06
New Hampshire,$/MMBtu,18.09,12.96,8.96,22.02,3.6,7.72
New Jersey,$/MMBtu,12.72,11.15,8.3,16.95,2.33,8.39
New Mexico,$/MMBtu,8.83,5.8,5.49,13.39,0.99,3.65
New York,$/MMBtu,16.03,10.05,11.36,28.68,2.71,9.1
North Carolina,$/MMBtu,15.82,7.93,5.27,5.27,4.79,6.29
North Dakota,$/MMBtu,8.44,6.02,2.07,8.15,2.55,3.62
Ohio,$/MMBtu,12.89,6.95,7.24,14.66,2.23,6.02
Oklahoma,$/MMBtu,13.54,9.52,2.93,12.51,3.23,4.38
Oregon,$/MMBtu,14.6,10.84,6.42,6.84,2.21,5.67
Pennsylvania,$/MMBtu,13.12,10.26,8.85,9.84,2.04,5.3
Rhode Island,$/MMBtu,21.08,17.21,12.7,32.61,2.95,8.44
South Carolina,$/MMBtu,16.37,10.29,4.72,7.75,3.58,5.73
South Dakota,$/MMBtu,8.57,6.35,4.87,—,2.56,5.09
Tennessee,$/MMBtu,10.32,8.76,3.85,8.88,2.64,5.32
Texas,$/MMBtu,17.64,9.46,2.47,12.17,2.14,3.36
Utah,$/MMBtu,12.55,10.9,7.4,24.2,3.14,8.14
Vermont,$/MMBtu,16.61,6.38,4.33,—,2.68,8.94
Virginia,$/MMBtu,14.64,9.13,4.13,32,2.86,5.03
Washington,$/MMBtu,11.65,9.51,11.11,19.09,3.28,7.76
West Virginia,$/MMBtu,14.15,10.81,3.64,16.48,1.9,6.43
Wisconsin,$/MMBtu,9.65,7.06,5.5,7.95,2.74,5.8
Wyoming,$/MMBtu,11.7,8.42,4.47,17.88,2.52,4.8
United States,$/MMBtu,13.88,9.97,5.07,12.63,2.79,5.94
