U.S. Price of Natural Gas Sold to Commercial Consumers by State 2024,$/1000ft3
National Average,10.07
AL,13.98
AK,10.79
AZ,11.89
AR,10.24
CA,14.01
CO,8.66
CT,10.39
DE,11.13
DC,13.89
FL,12.05
GA,9.33
HI,36.73
ID,7.59
IL,9.3
IN,7.75
IA,7.69
KS,10.31
KY,10.12
LA,10.96
ME,14.55
MD,13.12
MA,15.47
MI,9.3
MN,8.46
MS,11.29
MO,12.14
MT,7.94
NE,7.3
NV,13.67
NH,13.43
NJ,11.58
NM,5.94
NY,10.39
NC,8.23
ND,6.41
OH,7.42
OK,9.83
OR,11.67
PA,10.65
RI,17.69
SC,10.63
SD,6.9
TN,9.12
TX,9.64
UT,11.42
VT,6.66
VA,9.61
WA,10.38
WV,11.66
WI,7.42
WY,8.91
