scenario,measure,component,unit,test_017_api_material_cost_per_unit,test_017_api_material_description,test_018_custom_material_cost_per_unit,test_018_custom_material_description
scenario_1,door_enhancement,door,$/ft2,N/A,none,N/A,none
scenario_1,door_enhancement,bottom_seal,$/LF,30.599999999999998,"Weatherstripping, for thresholds, door sweep, flush mounted, vinyl",N/A,brush weatherstrip
scenario_1,door_enhancement,top_side_seal,$/LF,N/A,jamb weatherstrip,N/A,jamb weatherstrip
scenario_1,wall_insulation,material,$/CF,6.1028571428571414,"Blanket insulation, for walls or ceilings, mineral wool batts, 3-1/2"" thick, R15",0.90000000000000002,Blown Mineral Wool
scenario_1,roof_insulation,material,$/CF,4.5800000000000001,"Mineral wool insulation, R3 per inch, poured in",0.90000000000000002,Blown Mineral Wool
scenario_1,window_enhancement,glass,$/CF,N/A,provide user_num_panes,N/A,provide user_num_panes
scenario_1,window_enhancement,frame,$/SF,63.633333333333326,window frame (derived from window unit - glazing),N/A,wood window frame
scenario_1,window_enhancement,caulking,$/CY,26054.649353999997,"Joint sealants, caulking and sealants, bulk acrylic latex",N/A,acrylic
scenario_1,window_enhancement,film,$/SF,38.069999999999993,"Safety film, safety film on glass, clear, 2 mil, excl. glass",N/A,safety film
scenario_1,window_enhancement,weatherstrip,$/LF,N/A,none,N/A,none
,,,,,,,
scenario_2,door_enhancement,door,$/ft2,N/A,N/A,N/A,none
scenario_2,door_enhancement,bottom_seal,$/LF,N/A,N/A,N/A,silicone adhesive smoke gasket
scenario_2,door_enhancement,top_side_seal,$/LF,N/A,N/A,N/A,silicone adhesive smoke gasket
scenario_2,wall_insulation,material,$/CF,N/A,N/A,0.981819,Blown Fiberglass
scenario_2,roof_insulation,material,$/CF,N/A,N/A,0.981819,Blown Fiberglass
scenario_2,window_enhancement,glass,$/CF,N/A,N/A,N/A,provide user_num_panes
scenario_2,window_enhancement,frame,$/SF,N/A,N/A,N/A,wood window frame
scenario_2,window_enhancement,caulking,$/CY,N/A,N/A,N/A,polyurethane
scenario_2,window_enhancement,film,$/SF,N/A,N/A,N/A,anti-graffiti film
scenario_2,window_enhancement,weatherstrip,$/LF,N/A,N/A,N/A,silicone adhesive smoke gasket
,,,,,,,
scenario_3,door_enhancement,door,$/ft2,N/A,N/A,N/A,polystyrene core steel door
scenario_3,door_enhancement,bottom_seal,$/LF,N/A,N/A,N/A,automatic door bottom
scenario_3,door_enhancement,top_side_seal,$/LF,N/A,N/A,N/A,silicone adhesive smoke gasket
scenario_3,wall_insulation,material,$/CF,N/A,N/A,2.6400000000000001,Fiberglass Batts
scenario_3,roof_insulation,material,$/CF,N/A,N/A,2.6400000000000001,Fiberglass Batts
scenario_3,window_enhancement,glass,$/CF,N/A,N/A,N/A,provide user_num_panes
scenario_3,window_enhancement,frame,$/SF,N/A,N/A,N/A,wood-aluminium window frame
scenario_3,window_enhancement,caulking,$/CY,N/A,N/A,N/A,polyurethane
scenario_3,window_enhancement,film,$/SF,N/A,N/A,N/A,low-e film
scenario_3,window_enhancement,weatherstrip,$/LF,N/A,N/A,N/A,silicone adhesive smoke gasket
,,,,,,,
