scenario,measure,component,unit,test_018_custom_material_cost_per_unit,test_018_custom_material_description,test_018_rsmeans_api_material_cost_per_unit,test_018_rsmeans_api_material_description
scenario_1,door_enhancement,door,$/ft2,N/A,none,N/A,none
scenario_1,door_enhancement,bottom_seal,$/LF,5.1333320000000002,brush weatherstrip,30.599999999999998,"Weatherstripping, for thresholds, door sweep, flush mounted, vinyl"
scenario_1,door_enhancement,top_side_seal,$/LF,2.7799999999999998,jamb weatherstrip,N/A,jamb weatherstrip
scenario_1,wall_insulation,material,$/CF,0.90000000000000002,Blown Mineral Wool,6.1028571428571414,"Blanket insulation, for walls or ceilings, mineral wool batts, 3-1/2"" thick, R15"
scenario_1,roof_insulation,material,$/CF,0.90000000000000002,Blown Mineral Wool,4.5800000000000001,"Mineral wool insulation, R3 per inch, poured in"
scenario_1,window_enhancement,glass,$/CF,499.199388,provide user_num_panes,N/A,provide user_num_panes
scenario_1,window_enhancement,frame,$/SF,60.439999999999998,wood window frame,63.633333333333326,window frame (derived from window unit - glazing)
scenario_1,window_enhancement,caulking,$/CY,11108.571,acrylic,832377.05476828991,"Joint sealants, caulking and sealants, bulk acrylic latex, 1/4"" x 1/2"", in place"
scenario_1,window_enhancement,film,$/SF,2.0600000000000001,safety film,38.069999999999993,"Safety film, safety film on glass, clear, 2 mil, excl. glass"
scenario_1,window_enhancement,weatherstrip,$/LF,N/A,none,N/A,none
,,,,,,,
scenario_2,door_enhancement,door,$/ft2,N/A,none,N/A,none
scenario_2,door_enhancement,bottom_seal,$/LF,1.575,silicone adhesive smoke gasket,8.705882352941176,"Weatherstripping, for garage door bottom, rubber"
scenario_2,door_enhancement,top_side_seal,$/LF,1.575,silicone adhesive smoke gasket,8.705882352941178,"Weatherstripping, for garage door bottom, rubber"
scenario_2,wall_insulation,material,$/CF,0.981819,Blown Fiberglass,1.9885714285714282,"Blanket insulation, for walls or ceilings, kraft faced fiberglass, 3-1/2"" thick, R11, 15"" wide"
scenario_2,roof_insulation,material,$/CF,0.981819,Blown Fiberglass,2.0509090909090908,"Blown-in insulation, ceilings, with open access, fiberglass, 5.5"" thick, R11"
scenario_2,window_enhancement,glass,$/CF,499.199388,provide user_num_panes,N/A,provide user_num_panes
scenario_2,window_enhancement,frame,$/SF,60.439999999999998,wood window frame,63.633333333333326,window frame (derived from window unit - glazing)
scenario_2,window_enhancement,caulking,$/CY,19995.429,polyurethane,787464.62375561253,"Joint sealants, caulking and sealants, polyurethane, bulk, in place, 1 or 2 component, 1/4"" x 1/4"""
scenario_2,window_enhancement,film,$/SF,2.02,anti-graffiti film,14.31,"Security film, clear, 7 mil, excl. glass"
scenario_2,window_enhancement,weatherstrip,$/LF,5.1673229999999997,silicone adhesive smoke gasket,N/A,silicone adhesive smoke gasket
,,,,,,,
scenario_3,door_enhancement,door,$/ft2,29.25,polystyrene core steel door,39.48750000000008,"Doors, hollow metal, commercial, steel, flush, full panel, hollow core, 1-3/8"" thick, 20 ga., 2'-0"" x 6'-8"""
scenario_3,door_enhancement,bottom_seal,$/LF,11,automatic door bottom,52.99999999999999,"Weatherstripping, for thresholds, door sweep, flush mounted, aluminum"
scenario_3,door_enhancement,top_side_seal,$/LF,1.575,silicone adhesive smoke gasket,8.705882352941178,"Weatherstripping, for garage door bottom, rubber"
scenario_3,wall_insulation,material,$/CF,2.6400000000000001,Fiberglass Batts,1.9885714285714282,"Blanket insulation, for walls or ceilings, kraft faced fiberglass, 3-1/2"" thick, R11, 15"" wide"
scenario_3,roof_insulation,material,$/CF,2.6400000000000001,Fiberglass Batts,4.6971428571428566,"Blanket insulation, for walls or ceilings, unfaced fiberglass, 3-1/2"" thick, R13, 11"" wide"
scenario_3,window_enhancement,glass,$/CF,499.199388,provide user_num_panes,N/A,provide user_num_panes
scenario_3,window_enhancement,frame,$/SF,73.5,wood-aluminium window frame,63.633333333333326,window frame (derived from window unit - glazing)
scenario_3,window_enhancement,caulking,$/CY,19995.429,polyurethane,787464.62375561253,"Joint sealants, caulking and sealants, polyurethane, bulk, in place, 1 or 2 component, 1/4"" x 1/4"""
scenario_3,window_enhancement,film,$/SF,0.83999999999999997,low-e film,35.309999999999995,"Heat reflecting, solar film on glass, bronze, 50% VLT, excl. glass"
scenario_3,window_enhancement,weatherstrip,$/LF,5.1673229999999997,silicone adhesive smoke gasket,N/A,silicone adhesive smoke gasket
,,,,,,,
