scenario,measure,component,unit,test_015_cost_per_unit,test_015_rsmeans_description,test_016_cost_per_unit,test_016_rsmeans_description
scenario_1,door_enhancement,door,$/m2,65.12166,"door, wood, architectural, flush, interior, hollow core, luan face",117.05752578171823,"Door, wood, architectural, flush, interior, hollow core, luan face, 3'-0"" x 6'-8"" x 1-3/8"" thick"
scenario_1,door_enhancement,bottom_seal,cost_per_unit,11,"weatherstripping, for thresholds, door sweep, flush mounted, aluminum",N/A,N/A
scenario_1,door_enhancement,top_side_seal,cost_per_unit,2.78,"door rolling service,steel, manual, for weatherstripping, extruded rubber, jambs, add",N/A,N/A
scenario_1,wall_insulation,material,$/CF,2.640001,"unfaced fiberglass, R13",1.9885714285714282,"Blanket insulation, for walls or ceilings, kraft faced fiberglass, 3-1/2"" thick, R11, 15"" wide"
scenario_1,roof_insulation,material,$/CF,0.9,"poured loose fill insulation, R3 per inch",5.820673174143523,"Mineral wool insulation, R3 per inch, poured in"
scenario_1,window_enhancement,glass,$/CF,499.199388,"window glass, clear float, stops, putty bed, 1/8''thick",N/A,N/A
scenario_1,window_enhancement,frame,$/SF,60.44,N/A,361.5342145,window frame (derived from window unit - glazing)
scenario_1,window_enhancement,caulking,$/CY,11108.571,"joint sealant, bulk acrylic latex",832377.0547682899,"Joint sealants, caulking and sealants, bulk acrylic latex, 1/4"" x 1/2"", in place"
scenario_1,window_enhancement,caulking,$/LF,N/A,N/A,8.34,"Joint sealants, caulking and sealants, bulk acrylic latex, 1/4"" x 1/2"", in place"
scenario_1,window_enhancement,film,$/SF,2.06,"safety film, safety film on glass, clear, 2mil, excluding glass",N/A,N/A
scenario_1,window_enhancement,weatherstrip,$/LF,1.575,"weatherstripping, for garage door bottom, rubber",N/A,N/A
,,,,,,,
scenario_2,door_enhancement,door,$/m2,314.8444,"doors, glass, sliding, aluminum, economy, 5/8'' tempered insulated glass",425.03991257982517,"Doors, hollow metal, commercial, steel, flush, full panel, hollow core, 1-3/8"" thick, 20 ga., 2'-0"" x 6'-8"""
scenario_2,door_enhancement,bottom_seal,cost_per_unit,5.133332,"weatherstrip, for thresholds, door sweep, flush mounted, vinyl",N/A,N/A
scenario_2,door_enhancement,top_side_seal,cost_per_unit,1.575,"weatherstripping, for garage door bottom, rubber",N/A,N/A
scenario_2,wall_insulation,material,$/CF,12.000006,"15 psi compressive strength, R5",4.4399999999999995,"Foam board insulation, polystyrene, expanded, 1"" thick, R4"
scenario_2,roof_insulation,material,$/CF,4.32,"Polystyrene, expanded 1''thick, R4",17.040000000000003,"Foam board insulation, polystyrene, expanded, 1"" thick, R4"
scenario_2,window_enhancement,glass,$/CF,499.199388,"window glass, clear float, stops, putty bed, 1/8''thick",N/A,N/A
scenario_2,window_enhancement,frame,$/SF,73.5,N/A,361.5342145,window frame (derived from window unit - glazing)
scenario_2,window_enhancement,caulking,$/CY,19995.429,"joint sealant, polyurethane, bulk, 1 or 2 component",787464.6237556125,"Joint sealants, caulking and sealants, polyurethane, bulk, in place, 1 or 2 component, 1/4"" x 1/4"""
scenario_2,window_enhancement,caulking,$/LF,N/A,N/A,7.89,"Joint sealants, caulking and sealants, polyurethane, bulk, in place, 1 or 2 component, 1/4"" x 1/4"""
scenario_2,window_enhancement,film,$/SF,2.02,"security film, clear, 7mil, no glass",N/A,N/A
scenario_2,window_enhancement,weatherstrip,$/LF,5.133332,"weatherstrip, for thresholds, door sweep, flush mounted, vinyl",N/A,N/A
,,,,,,,
scenario_3,door_enhancement,door,$/m2,341.7114,"doors, residential, garage, overhead, sectional, fiberglass, standard",N/A,N/A
scenario_3,door_enhancement,bottom_seal,cost_per_unit,33,"weatherstripping, for thresholds, door sweep, flush mounted, aluminum",N/A,N/A
scenario_3,door_enhancement,top_side_seal,cost_per_unit,18.9,"weatherstripping, for garage door bottom, rubber",N/A,N/A
scenario_3,wall_insulation,material,$/CF,13.920007,"Polyisocyanurate, 2#/C.F.density",17.439999999999998,"Polyisocyanurate insulation, for roof decks, 3/4"" thick, 2#/CF density, fastening excluded"
scenario_3,roof_insulation,material,$/CF,13.920007,"Polyisocyanurate, 2#/C.F.density",23.200000000000003,"Polyisocyanurate insulation, for roof decks, 3/4"" thick, 2#/CF density, fastening excluded"
scenario_3,window_enhancement,glass,$/CF,499.199388,"window glass, clear float, stops, putty bed, 1/8''thick",N/A,N/A
scenario_3,window_enhancement,frame,$/SF,73.5,N/A,361.5342145,window frame (derived from window unit - glazing)
scenario_3,window_enhancement,caulking,$/CY,19995.429,"joint sealant, polyurethane, bulk, 1 or 2 component",787464.6237556125,"Joint sealants, caulking and sealants, polyurethane, bulk, in place, 1 or 2 component, 1/4"" x 1/4"""
scenario_3,window_enhancement,caulking,$/LF,N/A,N/A,7.89,"Joint sealants, caulking and sealants, polyurethane, bulk, in place, 1 or 2 component, 1/4"" x 1/4"""
scenario_3,window_enhancement,film,$/SF,0.84,"heat reflecting, solar film on glass, bronze, 50% VLT, excluding glass",N/A,N/A
scenario_3,window_enhancement,weatherstrip,$/LF,1.575,"weatherstripping, for garage door bottom, rubber",N/A,N/A
