Metric,Material Category,Count,Min,Max,Mean,Median,Std Dev,Q1 (25th percentile),Q3 (75th percentile)
density,Blown Cellulose,1,25.2,25.2,25.2,25.2,0.0,25.2,25.2
density,Extruded Polystyrene (XPS) Foam Board,21,20.82405,48.05550000000001,28.604275431904767,25.632,7.329196697572083,24.828675,28.84
density,Fiberglass Batts,3,12.01,12.3,12.203333333333333,12.3,0.13670731102939962,12.155000000000001,12.3
density,Graphite Polystyrene (GPS) Foam Board,4,14.0,14.416617036564132,14.104154259141033,14.0,0.18040046865696419,14.0,14.104154259141033
density,Polyiso Insulation Foam Board,1,29.0,29.0,29.0,29.0,0.0,29.0,29.0
thickness_per_declared_unit,Blown Cellulose,1,0.0381,0.0381,0.0381,0.0381,0.0,0.0381,0.0381
thickness_per_declared_unit,Blown Fiberglass,3,0.114,0.114,0.114,0.114,0.0,0.114,0.114
thickness_per_declared_unit,Extruded Polystyrene (XPS) Foam Board,14,0.0276,0.0288,0.028714285714285713,0.028799999999999996,0.00030904725218262706,0.028799999999999996,0.0288
thickness_per_declared_unit,Fiberglass Batts,3,0.033,0.0455,0.04133333333333333,0.0455,0.005892556509887895,0.03925,0.0455
thickness_per_declared_unit,Graphite Polystyrene (GPS) Foam Board,3,0.030699999999999998,0.030699999999999998,0.030699999999999995,0.030699999999999998,3.469446951953614e-18,0.030699999999999998,0.030699999999999998
thickness_per_declared_unit,Mineral Wool Light Density Blanket,6,0.0347,0.035,0.034800000000000005,0.0347,0.00014142135623731027,0.0347,0.034925000000000005
thickness_per_declared_unit,Polyiso Insulation Foam Board,15,0.024891999999999997,0.025,0.024899200000000003,0.024891999999999997,2.6939933184773363e-05,0.024891999999999997,0.024891999999999997
thickness_per_declared_unit,Pure Wool Batts,1,0.399,0.399,0.399,0.399,0.0,0.399,0.399
reference_service_life,Blown Cellulose,1,75.0,75.0,75.0,75.0,0.0,75.0,75.0
reference_service_life,Blown Fiberglass,2,60.0,75.0,67.5,67.5,7.5,63.75,71.25
reference_service_life,Expanded Polystyrene (EPS) Foam Board,1,60.0,60.0,60.0,60.0,0.0,60.0,60.0
reference_service_life,Extruded Polystyrene (XPS) Foam Board,13,75.0,75.0,75.0,75.0,0.0,75.0,75.0
reference_service_life,Fiberglass Batts,5,60.0,75.0,63.0,60.0,6.0,60.0,60.0
