Metric,Material Category,Count,Min,Max,Mean,Median,Std Dev,Q1 (25th percentile),Q3 (75th percentile)
reference_service_life,Graphite Polystyrene (GPS) Foam Board,4,75.0,75.0,75.0,75.0,0.0,75.0,75.0
reference_service_life,Polyiso Insulation Foam Board,14,40.0,75.0,61.42857142857143,60.0,10.926470386270253,60.0,71.25
gwp_per_declared_unit,Blown Cellulose,2,0.389,0.487,0.438,0.438,0.04899999999999999,0.4135,0.4625
gwp_per_declared_unit,Blown Fiberglass,5,0.868,1.29,1.1476000000000002,1.29,0.1793294175532838,1.0,1.29
gwp_per_declared_unit,Blown Mineral Wool,1,5.16,5.16,5.16,5.16,0.0,5.16,5.16
gwp_per_declared_unit,Expanded Polystyrene (EPS) Foam Board,1,2.79,2.79,2.79,2.79,0.0,2.79,2.79
gwp_per_declared_unit,Extruded Polystyrene (XPS) Foam Board,23,3.2865,103.0,24.186218880000002,9.25916424,28.410730529736202,4.15425,47.55
gwp_per_declared_unit,Fiberglass Batts,10,0.18152,1.34,0.7575419999999999,0.9445,0.4742077922978491,0.201,1.138925
gwp_per_declared_unit,Graphite Polystyrene (GPS) Foam Board,4,1.7296,1.73,1.7299000000000002,1.73,0.00017320508075686865,1.7299,1.73
gwp_per_declared_unit,Mineral Wool Heavy Density Blanket,3,2.65,4.77,3.8066666666666666,4.0,0.8762166145169558,3.325,4.385
gwp_per_declared_unit,Mineral Wool Light Density Blanket,8,4.0,5.25,4.66125,4.77,0.45222885522708517,4.36,4.89
gwp_per_declared_unit,Polyiso Insulation Foam Board,21,2.04,2.54,2.345704761904761,2.41,0.12776731259520355,2.31,2.41
gwp_per_declared_unit,Pure Wool Batts,1,2.63,2.63,2.63,2.63,0.0,2.63,2.63
gwp_per_kg (kg CO2 eq/kg),Blown Cellulose,1,0.4052083333,0.4052083333,0.4052083333,0.4052083333,0.0,0.4052083333,0.4052083333
gwp_per_kg (kg CO2 eq/kg),Blown Fiberglass,5,1.785714286,2.24738676,2.1495184493999995,2.241463415,0.18207603088489058,2.225641026,2.24738676
gwp_per_kg (kg CO2 eq/kg),Blown Mineral Wool,1,3.463087248,3.463087248,3.463087248,3.463087248,0.0,3.463087248,3.463087248
gwp_per_kg (kg CO2 eq/kg),Expanded Polystyrene (EPS) Foam Board,1,3.72,3.72,3.72,3.72,0.0,3.72,3.72
gwp_per_kg (kg CO2 eq/kg),Extruded Polystyrene (XPS) Foam Board,22,3.858836207,95.29128261,26.207800006136367,11.72859799,30.369824375861313,4.2851612735,42.8905944125
gwp_per_kg (kg CO2 eq/kg),Fiberglass Batts,10,0.3589285714,9.852941176,2.41235268771,0.88067646845,3.1048257604473246,0.66507768365,2.14946070915
gwp_per_kg (kg CO2 eq/kg),Graphite Polystyrene (GPS) Foam Board,4,3.97808,3.995381062,3.9910557965,3.995381062,0.007491579602224819,3.9910557965,3.995381062
gwp_per_kg (kg CO2 eq/kg),Mineral Wool Heavy Density Blanket,1,1.136363636,1.136363636,1.136363636,1.136363636,0.0,1.136363636,1.136363636
gwp_per_kg (kg CO2 eq/kg),Mineral Wool Light Density Blanket,7,1.136363636,2.982954545,2.597445434285714,2.839285714,0.6114387205344561,2.6935282075,2.918228865
gwp_per_kg (kg CO2 eq/kg),Polyiso Insulation Foam Board,21,0.1108202443,3.333333333,2.947998788442857,3.333333333,0.7434036649817057,2.640661939,3.333333333
gwp_per_kg (kg CO2 eq/kg),Pure Wool Batts,1,2.637913741,2.637913741,2.637913741,2.637913741,0.0,2.637913741,2.637913741
gwp_per_m3 (kg CO2 eq/m3),Blown Cellulose,1,10.21124999916,10.21124999916,10.21124999916,10.21124999916,0.0,10.21124999916,10.21124999916
gwp_per_m3 (kg CO2 eq/m3),Extruded Polystyrene (XPS) Foam Board,21,100.18576552608,4579.270231464856,843.7683301221933,295.87230324361576,1122.5654773848391,117.30234913992,1324.1379310080001
gwp_per_m3 (kg CO2 eq/m3),Fiberglass Batts,3,4.414821428220001,30.63156566251,13.153736172983335,4.414821428220001,12.358691752466518,4.414821428220001,17.523193545365
gwp_per_m3 (kg CO2 eq/m3),Graphite Polystyrene (GPS) Foam Board,4,55.935334868,57.35045590081504,56.289115126203754,55.935334868,0.6127653819237502,55.935334868,56.28911512620376
gwp_per_m3 (kg CO2 eq/m3),Polyiso Insulation Foam Board,1,96.66666665700001,96.66666665700001,96.66666665700001,96.66666665700001,0.0,96.66666665700001,96.66666665700001
gwp_per_m2 (kg CO2 eq/m2),Blown Cellulose,2,0.389,0.487,0.438,0.438,0.04899999999999999,0.4135,0.4625
gwp_per_m2 (kg CO2 eq/m2),Blown Fiberglass,5,0.868,1.29,1.1476000000000002,1.29,0.1793294175532838,1.0,1.29
gwp_per_m2 (kg CO2 eq/m2),Blown Mineral Wool,1,5.16,5.16,5.16,5.16,0.0,5.16,5.16
gwp_per_m2 (kg CO2 eq/m2),Expanded Polystyrene (EPS) Foam Board,1,2.79,2.79,2.79,2.79,0.0,2.79,2.79
gwp_per_m2 (kg CO2 eq/m2),Extruded Polystyrene (XPS) Foam Board,22,3.2865,103.0,22.558319738181822,9.11312064,27.98049066330436,3.964375,36.708750480000006
gwp_per_m2 (kg CO2 eq/m2),Fiberglass Batts,10,0.18152,1.34,0.7575419999999999,0.9445,0.4742077922978491,0.201,1.138925
gwp_per_m2 (kg CO2 eq/m2),Graphite Polystyrene (GPS) Foam Board,4,1.7296,1.73,1.7299000000000002,1.73,0.00017320508075686865,1.7299,1.73
gwp_per_m2 (kg CO2 eq/m2),Mineral Wool Heavy Density Blanket,3,2.65,4.77,3.8066666666666666,4.0,0.8762166145169558,3.325,4.385
gwp_per_m2 (kg CO2 eq/m2),Mineral Wool Light Density Blanket,8,4.0,5.25,4.66125,4.77,0.45222885522708517,4.36,4.89
gwp_per_m2 (kg CO2 eq/m2),Polyiso Insulation Foam Board,21,2.04,2.54,2.345704761904761,2.41,0.12776731259520355,2.31,2.41
gwp_per_m2 (kg CO2 eq/m2),Pure Wool Batts,1,2.63,2.63,2.63,2.63,0.0,2.63,2.63
