epd_name,declared_unit,gwp_per_declared_unit,mass_per_declared_unit,thickness,thickness_per_declared_unit,density,reference_service_life,gwp_per_m3 (kg CO2 eq/m3),gwp_per_m2 (kg CO2 eq/m2),gwp_per_kg (kg CO2 eq/kg),gwp_per_unit (kg CO2 eq/unit),category_mass_per_declared_unit,category_declared_unit,mass_per_area,original_ec3_link,description,Material Category
Loose-Fill Cellulose Insulation,1.0 m^2,0.487 kgCO2e,,,,,75 year,0.0,0.487,0.0,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/ddea07de0b844139a7ba57e5c89dc455,Cellulose insulation is a natural thermal/acoustical insulation material made from recovered paper fibers in efficient mills using recycled newsprint and cardboard.,Blown Cellulose
AFT Carbon Smart™ Loose-Fill Cellulose Insulation,1 m2,0.389 kgCO2e,0.96 kg,,0.0381 m,25.2 kg / m3,,10.21124999916,0.389,0.4052083333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/90081af7e3644a4faa4357aa35e7a957,"Cellulose insulation is a natural thermal/accoustical insulation material produced from recovered paper fibers in highly efficient electrically driven mills.  Recycled newsprint and cardboard are the principal ingredients, but other paper fibers can be, and often are used.",Blown Cellulose
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",1 m2,1.29 kgCO2e,0.5739999999999998 kg,,0.114 m,,,0.0,1.29,2.241463415,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/4f0f4939d54945a08051f4c048ac71c0,"CertainTeed is dedicated to Building Responsibly™ with fiber glass insulation products that are engineered, produced, and shipped with a commitment to minimizing environmental impact and improving energy savings. CertainTeed Blowing Wool Insulation is made of fiber glass that consists of renewable content, a high percentage of recycled glass that is noncombustible, noncorrosive, and odor-free. CertainTeed Blowing Wool Insulation will not settle, contains no chemicals to cause mildew and fungus growth, contains no formaldehyde or asbestos, provides no sustenance for vermin, won’t rot or decay, and will not absorb moisture. Blowing Wool insulation R-values 11-68 are included in this EPD.",Blown Fiberglass
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",1 m2,1.29 kgCO2e,0.574 kg,,0.114 m,,,0.0,1.29,2.24738676,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/4f0f4939d54945a08051f4c048ac71c0,"CertainTeed is dedicated to Building Responsibly™ with fiber glass insulation products that are engineered, produced, and shipped with a commitment to minimizing environmental impact and improving energy savings. CertainTeed Blowing Wool Insulation is made of fiber glass that consists of renewable content, a high percentage of recycled glass that is noncombustible, noncorrosive, and odor-free. CertainTeed Blowing Wool Insulation will not settle, contains no chemicals to cause mildew and fungus growth, contains no formaldehyde or asbestos, provides no sustenance for vermin, won’t rot or decay, and will not absorb moisture. Blowing Wool insulation R-values 11-68 are included in this EPD.",Blown Fiberglass
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",1 m2,1.29 kgCO2e,0.574 kg,,0.114 m,,,0.0,1.29,2.24738676,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/4f0f4939d54945a08051f4c048ac71c0,"CertainTeed is dedicated to Building Responsibly™ with fiber glass insulation products that are engineered, produced, and shipped with a commitment to minimizing environmental impact and improving energy savings. CertainTeed Blowing Wool Insulation is made of fiber glass that consists of renewable content, a high percentage of recycled glass that is noncombustible, noncorrosive, and odor-free. CertainTeed Blowing Wool Insulation will not settle, contains no chemicals to cause mildew and fungus growth, contains no formaldehyde or asbestos, provides no sustenance for vermin, won’t rot or decay, and will not absorb moisture. Blowing Wool insulation R-values 11-68 are included in this EPD.",Blown Fiberglass
Fiberglass Loose Fill Insulation,1 m^2,0.868 kgCO2e,0.39 kg,,,,75 year,0.0,0.868,2.225641026,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/4f0f4939d54945a08051f4c048ac71c0,"CertainTeed Fiberglass Loose Fill Insulation is made of fiberglass that consists of renewable content, a high percentage of recycled glass that is noncombustible, noncorrosive, and odor-free. CertainTeed Fiberglass Loose Fill Insulation will not settle, contains no chemicals to cause mildew and fungus growth, contains no formaldehyde or asbestos, provides no sustenance for vermin, won’t rot, or decay, and will not absorb moisture. The Fiberglass Loose Fill Insulation R-values included in this report are R11-68. CertainTeed Fiberglass Loose Fill are also UL Green Guard GOLD certified.",Blown Fiberglass
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",1 m2,1 kgCO2e,0.56 kg,,,,60 year,0.0,1.0,1.785714286,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/4f0f4939d54945a08051f4c048ac71c0,"CertainTeed is dedicated to Building Responsibly™ with fiber glass insulation products that are engineered, produced and shipped with a commitment to minimizing environmental impact and improving energy savings. CertainTeed blowing insulation is made of fiber glass that consists of a high percentage of recycled glass that is noncombustible, noncorrosive and odor-free. CertainTeed blowing wool insulation will not settle, contains no chemicals to cause mildew and fungus growth, contains no formaldehyde or asbestos, provides no sustenance for vermin, won’t rot or decay and will not absorb moisture. The functional unit of the products reported in this document is 1 square meter of insulation material with a thickness 2 that provides an average thermal resistance RSI= 1 m K/W (RUS=5.68) with a building service life of 60 years. Product Line Features and Benefits CertainTeed Blowing Wool is ideal for open (attic) and closed (floor/sidewalls) construction cavities in residential and commercial settings. Our blowing wool products may be used in retrofit",Blown Fiberglass
Thermafiber Mineral Wool Unbonded Loosefill,1 m2,5.16 kgCO2e,1.49 kg,,,,,0.0,5.16,3.463087248,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/affc3c4ff6db42da943316a8f84c3dc2,Thermafiber® Unbonded Loosefill is an insulation product group consisting of granulated wool and blown-in wool insulation. Thermafiber® Granulated Wool consists of bulk wool and filler/reinforcement fiber used in commercial and industrial,Blown Mineral Wool
Polyiso Roof Insulation Boards,1 m2,2.11 kgCO2e,0.846 kg,,,,75 year,0.0,2.11,2.494089835,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/7ab04d7fe1cd41fca878b860945bc31a,"Polyisocyanurate (polyiso) roof insulation boards consist of a rigid closed-cell foam core sandwiched between two facers (top and bottom). The foam core is a thermoset polymer produced through the reaction of methylene diphenylene diisocyanate (MDI) with polyester polyol, along with additives such as catalyst, surfactant, flame retardant, and blowing agent (pentane or pentane blends). For roofing applications, the most common facer is a glass fiber reinforced cellulosic facer (GRF) produced predominantly from recycled post-consumer and/or post-industrial fibers. Polyiso roof insulation is also manufactured with polymer-bonded coated glass facer (CGF), consisting of a glass fiber mat coated with polymers. Polyiso is the most widely used type of insulation in above-deck commercial roof applications in the United States and Canada. It is compatible with all low-slope roof covering types including single-ply membranes, modified bitumen systems, built-up roofing, standing-seam metal roofing, and metal panels. It is characterized by high thermal resistance, lightweight construction, and direct-to-steel deck application without a thermal barrier.",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.234 kgCO2e,0.846 kg,,,,75 year,0.0,2.234,2.640661939,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/7ab04d7fe1cd41fca878b860945bc31a,"Polyisocyanurate (polyiso) roof insulation boards consist of a rigid closed-cell foam core sandwiched between two facers (top and bottom). The foam core is produced through the reaction of methylene diphenylene diisocyanate (MDI) with polyester polyol, along with additives such as catalyst, surfactant, flame retardant, and blowing agent (pentane or pentane blends). For roofing applications, the most common facer is a glass fiber reinforced cellulosic facer (GRF) produced predominantly from recycled post-consumer and/or post-industrial fibers. Polyiso roof insulation is also manufactured with polymer-bonded coated glass facer (CGF), consisting of a glass fiber mat coated with polymers. Polyiso roof insulation boards are used in commercial, light commercial, residential, and industrial roof construction projects, installed direct-to-deck (i.e., steel, concrete, or wood) and below the membrane to provide continuous insulation.",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.04 kgCO2e,0.846 kg,,,,40 year,0.0,2.04,2.411347518,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/7ab04d7fe1cd41fca878b860945bc31a,"Polyisocyanurate (polyiso) is a cellular closed-cell rigid foam plastic insulation. The polyiso roof insulation boards consist of a foam core sandwiched between two facers (top and bottom). The foam core is comprised of a thermoset polymer that hardens by curing from a viscous liquid prepolymer. The rigid foam is produced through the reaction of methylene diphenylene diisocyanate (MDI) with polyester polyol. Other additives such as catalyst, surfactant, flame retardant, and blowing agent (pentane or pentane blends) are part of the formulation. For roofing applications, the most common facer is a glass fiber reinforced cellulosic facer (GRF) produced predominantly from recycled post-consumer and/or post-industrial fibers. Polyiso roof insulation is also manufactured with polymer-bonded coated glass facer (CGF), consisting of a glass fiber mat coated with polymers. Both facer types play a critical role in accommodating a continuous manufacturing process.",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.31 kgCO2e,1.0886208 kg,,0.025 m,,40 years,0.0,2.31,2.121949274,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/7ab04d7fe1cd41fca878b860945bc31a,"Polyiso roof insulation boards are rigid foam plastic insulation boards comprised of a foam core sandwiched between two facers. The foam core consists of the average weighted formulation by mass listed in Table 2. The facers can be glass fiber reinforced facer (GRF), coated glass fiber (CGF) facers, and manufacturing of polyiso roof insulation boards during reroofing. The system boundary includes energy, water and raw material inputs, transportation distances and modes for raw materials, direct emissions, wastewater and manufacturing waste scrap to a local landfill for disposal. Disposal of installation waste scrap to a local landfill was modeled at 1% of the board foot. Additional installation details are reported in Table 4. Polyiso roof insulation boards are manufactured to meet the requirements of industry consensus product specifications and standards in the United States and Canada. Typical physical properties for polyiso roof insulation boards are listed in Table 1. PIMA represents the rigid polyiso industry in the development of product technical standards, certification programs, and energy efficiency advocacy. As a leading advocate for building energy efficiency, PIMA has received many environmental awards, including the U.S. Environmental Protection Agency's Climate Protection Award in 2007 for the Association's leadership in promoting energy efficiency and climate protection. The U.S. EPA also awarded PIMA the Stratospheric Ozone Protection Award in 2002 for leadership in the CFC phase-out in polyiso insulation and in recognition of exceptional contributions to global environmental protection.",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.11 kgCO2e,0.846 kg,,,,75 year,0.0,2.11,2.494089835,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/7ab04d7fe1cd41fca878b860945bc31a,"Polyisocyanurate (polyiso) rigid foam roof insulation boards consisting of a closed-cell foam core sandwiched between two facers (top and bottom). The foam core is a thermoset polymer produced through the reaction of methylene diphenylene diisocyanate (MDI) with polyester polyol, along with catalyst, surfactant, flame retardant, and pentane blowing agent. Facers include glass fiber reinforced cellulosic facer (GRF) produced predominantly from recycled fibers, or polymer-bonded coated glass facer (CGF). Used in commercial, light commercial, residential, and industrial roof construction applications.",Polyiso Insulation Foam Board
