epd_name,declared_unit,gwp_per_declared_unit,mass_per_declared_unit,thickness,thickness_per_declared_unit,density,reference_service_life,gwp_per_m3 (kg CO2 eq/m3),gwp_per_m2 (kg CO2 eq/m2),gwp_per_kg (kg CO2 eq/kg),gwp_per_unit (kg CO2 eq/unit),category_mass_per_declared_unit,category_declared_unit,mass_per_area,original_ec3_link,description,Material Category
Polyiso Roof Insulation Board with GRF Facer,1 m2,2.1758 kgCO2e,0.733 kg,,,,75 years,0.0,2.1758,2.96834925,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/8bd676488ef043e59eafe70f18bc42ed,"Polyisocyanurate (Polyiso) is a cellular closed-cell rigid foam plastic insulation. Polyiso roof insulation boards consist of a foam core sandwiched between twofacers (top and bottom). The foam core is comprised of a thermoset polymer that hardens by curing from a viscous liquid prepolymer. The rigid foam is produced through the reaction of methylene diphenylene diisocyanate (MDI) with polyester polyol. Other additives such as catalyst, surfactant, flame retardant, and blowing agent (pentane or pentane blends) are part of the formulation. Pentane is a hydrocarbon with negligible ozone depletion potential (ODP) (U.S. EPA, 2018) and low global warming potential (GWP) (U.S. EPA, 2020). For nearly 20 years, the polyiso industry has only utilized pentane or pentane blends in product formulations. Upon mixing of the components, the viscous pre-polymer is laid between the facers, and a chemical reaction cross-links polymer chains creating a rigid and durable cellular structure. For roofing applications, the most common facer is a glass fiber reinforced cellulosic facer (GRF) produced predominantly from recycled post-consumer and/or post-industrial fibers. Polyiso roof insulation is also manufactured with polymer-bonded coated glass facer (CGF), consisting of a glass fiber mat coated with polymers. Both facer types play a critical role in accommodating a continuous manufacturing process.",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.54 kgCO2e,22.92 kg,,,,60 years,0.0,2.54,0.1108202443,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/3b8b1b4314954a97a172218165c47094,"Polyiso insulation produced by Carlisle Syntec is a rigid roof insulation panel composed of closed-cell Polyiso foam
bonded to two different types of facers. The InsulBase brand incorporates glass reinforced felt (GRF) facers while the
SecurShield brand incorporates Coated Glass Fiber (CGF) facers. Polyiso boards can come in a variety of thicknesses
and thus have a range of R-values.",Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f67dfbc4fd4940cbb24d71c6eff54a15,Polyiso insulation produced by Carlisle Syntec is a rigid roof insulation panel composed of closed-cell Polyiso foam bonded to two different types of facers. The InsulBase brand incorporates glass reinforced felt (GRF) facers while the SecurShield brand incorporates Coated Glass Fiber (CGF) facers. Polyiso boards can come in a variety of thicknesses and thus have a range of R-values.,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f67dfbc4fd4940cbb24d71c6eff54a15,Polyiso insulation produced by Carlisle Syntec is a rigid roof insulation panel composed of closed-cell Polyiso foam bonded to two different types of facers. The InsulBase brand incorporates glass reinforced felt (GRF) facers while the SecurShield brand incorporates Coated Glass Fiber (CGF) facers. Polyiso boards can come in a variety of thicknesses and thus have a range of R-values.,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f67dfbc4fd4940cbb24d71c6eff54a15,Polyiso insulation produced by Carlisle Syntec is a rigid roof insulation panel composed of closed-cell Polyiso foam bonded to two different types of facers. The InsulBase brand incorporates glass reinforced felt (GRF) facers while the SecurShield brand incorporates Coated Glass Fiber (CGF) facers. Polyiso boards can come in a variety of thicknesses and thus have a range of R-values.,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f67dfbc4fd4940cbb24d71c6eff54a15,Polyiso insulation produced by Carlisle Syntec is a rigid roof insulation panel composed of closed-cell Polyiso foam bonded to two different types of facers. The InsulBase brand incorporates glass reinforced felt (GRF) facers while the SecurShield brand incorporates Coated Glass Fiber (CGF) facers. Polyiso boards can come in a variety of thicknesses and thus have a range of R-values.,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f67dfbc4fd4940cbb24d71c6eff54a15,Polyiso insulation produced by Carlisle Syntec is a rigid roof insulation panel composed of closed-cell Polyiso foam bonded to two different types of facers. The InsulBase brand incorporates glass reinforced felt (GRF) facers while the SecurShield brand incorporates Coated Glass Fiber (CGF) facers. Polyiso boards can come in a variety of thicknesses and thus have a range of R-values.,Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f67dfbc4fd4940cbb24d71c6eff54a15,Polyiso insulation produced by Carlisle Syntec is a rigid roof insulation panel composed of closed-cell Polyiso foam bonded to two different types of facers. The InsulBase brand incorporates glass reinforced felt (GRF) facers while the SecurShield brand incorporates Coated Glass Fiber (CGF) facers. Polyiso boards can come in a variety of thicknesses and thus have a range of R-values.,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,60 year,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f68002a0d03b4358a8d9737e135d71c5,"Cellular Polyiso insulation produced by Hunter Panels is a rigid insulation panel composed of a closed cell foam bonded to two facers in the manufacturing process. Polyiso is available in a variety of thicknesses, sizes and r-values, depending on the design specifications. Polyiso insulation board is the most widely used insulating material for above-deck commercial roof construction in North America. In commercial roofing assemblies, one or more layers of Polyiso are placed above the roof deck (typically Steel, Concrete or Plywood) and beneath the roof covering or membrane. Polyiso is widely known for being the highest r-value per inch of any insulation, and its compatibility with various roofing",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,60 year,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f68002a0d03b4358a8d9737e135d71c5,"Cellular Polyiso insulation produced by Hunter Panels is a rigid insulation panel composed of a closed cell foam bonded to two facers in the manufacturing process. Polyiso is available in a variety of thicknesses, sizes and r-values, depending on the design specifications. Polyiso insulation board is the most widely used insulating material for above-deck commercial roof construction in North America. In commercial roofing assemblies, one or more layers of Polyiso are placed above the roof deck (typically Steel, Concrete or Plywood) and beneath the roof covering or membrane. Polyiso is widely known for being the highest r-value per inch of any insulation, and its compatibility with various roofing",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,60 year,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f68002a0d03b4358a8d9737e135d71c5,"Cellular Polyiso insulation produced by Hunter Panels is a rigid insulation panel composed of a closed cell foam bonded to two facers in the manufacturing process. Polyiso is available in a variety of thicknesses, sizes and r-values, depending on the design specifications. Polyiso insulation board is the most widely used insulating material for above-deck commercial roof construction in North America. In commercial roofing assemblies, one or more layers of Polyiso are placed above the roof deck (typically Steel, Concrete or Plywood) and beneath the roof covering or membrane. Polyiso is widely known for being the highest r-value per inch of any insulation, and its compatibility with various roofing",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,60 year,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f68002a0d03b4358a8d9737e135d71c5,"Cellular Polyiso insulation produced by Hunter Panels is a rigid insulation panel composed of a closed cell foam bonded to two facers in the manufacturing process. Polyiso is available in a variety of thicknesses, sizes and r-values, depending on the design specifications. Polyiso insulation board is the most widely used insulating material for above-deck commercial roof construction in North America. In commercial roofing assemblies, one or more layers of Polyiso are placed above the roof deck (typically Steel, Concrete or Plywood) and beneath the roof covering or membrane. Polyiso is widely known for being the highest r-value per inch of any insulation, and its compatibility with various roofing",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,60 year,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f68002a0d03b4358a8d9737e135d71c5,"Cellular Polyiso insulation produced by Hunter Panels is a rigid insulation panel composed of a closed cell foam bonded to two facers in the manufacturing process. Polyiso is available in a variety of thicknesses, sizes and r-values, depending on the design specifications. Polyiso insulation board is the most widely used insulating material for above-deck commercial roof construction in North America. In commercial roofing assemblies, one or more layers of Polyiso are placed above the roof deck (typically Steel, Concrete or Plywood) and beneath the roof covering or membrane. Polyiso is widely known for being the highest r-value per inch of any insulation, and its compatibility with various roofing",Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,60 year,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f68002a0d03b4358a8d9737e135d71c5,"Cellular Polyiso insulation produced by Hunter Panels is a rigid insulation panel composed of a closed cell foam bonded to two facers in the manufacturing process. Polyiso is available in a variety of thicknesses, sizes and r-values, depending on the design specifications. Polyiso insulation board is the most widely used insulating material for above-deck commercial roof construction in North America. In commercial roofing assemblies, one or more layers of Polyiso are placed above the roof deck (typically Steel, Concrete or Plywood) and beneath the roof covering or membrane. Polyiso is widely known for being the highest r-value per inch of any insulation, and its compatibility with various roofing",Polyiso Insulation Foam Board
Polyiso Roof Insulation Board,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,,,0.0,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/f67dfbc4fd4940cbb24d71c6eff54a15,Polyiso insulation produced by Carlisle Syntec is a rigid roof insulation panel composed of closed-cell Polyiso foam bonded to two different types of facers. The InsulBase brand incorporates glass reinforced felt (GRF) facers while the SecurShield brand incorporates Coated Glass Fiber (CGF) facers. Polyiso boards can come in a variety of thicknesses and thus have a range of R-values.,Polyiso Insulation Foam Board
Polyiso Roof Insulation Boards,1 m2,2.41 kgCO2e,0.723 kg,,0.024891999999999997 m,29 kg/m3,60 year,96.66666665700001,2.41,3.333333333,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/3b8b1b4314954a97a172218165c47094,"Cellular Polyiso insulation produced by Hunter Panels is a rigid insulation panel composed of a closed cell foam bonded to two facers in the manufacturing process. Polyiso is available in a variety of thicknesses, sizes and r-values, depending on the design specifications. Polyiso insulation board is the most widely used insulating material for above-deck commercial roof construction in North America. In commercial roofing assemblies, one or more layers of Polyiso are placed above the roof deck (typically Steel, Concrete or Plywood) and beneath the roof covering or membrane. Polyiso is widely known for being the highest r-value per inch of any insulation, and its compatibility with various roofing",Polyiso Insulation Foam Board
Neopor® Plus Graphite Polystyrene Insulation,1 m2,1.7296 kgCO2e,0.43478260869565216 kg,,,14.416617036564132 kg / m3,75 years,57.35045590081504,1.7296,3.97808,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/c33f916720674915b58e524b210c2927,Neopor® Plus (GPS) insulation boards are graphite polystyrene (GPS) with a polymeric flame retardant in uniform distribution (blowing agent: pentane).,Graphite Polystyrene (GPS) Foam Board
Neopor® Plus Graphite Polystyrene Insulation,1 m2,1.73 kgCO2e,0.433 kg,,0.030699999999999998 m,14 kg/m3,75 year,55.935334868,1.73,3.995381062,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/c33f916720674915b58e524b210c2927,Neopor® Plus (GPS) insulation boards are graphite polystyrene (GPS) with a polymeric flame retardant in uniform distribution (blowing agent: pentane),Graphite Polystyrene (GPS) Foam Board
Neopor® Plus Graphite Polystyrene Insulation,1 m2,1.73 kgCO2e,0.433 kg,,0.030699999999999998 m,14 kg/m3,75 year,55.935334868,1.73,3.995381062,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/c33f916720674915b58e524b210c2927,Neopor® Plus (GPS) insulation boards are graphite polystyrene (GPS) with a polymeric flame retardant in uniform distribution (blowing agent: pentane),Graphite Polystyrene (GPS) Foam Board
Neopor® Plus Graphite Polystyrene Insulation,1 m2,1.73 kgCO2e,0.433 kg,,0.030699999999999998 m,14 kg/m3,75 year,55.935334868,1.73,3.995381062,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/c33f916720674915b58e524b210c2927,Neopor® Plus (GPS) insulation boards are graphite polystyrene (GPS) with a polymeric flame retardant in uniform distribution (blowing agent: pentane),Graphite Polystyrene (GPS) Foam Board
EPS Insulation,1 m2,2.79 kgCO2e,0.75 kg,,,,60 year,0.0,2.79,3.72,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/54c9f82059be449dbe20cc58b979f109,"Expanded polystyrene (EPS) insulation is a closed-cell foam plastic that is 98% air. EPS insulation is foam plastic and has never contained chlorofluorocarbon (CFCs), hydrofluorocarbons (HFCs) or hydrochlorofluorocarbon (HCFCs) blowing agents. EPS is easily recyclable and re-incorporated into the manufacturing process. This EPD is based on ASTM C578 Type I EPS insulation with a functional unit of 1 m² with a thermal resistance RSI = 1 m²K/W and service life of 60 years. The thickness of the ASTM C578 Type I EPS insulation required for the functional unit is 4.01 centimeters (1.58 in).",Expanded Polystyrene (EPS) Foam Board
Styrofoam Brand XPS Insulation Products,1 m2,3.51 kgCO2e,0.744 kg,,0.0276 m,,,0.0,3.51,4.717741935,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/1c2f8d79ccdc4d1e86973247d985a87c,"DuPont Styrofoam Brand XPS Insulation products - Extruded Polystyrene Foam Insulations. 1 m² of insulation material with a thickness that gives an average thermal resistance RSI = 1 m²K/W for a period of 75 years. Products include various types such as Ag Board, Cavitymate, Deckmatte, Duratherm, Freezermate, Highloard, Panel Core, Perimate, Picazamatte, Recovermate, Residential Sheathing, Residing Board, Roofmate, Scoreboard, SM, Square Edge, Styroscan, Ultra, UtilityFit, Wallmatte, and Z-mate. The insulation primarily consists of polystyrene foam with blowing agents, and some products are lined with films or facers to prevent water and water vapor intrusion.",Extruded Polystyrene (XPS) Foam Board
FOAMULAR® NGX™ 1000 XPS Insulation,1 m2,9.59 kgCO2e,0.777 kg,,0.028799999999999996 m,48.05550000000001 kg/m3,75 years,593.2559710402651,9.59,12.34522523,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/affc3c4ff6db42da943316a8f84c3dc2,"FOAMULAR® NGX™ XPS Insulation is a comprehensive line of rigid foam products that are easy to use, resist water absorption, deliver high compressive strength and maintain a high R-value throughout the life of the building.* It has third-party certified recycled content - certified by SCS Global Services - and, in addition is GREENGUARD Gold certified, offers the the industry’s only lifetime limited warranty.* FOAMULAR® NGX™ XPS Insulation is made with Owens Corning’s patented Hydrovac® process technology under strict quality control measures, which makes it highly resistant to moisture and permits the product to retain its high R-value year after year even after prolonged exposure to moisture and freeze/thaw cycling. Another primary difference with FOAMULAR® NGX™ XPS Insulation products is its compressive strength. FOAMULAR® NGX™ XPS Insulation has compressive strengths of 15, 20, 25, 30, 35, 40, 60 and 100 psi. The variety of products provides different strengths for use in walls, where there is almost no compressive load, or intermediate strength product for use with modest loads such as around foundations, or in low slope roofs. It also is suitable for use under high load pavement, such as floors or plaza decks. FOAMULAR® NGX™ XPS Insulation is an integral component of our Owens Corning® ResidentialComplete® Wall Systems and the Owens Corning® CommercialComplete® Wall Systems portfolios. FOAMULAR® NGX™ contains the additional benefit of being manufactured with a blowing agent formulation that delivers a 90% reduction to Global Warming Potential (100 year) compared to FOAMULAR® blowing agent, including the complete elimination of HFC 134a.",Extruded Polystyrene (XPS) Foam Board
"XPS Insulation Board, 25 psi Standard",1 m2,3.2865 kgCO2e,0.743 kg,,,25.63 kg / m3,,113.36876850992,3.2865,4.423283984,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/1550bf24e13e42c7ae68dc68f2739b8a,"The products include extruded polystyrene insulation boards manufactured at the company’s production facility in
Winchester, VA. The products are constructed from polystyrene plastics and various blowing agents sourced from various
local and regional suppliers. A product with a standard blowing agent and a low-GWP blowing agentare included.",Extruded Polystyrene (XPS) Foam Board
"XPS Insulation Board, 40 psi, Standard",1 m2,3.6626 kgCO2e,0.864 kg,,,28.84 kg / m3,,122.2562314708,3.6626,4.23912037,0.0,,,0.0,https://buildingtransparency.org/ec3/organizations/1550bf24e13e42c7ae68dc68f2739b8a,"The products include extruded polystyrene insulation boards manufactured at the company’s production facility in Winchester, VA. The products are constructed from polystyrene plastics and various blowing agents sourced from various local and regional suppliers. A product with a standard blowing agent and a low-GWP blowing agentare included.",Extruded Polystyrene (XPS) Foam Board
