Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Tot Cool Cap [W]
00:10:00,7.502560E-02,1.770537E+03,3.562085E-01,4.175028E+03,5.805269E+03,7.502560E-02,2.011785E+03,3.467305E-01,3.827958E+03,6.204702E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.342182E+03,2.656987E-01,3.116501E+03,4.473588E+03,5.687426E-02,1.525063E+03,2.400870E-01,2.647648E+03,4.592678E+03,1.498807E-01,5.918003E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,7.961994E+02,1.651983E-01,1.933400E+03,2.752432E+03,3.373854E-02,9.046873E+02,1.502029E-01,1.657476E+03,2.829019E+03,9.075300E-02,3.564133E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.342182E+03,2.681284E-01,3.143623E+03,4.507878E+03,5.687426E-02,1.525063E+03,2.420423E-01,2.669473E+03,4.623140E+03,1.525744E-01,5.996230E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,7.961994E+02,1.737928E-01,2.029355E+03,2.853770E+03,3.373854E-02,9.046873E+02,1.583144E-01,1.748037E+03,2.925641E+03,9.180641E-02,3.594719E+03,3.373854E-02,0.000000E+00,0.000000E+00
00:20:00,7.502560E-02,1.777699E+03,3.557460E-01,4.162702E+03,5.792541E+03,7.502560E-02,2.018947E+03,3.462660E-01,3.815610E+03,6.191927E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.347611E+03,2.645122E-01,3.097825E+03,4.452800E+03,5.687426E-02,1.530493E+03,2.390121E-01,2.630219E+03,4.575435E+03,1.498693E-01,5.917673E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,7.994201E+02,1.643919E-01,1.921177E+03,2.738805E+03,3.373854E-02,9.079080E+02,1.494689E-01,1.646061E+03,2.817812E+03,9.074689E-02,3.563956E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.347611E+03,2.669018E-01,3.124500E+03,4.486564E+03,5.687426E-02,1.530493E+03,2.409538E-01,2.651891E+03,4.605820E+03,1.525630E-01,5.995900E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,7.994201E+02,1.727660E-01,2.014671E+03,2.837579E+03,3.373854E-02,9.079080E+02,1.573696E-01,1.734269E+03,2.912059E+03,9.180033E-02,3.594543E+03,3.373854E-02,0.000000E+00,0.000000E+00
00:30:00,7.502560E-02,1.784861E+03,3.552893E-01,4.150441E+03,5.779879E+03,7.502560E-02,2.026109E+03,3.458073E-01,3.803326E+03,6.179219E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.353040E+03,2.633510E-01,3.079433E+03,4.432342E+03,5.687426E-02,1.535922E+03,2.379472E-01,2.612901E+03,4.558461E+03,1.498580E-01,5.917346E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.026409E+02,1.636024E-01,1.909141E+03,2.725399E+03,3.373854E-02,9.111288E+02,1.487411E-01,1.634715E+03,2.806770E+03,9.074084E-02,3.563780E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.353040E+03,2.657031E-01,3.105689E+03,4.465613E+03,5.687426E-02,1.535922E+03,2.398764E-01,2.634433E+03,4.588786E+03,1.525517E-01,5.995572E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.026409E+02,1.717695E-01,2.000325E+03,2.821764E+03,3.373854E-02,9.111288E+02,1.564475E-01,1.720754E+03,2.898829E+03,9.179430E-02,3.594368E+03,3.373854E-02,0.000000E+00,0.000000E+00
00:40:00,7.502560E-02,1.792023E+03,3.548379E-01,4.138239E+03,5.767277E+03,7.502560E-02,2.033271E+03,3.453538E-01,3.791101E+03,6.166570E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.358470E+03,2.622144E-01,3.061315E+03,4.412204E+03,5.687426E-02,1.541351E+03,2.368945E-01,2.595718E+03,4.541721E+03,1.498469E-01,5.917021E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.058616E+02,1.628290E-01,1.897287E+03,2.712205E+03,3.373854E-02,9.143495E+02,1.480214E-01,1.623459E+03,2.795874E+03,9.073483E-02,3.563605E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.358470E+03,2.645314E-01,3.087179E+03,4.445011E+03,5.687426E-02,1.541351E+03,2.388072E-01,2.617067E+03,4.571933E+03,1.525405E-01,5.995247E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.058616E+02,1.708013E-01,1.986295E+03,2.806303E+03,3.373854E-02,9.143495E+02,1.555446E-01,1.707452E+03,2.885865E+03,9.178832E-02,3.594194E+03,3.373854E-02,0.000000E+00,0.000000E+00
00:50:00,7.502560E-02,1.799185E+03,3.543913E-01,4.126091E+03,5.754731E+03,7.502560E-02,2.040433E+03,3.449053E-01,3.778931E+03,6.143622E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.363899E+03,2.611017E-01,3.043464E+03,4.392372E+03,5.687426E-02,1.546781E+03,2.358538E-01,2.578670E+03,4.517339E+03,1.498358E-01,5.916699E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.090823E+02,1.620715E-01,1.885610E+03,2.699214E+03,3.373854E-02,9.175702E+02,1.473101E-01,1.612296E+03,2.780458E+03,9.072886E-02,3.563432E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.363899E+03,2.633857E-01,3.068960E+03,4.424741E+03,5.687426E-02,1.546781E+03,2.377488E-01,2.599821E+03,4.547419E+03,1.525294E-01,5.994925E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.090823E+02,1.698598E-01,1.972564E+03,2.791170E+03,3.373854E-02,9.175702E+02,1.546575E-01,1.694328E+03,2.868453E+03,9.178238E-02,3.594022E+03,3.373854E-02,0.000000E+00,0.000000E+00
01:00:00,7.502560E-02,1.806347E+03,3.539492E-01,4.113994E+03,5.742235E+03,7.502560E-02,2.047596E+03,3.444612E-01,3.766811E+03,6.110405E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.369328E+03,2.600123E-01,3.025872E+03,4.372836E+03,5.687426E-02,1.552210E+03,2.348250E-01,2.561754E+03,4.485181E+03,1.498247E-01,5.916379E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.123031E+02,1.613294E-01,1.874105E+03,2.686417E+03,3.373854E-02,9.207910E+02,1.466071E-01,1.601226E+03,2.760424E+03,9.072295E-02,3.563260E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.369328E+03,2.622652E-01,3.051021E+03,4.404790E+03,5.687426E-02,1.552210E+03,2.367021E-01,2.582705E+03,4.515118E+03,1.525184E-01,5.994605E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.123031E+02,1.689436E-01,1.959114E+03,2.776346E+03,3.373854E-02,9.207910E+02,1.537872E-01,1.681389E+03,2.846510E+03,9.177650E-02,3.593851E+03,3.373854E-02,0.000000E+00,0.000000E+00
01:10:00,7.502560E-02,1.811122E+03,3.535247E-01,4.104479E+03,5.732403E+03,7.502560E-02,2.052370E+03,3.440351E-01,3.757278E+03,6.086814E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.372948E+03,2.589596E-01,3.010500E+03,4.355627E+03,5.687426E-02,1.555830E+03,2.338231E-01,2.546948E+03,4.460197E+03,1.498255E-01,5.916402E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.144502E+02,1.606100E-01,1.863926E+03,2.675011E+03,3.373854E-02,9.229381E+02,1.459205E-01,1.591414E+03,2.744611E+03,9.072338E-02,3.563273E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.372948E+03,2.611833E-01,3.035323E+03,4.387189E+03,5.687426E-02,1.555830E+03,2.356823E-01,2.567700E+03,4.489973E+03,1.525192E-01,5.994628E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.144502E+02,1.680593E-01,1.947095E+03,2.763019E+03,3.373854E-02,9.229381E+02,1.529418E-01,1.669803E+03,2.828867E+03,9.177692E-02,3.593863E+03,3.373854E-02,0.000000E+00,0.000000E+00
01:20:00,7.502560E-02,1.815897E+03,3.531042E-01,4.095009E+03,5.722617E+03,7.502560E-02,2.057145E+03,3.436129E-01,3.747789E+03,6.063317E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.376567E+03,2.579372E-01,2.995467E+03,4.338837E+03,5.687426E-02,1.559449E+03,2.328422E-01,2.532376E+03,4.435152E+03,1.498263E-01,5.916425E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.165974E+02,1.599100E-01,1.853964E+03,2.663875E+03,3.373854E-02,9.250853E+02,1.452476E-01,1.581754E+03,2.728734E+03,9.072381E-02,3.563285E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.376567E+03,2.601336E-01,3.019985E+03,4.370033E+03,5.687426E-02,1.559449E+03,2.346841E-01,2.552934E+03,4.464753E+03,1.525200E-01,5.994651E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.165974E+02,1.672026E-01,1.935384E+03,2.750058E+03,3.373854E-02,9.250853E+02,1.521177E-01,1.658455E+03,2.811232E+03,9.177735E-02,3.593876E+03,3.373854E-02,0.000000E+00,0.000000E+00
01:30:00,7.502560E-02,1.820671E+03,3.526875E-01,4.085581E+03,5.712874E+03,7.502560E-02,2.061920E+03,3.431945E-01,3.738344E+03,6.039914E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.380187E+03,2.569450E-01,2.980770E+03,4.322471E+03,5.687426E-02,1.563069E+03,2.318829E-01,2.518046E+03,4.410104E+03,1.498271E-01,5.916448E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.187445E+02,1.592292E-01,1.844217E+03,2.653014E+03,3.373854E-02,9.272324E+02,1.445887E-01,1.572249E+03,2.712837E+03,9.072423E-02,3.563298E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.380187E+03,2.591159E-01,3.005004E+03,4.353326E+03,5.687426E-02,1.563069E+03,2.337080E-01,2.538416E+03,4.439521E+03,1.525208E-01,5.994674E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.187445E+02,1.663728E-01,1.923973E+03,2.737462E+03,3.373854E-02,9.272324E+02,1.513146E-01,1.647340E+03,2.793651E+03,9.177777E-02,3.593888E+03,3.373854E-02,0.000000E+00,0.000000E+00
01:40:00,7.502560E-02,1.825446E+03,3.522746E-01,4.076197E+03,5.703175E+03,7.502560E-02,2.066694E+03,3.427800E-01,3.728941E+03,6.016604E+03,7.502560E-02,4.244464E+03,7.502560E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.383806E+03,2.559827E-01,2.966408E+03,4.306523E+03,5.687426E-02,1.566688E+03,2.309457E-01,2.503961E+03,4.385143E+03,1.498279E-01,5.916471E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.208917E+02,1.585676E-01,1.834683E+03,2.642421E+03,3.373854E-02,9.293796E+02,1.439440E-01,1.562904E+03,2.696985E+03,9.072465E-02,3.563310E+03,3.373854E-02,0.000000E+00,0.000000E+00,5.687426E-02,1.383806E+03,2.581299E-01,2.990377E+03,4.337060E+03,5.687426E-02,1.566688E+03,2.327546E-01,2.524152E+03,4.414372E+03,1.525215E-01,5.994696E+03,5.687426E-02,0.000000E+00,0.000000E+00,3.373854E-02,8.208917E+02,1.655691E-01,1.912853E+03,2.725215E+03,3.373854E-02,9.293796E+02,1.505323E-01,1.636458E+03,2.776186E+03,9.177819E-02,3.593900E+03,3.373854E-02,0.000000E+00,0.000000E+00
