Time,ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Cap [W],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Sens Cool Cap [W],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Tot Cool Cap [W],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Cap [W],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Sens Cool Cap [W],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Tot Cool Cap [W],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Cap [W],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Sens Cool Cap [W],ZONE CORE SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Tot Cool Cap [W],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Cap [W],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Sens Cool Cap [W],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Tot Cool Cap [W],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Cap [W],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Sens Cool Cap [W],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Tot Cool Cap [W],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Cap [W],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Sens Cool Cap [W],ZONE EAST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Tot Cool Cap [W],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Cap [W],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Sens Cool Cap [W],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Tot Cool Cap [W],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Cap [W],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Sens Cool Cap [W],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Tot Cool Cap [W],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Cap [W],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Sens Cool Cap [W],ZONE NORTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Tot Cool Cap [W],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Cap [W],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Sens Cool Cap [W],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Tot Cool Cap [W],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Cap [W],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Sens Cool Cap [W],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Tot Cool Cap [W],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Cap [W],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Sens Cool Cap [W],ZONE SOUTH PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Tot Cool Cap [W],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Heat Cap [W],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Sens Cool Cap [W],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 1:Des Tot Cool Cap [W],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Heat Cap [W],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Sens Cool Cap [W],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 2:Des Tot Cool Cap [W],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Heat Cap [W],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Sens Cool Cap [W],ZONE WEST PERIMETER SPACE - STORY GROUND PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
00:10:00,7.309966E-02,2.163906E+03,2.712161E-01,2.782162E+03,2.646792E+03,7.309966E-02,2.577089E+03,2.384695E-01,2.003366E+03,3.094671E+03,1.139176E-01,6.172542E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,8.835865E+02,9.256709E-02,9.331373E+02,7.835179E+02,2.984875E-02,1.052301E+03,5.178937E-02,3.090843E+02,7.146825E+02,1.498412E-01,5.520378E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.480449E+03,1.575197E-01,1.590522E+03,1.353624E+03,5.001158E-02,1.763131E+03,9.433161E-02,6.022556E+02,1.303720E+03,2.310445E-01,8.668262E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.480449E+03,1.579833E-01,1.595699E+03,1.359075E+03,5.001158E-02,1.763131E+03,9.448135E-02,6.039275E+02,1.305835E+03,2.304776E-01,8.651803E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,8.835865E+02,9.287023E-02,9.365221E+02,7.870740E+02,2.984875E-02,1.052301E+03,5.188371E-02,3.101375E+02,7.160639E+02,1.494676E-01,5.509531E+03,2.984875E-02,0.000000E+00,0.000000E+00
00:20:00,7.309966E-02,2.176613E+03,2.704145E-01,2.760504E+03,2.624104E+03,7.309966E-02,2.587960E+03,2.377588E-01,1.984559E+03,3.074728E+03,1.137618E-01,6.168020E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,8.887754E+02,9.177674E-02,9.191237E+02,7.688716E+02,2.984875E-02,1.056740E+03,5.113284E-02,2.973155E+02,7.002794E+02,1.497974E-01,5.519106E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.489143E+03,1.562865E-01,1.568059E+03,1.330114E+03,5.001158E-02,1.770569E+03,9.329204E-02,5.832120E+02,1.281014E+03,2.309662E-01,8.665988E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.489143E+03,1.567456E-01,1.573186E+03,1.335515E+03,5.001158E-02,1.770569E+03,9.343715E-02,5.848322E+02,1.283072E+03,2.303993E-01,8.649530E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,8.887754E+02,9.207687E-02,9.224749E+02,7.723941E+02,2.984875E-02,1.056740E+03,5.122393E-02,2.983326E+02,7.016192E+02,1.494238E-01,5.508260E+03,2.984875E-02,0.000000E+00,0.000000E+00
00:30:00,7.309966E-02,2.189321E+03,2.696167E-01,2.738889E+03,2.601459E+03,7.309966E-02,2.598832E+03,2.370512E-01,1.965788E+03,3.054821E+03,1.136073E-01,6.163533E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,8.939643E+02,9.099378E-02,9.051925E+02,7.543079E+02,2.984875E-02,1.061180E+03,5.048498E-02,2.856436E+02,6.859633E+02,1.497540E-01,5.517847E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.497837E+03,1.550646E-01,1.545722E+03,1.306729E+03,5.001158E-02,1.778006E+03,9.226477E-02,5.643057E+02,1.258433E+03,2.308886E-01,8.663734E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.497837E+03,1.555191E-01,1.550797E+03,1.312079E+03,5.001158E-02,1.778006E+03,9.240525E-02,5.658741E+02,1.260432E+03,2.303217E-01,8.647277E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,8.939643E+02,9.129083E-02,9.085094E+02,7.577960E+02,2.984875E-02,1.061180E+03,5.057282E-02,2.866243E+02,6.872609E+02,1.493804E-01,5.507000E+03,2.984875E-02,0.000000E+00,0.000000E+00
00:40:00,7.309966E-02,2.202029E+03,2.688235E-01,2.717326E+03,2.578869E+03,7.309966E-02,2.609703E+03,2.363474E-01,1.947059E+03,3.034958E+03,1.134539E-01,6.159080E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,8.991532E+02,9.021878E-02,8.913504E+02,7.398349E+02,2.984875E-02,1.065619E+03,4.984627E-02,2.740739E+02,6.717435E+02,1.497110E-01,5.516598E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.506531E+03,1.538548E-01,1.523520E+03,1.283483E+03,5.001158E-02,1.785444E+03,9.125043E-02,5.455438E+02,1.235987E+03,2.308116E-01,8.661501E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.506531E+03,1.543046E-01,1.528542E+03,1.288780E+03,5.001158E-02,1.785444E+03,9.138629E-02,5.470605E+02,1.237928E+03,2.302448E-01,8.645044E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,8.991532E+02,9.051270E-02,8.946321E+02,7.432877E+02,2.984875E-02,1.065619E+03,4.993084E-02,2.750181E+02,6.729983E+02,1.493375E-01,5.505753E+03,2.984875E-02,0.000000E+00,0.000000E+00
00:50:00,7.309966E-02,2.214736E+03,2.680359E-01,2.695824E+03,2.556345E+03,7.309966E-02,2.620574E+03,2.356480E-01,1.928378E+03,3.015147E+03,1.133017E-01,6.154663E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.043421E+02,8.945232E-02,8.776035E+02,7.254608E+02,2.984875E-02,1.070058E+03,4.921724E-02,2.626121E+02,6.576316E+02,1.496684E-01,5.515362E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.515225E+03,1.526580E-01,1.501464E+03,1.260389E+03,5.001158E-02,1.792882E+03,9.024965E-02,5.269331E+02,1.213693E+03,2.307354E-01,8.659288E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.515225E+03,1.531031E-01,1.506433E+03,1.265633E+03,5.001158E-02,1.792882E+03,9.038088E-02,5.283983E+02,1.215574E+03,2.301686E-01,8.642832E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.043421E+02,8.974303E-02,8.808494E+02,7.288778E+02,2.984875E-02,1.070058E+03,4.929851E-02,2.635195E+02,6.588429E+02,1.492949E-01,5.504516E+03,2.984875E-02,0.000000E+00,0.000000E+00
01:00:00,7.309966E-02,2.227444E+03,2.672544E-01,2.674391E+03,2.533893E+03,7.309966E-02,2.631446E+03,2.349535E-01,1.909753E+03,2.995395E+03,1.131507E-01,6.150279E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.095311E+02,8.869489E-02,8.639575E+02,7.111920E+02,2.984875E-02,1.074497E+03,4.859846E-02,2.512649E+02,6.436395E+02,1.496262E-01,5.514136E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.523919E+03,1.514752E-01,1.479562E+03,1.237458E+03,5.001158E-02,1.800319E+03,8.926303E-02,5.084806E+02,1.191562E+03,2.306598E-01,8.657094E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.523919E+03,1.519153E-01,1.484477E+03,1.242646E+03,5.001158E-02,1.800319E+03,8.938965E-02,5.098943E+02,1.193384E+03,2.300931E-01,8.640639E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.095311E+02,8.898235E-02,8.671671E+02,7.145724E+02,2.984875E-02,1.074497E+03,4.867641E-02,2.521352E+02,6.448063E+02,1.492527E-01,5.503291E+03,2.984875E-02,0.000000E+00,0.000000E+00
01:10:00,7.309966E-02,2.235916E+03,2.666545E-01,2.659222E+03,2.518148E+03,7.309966E-02,2.638693E+03,2.344558E-01,1.896948E+03,2.973135E+03,1.131616E-01,6.150594E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.129904E+02,8.801576E-02,8.529153E+02,6.996435E+02,2.984875E-02,1.077456E+03,4.806670E-02,2.423688E+02,6.289593E+02,1.496295E-01,5.514232E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.529715E+03,1.504235E-01,1.462024E+03,1.219098E+03,5.001158E-02,1.805278E+03,8.842099E-02,4.941214E+02,1.168211E+03,2.306657E-01,8.657264E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.529715E+03,1.508584E-01,1.466879E+03,1.224226E+03,5.001158E-02,1.805278E+03,8.854250E-02,4.954780E+02,1.169964E+03,2.300989E-01,8.640809E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.129904E+02,8.829967E-02,8.560853E+02,7.029836E+02,2.984875E-02,1.077456E+03,4.814099E-02,2.431982E+02,6.300752E+02,1.492560E-01,5.503387E+03,2.984875E-02,0.000000E+00,0.000000E+00
01:20:00,7.309966E-02,2.244388E+03,2.660619E-01,2.644133E+03,2.502494E+03,7.309966E-02,2.645941E+03,2.339631E-01,1.884200E+03,2.944999E+03,1.131723E-01,6.150907E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.164496E+02,8.735692E-02,8.420997E+02,6.883341E+02,2.984875E-02,1.080416E+03,4.755493E-02,2.336958E+02,6.120936E+02,1.496328E-01,5.514327E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.535511E+03,1.494027E-01,1.444830E+03,1.201104E+03,5.001158E-02,1.810236E+03,8.760642E-02,4.800689E+02,1.141090E+03,2.306715E-01,8.657433E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.535511E+03,1.498323E-01,1.449626E+03,1.206171E+03,5.001158E-02,1.810236E+03,8.772295E-02,4.813699E+02,1.142776E+03,2.301047E-01,8.640978E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.164496E+02,8.763731E-02,8.452304E+02,6.916342E+02,2.984875E-02,1.080416E+03,4.762549E-02,2.344837E+02,6.131568E+02,1.492593E-01,5.503482E+03,2.984875E-02,0.000000E+00,0.000000E+00
01:30:00,7.309966E-02,2.252859E+03,2.654785E-01,2.629148E+03,2.486950E+03,7.309966E-02,2.653188E+03,2.334768E-01,1.871523E+03,2.917029E+03,1.131830E-01,6.151218E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.199089E+02,8.671945E-02,8.315227E+02,6.772735E+02,2.984875E-02,1.083375E+03,4.706176E-02,2.252306E+02,5.954233E+02,1.496361E-01,5.514422E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.541307E+03,1.484145E-01,1.428000E+03,1.183489E+03,5.001158E-02,1.815195E+03,8.682036E-02,4.663347E+02,1.114233E+03,2.306773E-01,8.657600E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.541307E+03,1.488388E-01,1.432738E+03,1.188496E+03,5.001158E-02,1.815195E+03,8.693203E-02,4.675814E+02,1.115853E+03,2.301105E-01,8.641145E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.199089E+02,8.699636E-02,8.346145E+02,6.805339E+02,2.984875E-02,1.083375E+03,4.712972E-02,2.259893E+02,5.964517E+02,1.492625E-01,5.503576E+03,2.984875E-02,0.000000E+00,0.000000E+00
01:40:00,7.309966E-02,2.261331E+03,2.649061E-01,2.614286E+03,2.471539E+03,7.309966E-02,2.660436E+03,2.329979E-01,1.858929E+03,2.889237E+03,1.131937E-01,6.151526E+03,7.309966E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.233682E+02,8.610439E-02,8.211959E+02,6.664764E+02,2.984875E-02,1.086334E+03,4.658407E-02,2.169381E+02,5.788951E+02,1.496393E-01,5.514515E+03,2.984875E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.547103E+03,1.474605E-01,1.411552E+03,1.166277E+03,5.001158E-02,1.820153E+03,8.606379E-02,4.529297E+02,1.087649E+03,2.306830E-01,8.657766E+03,5.001158E-02,0.000000E+00,0.000000E+00,5.001158E-02,1.547103E+03,1.478796E-01,1.416232E+03,1.171226E+03,5.001158E-02,1.820153E+03,8.617072E-02,4.541236E+02,1.089202E+03,2.301162E-01,8.641310E+03,5.001158E-02,0.000000E+00,0.000000E+00,2.984875E-02,9.233682E+02,8.637786E-02,8.242494E+02,6.696975E+02,2.984875E-02,1.086334E+03,4.664937E-02,2.176672E+02,5.798863E+02,1.492657E-01,5.503670E+03,2.984875E-02,0.000000E+00,0.000000E+00
