# Wall Construction AdditionalProperties
,out_R11.9_Expanded_Polystyrene_EPS_Foam_Board,out_R11.9_Extruded_Polystyrene_XPS_Foam_Board,out_R11.9_Fiberglass_Batts,out_R11.9_Graphite_Polystyrene_GPS_Foam_Board,out_R11.9_Mineral_Wool_Heavy_Density_Blanket,out_R11.9_Mineral_Wool_Light_Density_Blanket,out_R11.9_Polyiso_Insulation_Foam_Board,out_R11.9_Pure_Wool_Batts,out_R13.0_Expanded_Polystyrene_EPS_Foam_Board,out_R13.0_Extruded_Polystyrene_XPS_Foam_Board,out_R13.0_Fiberglass_Batts,out_R13.0_Graphite_Polystyrene_GPS_Foam_Board,out_R13.0_Mineral_Wool_Heavy_Density_Blanket,out_R13.0_Mineral_Wool_Light_Density_Blanket,out_R13.0_Polyiso_Insulation_Foam_Board,out_R13.0_Pure_Wool_Batts,out_R15.6_Expanded_Polystyrene_EPS_Foam_Board,out_R15.6_Extruded_Polystyrene_XPS_Foam_Board,out_R15.6_Fiberglass_Batts,out_R15.6_Graphite_Polystyrene_GPS_Foam_Board,out_R15.6_Mineral_Wool_Heavy_Density_Blanket,out_R15.6_Mineral_Wool_Light_Density_Blanket,out_R15.6_Polyiso_Insulation_Foam_Board,out_R15.6_Pure_Wool_Batts,out_R18.2_Expanded_Polystyrene_EPS_Foam_Board,out_R18.2_Extruded_Polystyrene_XPS_Foam_Board,out_R18.2_Fiberglass_Batts,out_R18.2_Graphite_Polystyrene_GPS_Foam_Board,out_R18.2_Mineral_Wool_Heavy_Density_Blanket,out_R18.2_Mineral_Wool_Light_Density_Blanket,out_R18.2_Polyiso_Insulation_Foam_Board,out_R18.2_Pure_Wool_Batts,out_R20.4_Expanded_Polystyrene_EPS_Foam_Board,out_R20.4_Extruded_Polystyrene_XPS_Foam_Board,out_R20.4_Fiberglass_Batts,out_R20.4_Graphite_Polystyrene_GPS_Foam_Board,out_R20.4_Mineral_Wool_Heavy_Density_Blanket,out_R20.4_Mineral_Wool_Light_Density_Blanket,out_R20.4_Polyiso_Insulation_Foam_Board,out_R20.4_Pure_Wool_Batts,out_R27.0_Expanded_Polystyrene_EPS_Foam_Board,out_R27.0_Extruded_Polystyrene_XPS_Foam_Board,out_R27.0_Fiberglass_Batts,out_R27.0_Graphite_Polystyrene_GPS_Foam_Board,out_R27.0_Mineral_Wool_Heavy_Density_Blanket,out_R27.0_Mineral_Wool_Light_Density_Blanket,out_R27.0_Polyiso_Insulation_Foam_Board,out_R27.0_Pure_Wool_Batts,out_R5_Expanded_Polystyrene_EPS_Foam_Board,out_R5_Extruded_Polystyrene_XPS_Foam_Board,out_R5_Fiberglass_Batts,out_R5_Graphite_Polystyrene_GPS_Foam_Board,out_R5_Mineral_Wool_Heavy_Density_Blanket,out_R5_Mineral_Wool_Light_Density_Blanket,out_R5_Polyiso_Insulation_Foam_Board,out_R5_Pure_Wool_Batts,out_R8.1_Expanded_Polystyrene_EPS_Foam_Board,out_R8.1_Extruded_Polystyrene_XPS_Foam_Board,out_R8.1_Fiberglass_Batts,out_R8.1_Graphite_Polystyrene_GPS_Foam_Board,out_R8.1_Mineral_Wool_Heavy_Density_Blanket,out_R8.1_Mineral_Wool_Light_Density_Blanket,out_R8.1_Polyiso_Insulation_Foam_Board,out_R8.1_Pure_Wool_Batts
construction_handle,{14357411-d500-49ff-b5ca-5ab2616ab65d},{3477b5fe-e680-4bff-9c72-381b2363b11d},{3189ec86-4695-4500-b946-4eb619967baf},{aa89cc37-0257-4d4f-ace1-0f1594e4fd7a},{3b5b1b44-ab73-466d-a107-310b891e64f5},{ab423645-a169-4727-8649-36e336833544},{31d4386e-9ce2-47d1-8230-41cc85cdaf2b},{2173e17b-be34-40aa-881e-ef6591bfc00b},{fcd350f5-431e-46d3-a573-bd2b18072bfe},{118234aa-dd60-424d-8d19-8c857ff98a00},{daf5a8ae-18aa-476c-9829-ac791f749d0c},{19036386-3aa2-4bc9-b270-e9820e752a23},{484fab74-3314-4de3-920e-7f33202d7550},{6414cce1-f095-4ef8-afe4-0832e7bd3655},{94609781-0470-4716-a4fb-6793183ff083},{2b2bcf65-0455-456a-bf8d-146ade1b0e2f},{26d42e7d-9a35-4e14-a042-c85b090b3454},{fb916780-49af-4435-8234-ba702d841734},{de8713e7-49d2-41bd-88e1-0c4aebc4d003},{8e240cbd-05ee-42d1-bc3c-d59604bc18b5},{064e1b2e-03d5-4ac4-88c3-2d88d0cae3fc},{e3122a2c-0296-40d2-84e2-5fa3588841a7},{b48ea7b2-eb86-473b-950c-a80d00d2124c},{7a29d2ff-9a6f-49c9-a608-75e4e77d49a1},{70b7aa0c-b438-454e-8b3d-98f5d301db16},{8a0544e5-6d0d-470e-b9d5-d32844e3599d},{6a942386-423f-4e33-af53-e15235f28d9d},{a3fdf4f2-1c44-41b6-bba5-9090386513fc},{160b8f9f-d646-4326-83e8-6091162e70d7},{79ecd119-56e0-43f9-b30e-17c5e32aade4},{c2a6420b-d7b9-4cb9-b7c2-4ea1216a97d3},{a66cb40b-5787-4b6a-bae6-8383d42fe42a},{2157ea14-3e7d-46ec-b485-3abd1c6df985},{c2fa7194-f8c8-4fa1-bb0f-113c54c15a38},{d8607e4b-1f60-43c8-a801-5af179962c32},{cd27e489-3d67-4ad3-bc61-c243ced1310b},{277273dc-30d5-4c7d-ac52-698e8fafe2a1},{84bf660e-ce2f-4f38-977e-c2df6e78c111},{13ba8a2a-5903-4588-9c2e-184d75f0cd87},{8b586c54-55f1-4664-9f80-679f5e2b1366},{687763f2-d470-4b62-bbb4-a77f7392f71f},{cc154cb6-a589-4b02-966b-ca1908355b7e},{f67d3395-c3d4-4648-8d49-82977b7c39c3},{c7c73680-aa46-463e-ab03-5b31765ea951},{6c2dc33f-6f0f-43af-8300-312b8a69869d},{8bbeb454-af61-4c3d-9ed1-17fac6fdcf7f},{9fc47795-3a60-438b-ae23-057405d106ed},{f5ff5e4c-e822-4594-9ba8-f3b3c766915a},{6d2d9a88-1b8f-4924-ac36-d81970720830},{11643ae9-50d2-47a9-977f-90e36f555921},{a5d5a4f6-ed63-434f-a5ed-921b36d5c2c2},{74150c38-439c-47ec-8ecf-fd29e0916ba6},{6156552b-2930-455b-a985-d040ab000b63},{a00b7da6-3358-4d4b-8738-2c9b2db31b46},{27a541a1-4823-4967-b0d7-8455fca847e9},{2abc7b85-cc40-4e86-a306-9bfc26ab432e},{6869db62-50b9-47ae-b59e-f6cd7ce42e93},{77c52724-bdaf-49e5-aa62-6e3f6d6f005b},{58f30990-ac81-4d27-ad0a-3cc2feeb9af0},{34166aed-f0fa-4bb6-a1d2-b5ad5bb77931},{e79256f9-4787-4d87-b564-0b08f32e2aac},{23bbf944-2078-415a-b926-35ca3028e2ac},{2a1440df-af24-4f48-96d3-d1a4c1285fa2},{6d25560f-f5a6-43be-b3b1-da3b23c3b0d5}
total_volume_m3,9.889416621723749,9.598551426967168,9.598551426967168,8.725955842697426,9.307686232210585,9.307686232210585,7.271629868914521,11.634607790263233,11.655842321092075,11.313023429295251,11.313023429295251,10.284566753904771,10.970204537498425,10.970204537498425,8.570472294920643,13.71275567187303,15.831030337780854,15.365411798434359,15.365411798434359,13.96855618039487,14.899793259087863,14.899793259087863,11.640463483662394,18.62474157385983,20.00621835446963,19.417800167573468,19.417800167573468,17.652545606884967,18.8293819806773,18.8293819806773,14.710454672404142,23.536727475846625,23.539069753206284,22.846744172229627,22.846744172229627,20.769767429299662,22.154418591252973,22.154418591252973,17.308139524416383,27.693023239066214,34.137623949416266,33.13357618619814,33.13357618619814,30.121432896543762,32.129528422980016,32.129528422980016,25.10119408045314,40.16191052872502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7872187511786115,3.6758299643792403,3.6758299643792403,3.3416636039811274,3.5644411775798694,3.5644411775798694,2.7847196699842733,4.455551471974836
total_embodied_carbon_kgCO2eq,735.772596656247,2795.1514254104786,42.37589051964632,488.0892621046616,2065.4739488470564,1287.5766364519166,702.9242205914446,766.6634721918042,867.1946686892504,3294.415183863652,49.94497825360759,575.2706853519632,2434.4043321221093,1517.5607242431804,828.4789884261477,903.6032040129628,1177.8286571308956,4474.493158389336,67.83554926115242,781.3358675728581,3306.4216016813266,2061.159477204349,1125.2448033081737,1227.278933772065,1488.4626455725406,5654.571132915019,85.72612026869727,987.4010497937529,4178.438871240543,2604.758230165518,1422.0106181901995,1550.9546635311676,1751.3067896385476,6653.098649821364,100.86429573661978,1161.7638962883561,4916.299637790649,3064.7264057480447,1673.1201538596051,1824.8341271734841,2539.8392218365707,9648.68120054041,146.2788221403875,1684.8524357721665,7129.881937440971,4444.630932495628,2426.4487608678255,2646.4725181004374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.7690750876887,1070.4220780267876,16.228132893234633,186.9170727048921,790.9871702605083,493.0861513548236,269.1895680715608,293.59894408234686
target_insulation_r-value_ip,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
renovated_exterior_wall_area_m2,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207,268.18797576267207
original_insulation_r-value_ip,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652,5.741598722331652
insutlation_material_type,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts
insulation_material_thermal_conductivity_W_per_mK,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04
insulation_material_lifetime_years,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
