epd_name,declared_unit,gwp_per_declared_unit,mass_per_declared_unit,thickness,thickness_per_declared_unit,density,gwp_per_m3 (kg CO2 eq/m3),gwp_per_m2 (kg CO2 eq/m2),gwp_per_kg (kg CO2 eq/kg),gwp_per_unit (kg CO2 eq/unit),mass_per_area,original_ec3_link,description,Material Category,Renovation Type
Pemko Silicone Adhesive Smoke and Fire Gasket,1 ea,3.6 kgCO2e,0.385 kg,,,,0.0,0.0,9.350649351,3.6,0.0,https://buildingtransparency.org/ec3/organizations/93131c9e230146ceb225950a1b31052c,"Product name: Pemko Silicon Adhesive Smoke and Fire Gasket Pemko produces a range of gasket products in a variety of shapes and configurations. Nine gasket configurations have been analyzed, and this EPD presents the worst case scenario for these nine variations. Specifically, this EPD is representative of the following Pemko gasket products: - S44 - S77 - S88 - S442 - S771 - S772 - S773 - S776 - S771x6 Pemko Silicon Adhesive Smoke and Fire Gaskets are adhesive-backed, silicone gasketing products installed on the perimeter of a door opening or at the meeting edges of a pair of doors to slow/prohibit the passage of smoke, fire, weather, sound, and dirt. They are rigorously tested and offered in many colors (finishes) guaranteed to blend unobrusively into any structure. Addtional features include: - Effective temperature range of -58 to +450 degrees Farenheit - Manufactured using high quality cross linked silicon polymer - Includes high quality acrylic adhesive for secure application - Exceeds air infiltration ratings by a factor of 7 or better - Is 93% efficient for sound control when applied in a double row - Self-extinguishing, non-toxic - Unaffected by sunlight, ozone, and ultraviolet rays - Impervious to fungus and mildew - Product is packaged with an alcohol towelette for frame cleaning and a mylar label. Otherwise, no other accessory materials are required for installation or use. Application Pemko Silicone Adhesive Gaskets are ideal for a wide range of applications, including but not limited to high traffic areas, hotels, offices, public buildings, hospitals, institutions, educational facilities, and retail spaces. Technical Data For the declared product, the following technical data in the delivery status must be provided with reference to the test standard: Technical Data Length 17' (Multiple Lengths Available) Width Up to 1"" Height Up to 0.375""",Silicone Adhesive Smoke Gasket,door sealing
Pemko Silicone Adhesive Smoke and Fire Gasket,1 ea,3.6 kgCO2e,0.385 kg,,,,0.0,0.0,9.350649351,3.6,0.0,https://buildingtransparency.org/ec3/organizations/93131c9e230146ceb225950a1b31052c,"Product name: Pemko Silicon Adhesive Smoke and Fire Gasket Pemko produces a range of gasket products in a variety of shapes and configurations. Nine gasket configurations have been analyzed, and this EPD presents the worst case scenario for these nine variations. Specifically, this EPD is representative of the following Pemko gasket products: - S44 - S77 - S88 - S442 - S771 - S772 - S773 - S776 - S771x6 Pemko Silicon Adhesive Smoke and Fire Gaskets are adhesive-backed, silicone gasketing products installed on the perimeter of a door opening or at the meeting edges of a pair of doors to slow/prohibit the passage of smoke, fire, weather, sound, and dirt. They are rigorously tested and offered in many colors (finishes) guaranteed to blend unobrusively into any structure. Addtional features include: - Effective temperature range of -58 to +450 degrees Farenheit - Manufactured using high quality cross linked silicon polymer - Includes high quality acrylic adhesive for secure application - Exceeds air infiltration ratings by a factor of 7 or better - Is 93% efficient for sound control when applied in a double row - Self-extinguishing, non-toxic - Unaffected by sunlight, ozone, and ultraviolet rays - Impervious to fungus and mildew - Product is packaged with an alcohol towelette for frame cleaning and a mylar label. Otherwise, no other accessory materials are required for installation or use. Application Pemko Silicone Adhesive Gaskets are ideal for a wide range of applications, including but not limited to high traffic areas, hotels, offices, public buildings, hospitals, institutions, educational facilities, and retail spaces. Technical Data For the declared product, the following technical data in the delivery status must be provided with reference to the test standard: Technical Data Length 17' (Multiple Lengths Available) Width Up to 1"" Height Up to 0.375""",Silicone Adhesive Smoke Gasket,door sealing
Pemko 18061NB Brush Weatherstrip,1 unit,1.8 kgCO2e,0.15 kg,,,,0.0,0.0,12.0,1.8,0.0,https://buildingtransparency.org/ec3/organizations/93131c9e230146ceb225950a1b31052c,"Product name: Pemko 18061NB Brush Weatherstrip Product characteristic: Brush Weatherstrip The Pemko 18061NB Brush Weatherstrip is aluminum channel with a nylon brush gasket used to seal the gaps around a door, between a pair of doors, or at the bottom of the door. Addtional features include: - Ability to greatly reduce infiltration of light, air, wind, rain, and snow - Prevention of heat loss - Punched with slotted holes for adjustment - Naturally deters insects and rodents like spiders, ants, roaches, mice, and rats - Nylon brush is inert so household pest repellant can be used without negative affects to the brush - Remains flexible in use through a wide range of temperatures; -40 to +400 degrees Farenheit. - Ability to be mounted to either wood or hollow metal doors - Fire Rated - Smoke Rated - GREENGUARD Gold Certified - Product contains several small screws for installation, as well as paper instructions. Otherwise, no other accessory materials are required for installation or use. Application The Pemko 18061NB Brush Weatherstrip is ideal for a wide range of applications, including but not limited to high traffic areas, hotels, offices, public buildings, hospitals, institutions, educational facilities, and retail spaces Technical Data For the declared product, the following technical data in the delivery status must be provided with reference to the test standard: Technical Data Width 0.25"" Height 1.375"" Finish Multiple Finishes",Brush Weatherstrip,door sealing
Zero Automatic Door Bottoms,1 item,14.2 kgCO2e,1.24 kg,,,,0.0,0.0,11.4516129,14.2,0.0,https://buildingtransparency.org/ec3/organizations/c44b7990a04949cf8c35a63dfee9b72b,"Product Identification
Zero’s patented automatic door bottom technology ensures an efficient seal against the floor or saddle. As the door is
closed, the adjustable plunger is compressed against the door frame, activating a concealed flat spring mechanism. This
mechanism drops the seal smoothly from the housing in a scissor-like motion as illustrated below. The door seal
compresses on either even or uneven surfaces and retracts automatically when the door is opened. All Zero automatic
door bottoms function the same way. The concealed spring mechanism causes the insert seal to activate on the hinge
side first. It prevents the seal from dragging along the floor or threshold while the door is being closed to avoid door
hang-up or closing delay.",Automatic Door Bottom,door sealing
Pemko PDB411E Acoustic Automatic Door Bottom,1 unit,5.3 kgCO2e,0.86 kg,,,,0.0,0.0,6.162790698,5.3,0.0,https://buildingtransparency.org/ec3/organizations/93131c9e230146ceb225950a1b31052c,"Product name: Pemko Acoustic Automatic Door Bottom Product characteristic: Automatic Door Bottom The Pemko PDB-Series Acoustic Automatic Door Bottom creates uniform seal pressure across the entire door bottom resulting in superior acoustic performance. Addtional features include: - Durable, high quality PemkoPrene® gasket - Designed to have a maximum drop of 0.5"" - ""Sealed-in-place"" type performance on certain STC openings - Fire Rated - Smoke Rated - GREENGUARD Gold Certified - Fully Mortised into door's bottom rail - Operates with 5lbs of force or less - Full Mortise application complies with ADA and ADAAG guidelines regarding protrusions from the door face and operating force - Patented design - United States Patent No. 8,925,250 B2 - Product contains several small screws for installation, as well as paper instructions. Otherwise, no other accessory materials are required for installation or use Application The Pemko Acoustic Automatic Door Bottom is ideal for a wide range of applications, including but not limited to high traffic areas, hotels, offices, public buildings, hospitals, institutions, educational facilities, and retail spaces Technical Data For the declared product, the following technical data in the delivery status must be provided with reference to the test standard: Technical Data Length 36"" (Various Lengths Available) Width 0.5625"" Height 1.375"" Metal Finish Multiple Finishes Gasket PemkoPrene®, available in black",Automatic Door Bottom,door sealing
Pemko PDB4131E Acoustic Automatic Door Bottom,1 ea,4.1 kgCO2e,0.683 kg,,,,0.0,0.0,6.002928258,4.1,0.0,https://buildingtransparency.org/ec3/organizations/93131c9e230146ceb225950a1b31052c,"Product name: Pemko Acoustic Automatic Door Bottom Product characteristic: Automatic Door Bottom The Pemko PDB-Series Acoustic Automatic Door Bottom creates uniform seal pressure across the entire door bottom resulting in superior acoustic performance. Addtional features include: - Durable, high quality PemkoPrene® gasket - Designed to have a maximum drop of 0.5"" - ""Sealed-in-place"" type performance on certain STC openings - Fire Rated - Smoke Rated - GREENGUARD Gold Certified - Operates with 5lbs of force or less - Patented design - United States Patent No. 8,925,250 B2 - Product contains several small screws for installation, as well as paper instructions. Otherwise, no other accessory materials are required for installation or use. Application The Pemko Acoustic Automatic Door Bottom is ideal for a wide range of applications, including but not limited to high traffic areas, hotels, offices, public buildings, hospitals, institutions, educational facilities, and retail spaces Technical Data For the declared product, the following technical data in the delivery status must be provided with reference to the test standard: Technical Data Length 36"" (Various Lengths Available) Width 0.5625"" Height 1.875"" Metal Finish Multiple Finishes Gasket PemkoPrene®, available in black",Automatic Door Bottom,door sealing
Pemko PDB411E Acoustic Automatic Door Bottom,1 unit,5.3 kgCO2e,0.86 kg,,,,0.0,0.0,6.162790698,5.3,0.0,https://buildingtransparency.org/ec3/organizations/93131c9e230146ceb225950a1b31052c,"Product name: Pemko Acoustic Automatic Door Bottom Product characteristic: Automatic Door Bottom The Pemko PDB-Series Acoustic Automatic Door Bottom creates uniform seal pressure across the entire door bottom resulting in superior acoustic performance. Addtional features include: - Durable, high quality PemkoPrene® gasket - Designed to have a maximum drop of 0.5"" - ""Sealed-in-place"" type performance on certain STC openings - Fire Rated - Smoke Rated - GREENGUARD Gold Certified - Fully Mortised into door's bottom rail - Operates with 5lbs of force or less - Full Mortise application complies with ADA and ADAAG guidelines regarding protrusions from the door face and operating force - Patented design - United States Patent No. 8,925,250 B2 - Product contains several small screws for installation, as well as paper instructions. Otherwise, no other accessory materials are required for installation or use Application The Pemko Acoustic Automatic Door Bottom is ideal for a wide range of applications, including but not limited to high traffic areas, hotels, offices, public buildings, hospitals, institutions, educational facilities, and retail spaces Technical Data For the declared product, the following technical data in the delivery status must be provided with reference to the test standard: Technical Data Length 36"" (Various Lengths Available) Width 0.5625"" Height 1.375"" Metal Finish Multiple Finishes Gasket PemkoPrene®, available in black",Automatic Door Bottom,door sealing
Pemko STC Automatic Door Bottoms,1 item,9.6 kgCO2e,0.784 kg,,,,0.0,0.0,12.24489796,9.6,0.0,https://buildingtransparency.org/ec3/organizations/93131c9e230146ceb225950a1b31052c,"The Pemko STC411™ and STC4131™ automatic door bottoms are the latest design for high quality performance in
acoustic control and sound attenuation. The newly designed spring assembly increases the pressure applied on the drop
bar across the entire length of the automatic door bottom, maximizing seal performance.",Automatic Door Bottom,door sealing
Jamb Weatherstripping,1 item,5.34 kgCO2e,,,,,0.0,0.0,0.00534,5.34,0.0,https://buildingtransparency.org/ec3/organizations/c05526f5e7c441b9a77ab1fac7c86b86,"Company
Founded in 1849, St. Louis-based Hager Companies offers more than 6,000 full-line quality door hardware products under one
brand name. With 13 product lines including, commercial hinges, residential hinges, Roton® continuous geared hinges, stainless
steel continuous hinges, exit devices, locks, door controls, auxiliary and trim, threshold and weather stripping, sliding door
hardware, access control products, electrified solutions and Euroline, our European hardware line. Hager focuses on architectural
hardware that exceeds today’s building standards that are built to last. For additional information, visit www.hagerco.com
Product
Weatherstripping is installed around openings, especially doors and windows in buildings to keep out weather, increase interior
comfort, lower utility bills and reduce noise. It also prevents rain and water from entering by rerouting or returning water. This EPD
considers an average product based on fifteen products in the Jamb weatherstripping line of products. Weatherstripping products
are usually composed of primarily two materials, a metal and a gasket. All weatherstripping considered in this study are aluminum
extrusions of alloy 6063-T5 and 6061-T6. Gasketing is available in a variety of materials, including vinyl, neoprene in a solid and
sponge, and silicone. The regular weatherstripping product along with gasketing has been considered in this study. Average
weights for the products disclosed in this EPD are provided in the Declared Unit section below. The standard application is one
weatherstrip per standard 3’0” x 7’0” door leaf. This EPD presents results for this application.",Jamb Weatherstripping,door sealing
Architectural Wood Door Leaf,1 unit,82.3 kgCO2e,55.3 kg,,,,0.0,0.0,1.488245931,82.3,0.0,https://buildingtransparency.org/ec3/organizations/e6ee933a23534bec8370f7f7ee93b73d,"VT Architectural Wood Door leaves are intended for interior commercial applications including healthcare, hospitality, multi-family, education, and government. Wood door leaves are predominantly composed of engineered wood core with surface applications of veneer, laminate, and finishes. Products are GREENGUARD GOLD Certified and SCS Indoor Advantage Gold certified.",Wood Door Leaf,whole door
