epd_name,declared_unit,gwp_per_declared_unit,mass_per_declared_unit,thickness,thickness_per_declared_unit,density,gwp_per_m3 (kg CO2 eq/m3),gwp_per_m2 (kg CO2 eq/m2),gwp_per_kg (kg CO2 eq/kg),gwp_per_unit (kg CO2 eq/unit),mass_per_area,original_ec3_link,description,Material Category,Renovation Type
Architectural Wood door leaf,1 unit,82.3 kgCO2e,55.3 kg,,,,0.0,0.0,1.488245931,82.3,0.0,https://buildingtransparency.org/ec3/organizations/e6ee933a23534bec8370f7f7ee93b73d,"VT Industries architectural wood door leaves are intended for interior commercial applications including healthcare, hospitality, multi-family, education, and government. Wood door leaves are predominantly composed of engineered wood core with options for various face materials including wood veneer, laminate, and finishes.",Wood Door Leaf,whole door
Architectural Wood Door Leaf,1 item,82.3 kgCO2e,55.3 kg,1.75 in,,562.5 kg / m3,837.1383361875,0.0,1.488245931,82.3,0.0,https://buildingtransparency.org/ec3/organizations/e6ee933a23534bec8370f7f7ee93b73d,"VT Architectural Wood Door leaves are intended for interior commercial applications: healthcare, hospitality, multi- family,
education, and government. Wood door leaves are predominantly composed of engineered wood core; however, core
materials can vary depending on the desired application. Also, surface applications of veneer, laminate, and finishes vary
depending on the desired aesthetics.",Wood Door Leaf,whole door
ARCHITECTURAL WOOD DOOR LEAF,1 item,82.3 kgCO2e,55.29999999999998 kg,44.45 mm,,,0.0,0.0,1.488245931,82.3,0.0,https://buildingtransparency.org/ec3/organizations/e6ee933a23534bec8370f7f7ee93b73d,"VT Architectural Wood Door leaves are intended for interior commercial applications: healthcare, hospitality, multi- family,
education, and government. Wood door leaves are predominantly composed of engineered wood core; however, core
materials can vary depending on the desired application. Also, surface applications of veneer, laminate, and finishes vary
depending on the desired aesthetics.",Wood Door Leaf,whole door
Production-weighted average wood door leaf,1 unit,82 kgCO2e,56 kg,,,562.5 kg / m3,823.660714125,0.0,1.464285714,82.0,0.0,https://buildingtransparency.org/ec3/organizations/a2b2c7ba34c3496fa4f7415fa474390b,The Masonite Architectural Flush doors and Stile & Rail doors,Wood Door Leaf,whole door
Weighted Average Wood Door Leaf,1 unit,82 kgCO2e,56 kg,0.04445 m,,,0.0,0.0,1.464285714,82.0,0.0,https://buildingtransparency.org/ec3/organizations/a2b2c7ba34c3496fa4f7415fa474390b,"Production-weighted average wood door leaf, manufactured by Masonite Architectural",Wood Door Leaf,whole door
Sliding garage door,1 unit,162.58 kgCO2e,244.5 kg,,,,0.0,0.0,0.6649488753,162.58,0.0,https://buildingtransparency.org/ec3/organizations/37763ae99cb74561bd60707bada7e896,"Sliding garage door for outdoor use in industrial, commercial or residential settings. Includes door leaf frame, frame, accessories, and optional drive. Available with passage door or side doors with the same design. Overhead door closers included as standard.",Garage Door,whole door
Up-and-over garage door,1 unit,111.77 kgCO2e,236.25 kg,,,,0.0,0.0,0.4731005291,111.77,0.0,https://buildingtransparency.org/ec3/organizations/37763ae99cb74561bd60707bada7e896,"Collective up-and-over garage door for outdoor use in industrial, commercial or residential settings, including optional passage door or side doors with the same design. The door consists of a door leaf frame, frame, accessories, and optionally an opener. Typical door models include N500.",Garage Door,whole door
Garage door opener motor BOTTICELLI,1 item,,11.07 kg,,,,0.0,0.0,0.0,0.0,0.0,https://buildingtransparency.org/ec3/organizations/9c56eecf8fff4981966b4f0eca5567df,"Ensure the closing and opening action by performing 30 000 operating cycles, with a pulling force of 650 N, on a travel of 2m and over a reference service life of 15 years.",Garage Door,whole door
Sectional garage and industrial doors,1.0 kg,2.4611 kgCO2e,1 kg,,,,0.0,0.0,2.4611,0.0,0.0,https://buildingtransparency.org/ec3/organizations/9578cabefc334cba8ccd1b47a95bc996,"Garage and industrial doors offer a wide range of products, including: roller shutter gates and sectional gates. We produce in accordance with the latest EN 13241 standard and test products in both domestic and foreign centers. We have our own lines for the production of segment and aluminum panels, door frames and guides, as well as lines for veneering panels, powder coating plants and galvanizing plants.
We have the widest color palette on the market, matching other products from our portfolio: doors, windows and fences. Our gates can be used in both unheated and heated buildings and in passive buildings. We use automation only from renowned manufacturers, also available in combination with intelligent technologies. THE SPECIFICATION OF SECTIONAL GARAGE DOORS Sectional garage door is designed to be used as a vertical partition in general construction and garage buildings. Intended use consists in creating safe access for people and vehicles with accompanying or driving persons. Sectional door operated by an electric drive. THE SPECIFICATION OF SECTIONAL INDUSTRIAL DOORS Sectional industrial door is designed to be used as a vertical partition in industrial, commercial and public utility buildings and garages. Intended use consists in creating safe access for people, goods and vehicles together with the persons accompanying or driving them. Sectional door operated by an electric drive.",Garage Door,whole door
#split Industrial and garage doors - ConDoor Group B.V. - Aluminum panels,1.0 m2,32.19 kgCO2e,,,,,0.0,32.19,0.0,0.0,0.0,https://buildingtransparency.org/ec3/organizations/59210096003b4a74b7a9eb3b60af14e9,"A1-A3 and modules A4, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D. The environmental profile includes the expenses for the life cycle stages cradle to gate with options (modules A1-A3). The production of the packaging was taken into account within modules A1-A3.",Garage Door,whole door
Garage door opener motor BOTTICELLI,1 item,83.1 kgCO2e,11.07 kg,,,,0.0,0.0,7.506775068,83.1,0.0,https://buildingtransparency.org/ec3/organizations/9c56eecf8fff4981966b4f0eca5567df,"Ensure the closing and opening action by performing 30 000 operating cycles, with a pulling force of 650 N, on a travel of 2m and over a reference service life of 15 years.",Garage Door,whole door
Windows and Door Systems,1 kg,8.11 kgCO2e,1 kg,,,,0.0,0.0,8.11,0.0,0.0,https://buildingtransparency.org/ec3/organizations/e857ac557be347b2a6ad4961db4e6356,"ALUPROF aluminium systems allow to fabricate many different types of windows and doors, depending on the scope and specific requirements for functionality, aesthetics, thermal insulation, burglary resistance, smoke control or fire resistance. These include both structures with no thermalinsulation designed to fabricate internal partition walls and door (MB-45, MB-45 Office, MB-EXPO) or balcony developments (MB-23P system ), and solutions based on thermally insulated profiles (MB-60, MB-70, MB-59S). A significant part of thermally insulated systems is available in “HI” variant, and is characterized by special inserts into the profiles that lower the thermal conductivity coefficient.",Window Door System,whole door
ALURON aluminium window and door systems,1.0 kg,11.986 kgCO2e,1 kg,,,,0.0,0.0,11.986,0.0,0.0,https://buildingtransparency.org/ec3/organizations/f9fec834f80f4d199d1317e9791744e3, and application,Window Door System,whole door
Polystyrene Core Steel Door,1 unit,114 kgCO2e,41 kg,44.5 mm,,472.3 kg / m3,1313.2243903015,0.0,2.780487805,114.0,0.0,https://buildingtransparency.org/ec3/organizations/b8cd1de1148442e4b58844efde6039d6,"DE LA FONTAINE’s commercial steel doors have nominal dimensions of 3 feet x 7 feet and are 1 ¾-inch thick. The doors are made with galvannealed steel and various insulating materials: hexagonal cell Kraft paper core (HC - Honeycomb Steel Core Door); expanded polystyrene core (PS - Polystyrene Core Steel Door); polyisocyanurate core (PU – Polyurethane Core Steel Door); polystyrene, polyurethane or mineral wool (ST – Steel Stiffened Core Steel Door). The steel doors may be primed or powder-coated. End channels, hinge and lock hardware reinforcements are included; however, the hardware itself (e.g., hinges or exit devices) are not included.",Polystyrene Core Steel Door,whole door
Polyurethane Core Steel Door,1 unit,111 kgCO2e,42.5 kg,44.5 mm,,490 kg / m3,1279.76470594,0.0,2.611764706,111.0,0.0,https://buildingtransparency.org/ec3/organizations/b8cd1de1148442e4b58844efde6039d6,"DE LA FONTAINE’s commercial steel doors have nominal dimensions of 3 feet x 7 feet and are 1 ¾-inch thick. The doors are made with galvannealed steel and various insulating materials: hexagonal cell Kraft paper core (HC - Honeycomb Steel Core Door); expanded polystyrene core (PS - Polystyrene Core Steel Door); polyisocyanurate core (PU – Polyurethane Core Steel Door); polystyrene, polyurethane or mineral wool (ST – Steel Stiffened Core Steel Door). The steel doors may be primed or powder-coated. End channels, hinge and lock hardware reinforcements are included; however, the hardware itself (e.g., hinges or exit devices) are not included.",Polyurethane Core Steel Door,whole door
Honeycomb Core Steel Door,1 unit,111 kgCO2e,41.79999999999999 kg,44.5 mm,,481.6 kg / m3,1278.8899519872,0.0,2.655502392,111.0,0.0,https://buildingtransparency.org/ec3/organizations/b8cd1de1148442e4b58844efde6039d6,"DE LA FONTAINE’s commercial steel doors have nominal dimensions of 3 feet x 7 feet and are 1 ¾-inch thick. The doors are made with galvannealed steel and various insulating materials: hexagonal cell Kraft paper core (HC - Honeycomb Steel Core Door); expanded polystyrene core (PS - Polystyrene Core Steel Door); polyisocyanurate core (PU – Polyurethane Core Steel Door); polystyrene, polyurethane or mineral wool (ST – Steel Stiffened Core Steel Door). The steel doors may be primed or powder-coated. End channels, hinge and lock hardware reinforcements are included; however, the hardware itself (e.g., hinges or exit devices) are not included.",Honeycomb Core Steel Door,whole door
Steel Stiffened Core Steel Door,1 unit,136 kgCO2e,49.5 kg,44.5 mm,,570.9 kg / m3,1568.5333330623,0.0,2.747474747,136.0,0.0,https://buildingtransparency.org/ec3/organizations/b8cd1de1148442e4b58844efde6039d6,"DE LA FONTAINE’s commercial steel doors have nominal dimensions of 3 feet x 7 feet and are 1 ¾-inch thick. The doors are made with galvannealed steel and various insulating materials: hexagonal cell Kraft paper core (HC - Honeycomb Steel Core Door); expanded polystyrene core (PS - Polystyrene Core Steel Door); polyisocyanurate core (PU – Polyurethane Core Steel Door); polystyrene, polyurethane or mineral wool (ST – Steel Stiffened Core Steel Door). The steel doors may be primed or powder-coated. End channels, hinge and lock hardware reinforcements are included; however, the hardware itself (e.g., hinges or exit devices) are not included.",Stiffened Core,whole door
