# Roof Construction AdditionalProperties
,out_R0_Blown_Cellulose,out_R0_Blown_Fiberglass,out_R0_Blown_Mineral_Wool,out_R0_Expanded_Polystyrene_EPS_Foam_Board,out_R0_Extruded_Polystyrene_XPS_Foam_Board,out_R0_Fiberglass_Batts,out_R0_Graphite_Polystyrene_GPS_Foam_Board,out_R0_Mineral_Wool_Heavy_Density_Blanket,out_R0_Mineral_Wool_Light_Density_Blanket,out_R0_Polyiso_Insulation_Foam_Board,out_R0_Pure_Wool_Batts,out_R24.4_Blown_Cellulose,out_R24.4_Blown_Fiberglass,out_R24.4_Blown_Mineral_Wool,out_R24.4_Expanded_Polystyrene_EPS_Foam_Board,out_R24.4_Extruded_Polystyrene_XPS_Foam_Board,out_R24.4_Fiberglass_Batts,out_R24.4_Graphite_Polystyrene_GPS_Foam_Board,out_R24.4_Mineral_Wool_Heavy_Density_Blanket,out_R24.4_Mineral_Wool_Light_Density_Blanket,out_R24.4_Polyiso_Insulation_Foam_Board,out_R24.4_Pure_Wool_Batts,out_R27.0_Blown_Cellulose,out_R27.0_Blown_Fiberglass,out_R27.0_Blown_Mineral_Wool,out_R27.0_Expanded_Polystyrene_EPS_Foam_Board,out_R27.0_Extruded_Polystyrene_XPS_Foam_Board,out_R27.0_Fiberglass_Batts,out_R27.0_Graphite_Polystyrene_GPS_Foam_Board,out_R27.0_Mineral_Wool_Heavy_Density_Blanket,out_R27.0_Mineral_Wool_Light_Density_Blanket,out_R27.0_Polyiso_Insulation_Foam_Board,out_R27.0_Pure_Wool_Batts,out_R32.3_Blown_Cellulose,out_R32.3_Blown_Fiberglass,out_R32.3_Blown_Mineral_Wool,out_R32.3_Expanded_Polystyrene_EPS_Foam_Board,out_R32.3_Extruded_Polystyrene_XPS_Foam_Board,out_R32.3_Fiberglass_Batts,out_R32.3_Graphite_Polystyrene_GPS_Foam_Board,out_R32.3_Mineral_Wool_Heavy_Density_Blanket,out_R32.3_Mineral_Wool_Light_Density_Blanket,out_R32.3_Polyiso_Insulation_Foam_Board,out_R32.3_Pure_Wool_Batts,out_R34.5_Blown_Cellulose,out_R34.5_Blown_Fiberglass,out_R34.5_Blown_Mineral_Wool,out_R34.5_Expanded_Polystyrene_EPS_Foam_Board,out_R34.5_Extruded_Polystyrene_XPS_Foam_Board,out_R34.5_Fiberglass_Batts,out_R34.5_Graphite_Polystyrene_GPS_Foam_Board,out_R34.5_Mineral_Wool_Heavy_Density_Blanket,out_R34.5_Mineral_Wool_Light_Density_Blanket,out_R34.5_Polyiso_Insulation_Foam_Board,out_R34.5_Pure_Wool_Batts,out_R38.5_Blown_Cellulose,out_R38.5_Blown_Fiberglass,out_R38.5_Blown_Mineral_Wool,out_R38.5_Expanded_Polystyrene_EPS_Foam_Board,out_R38.5_Extruded_Polystyrene_XPS_Foam_Board,out_R38.5_Fiberglass_Batts,out_R38.5_Graphite_Polystyrene_GPS_Foam_Board,out_R38.5_Mineral_Wool_Heavy_Density_Blanket,out_R38.5_Mineral_Wool_Light_Density_Blanket,out_R38.5_Polyiso_Insulation_Foam_Board,out_R38.5_Pure_Wool_Batts
total_volume_m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.558184455704062,26.035502175955852,25.246547564563247,26.824456787348456,26.035502175955852,26.035502175955852,23.668638341778042,25.246547564563247,25.246547564563247,19.72386528481504,31.558184455704062,40.06599360400725,33.05444472330598,32.05279488320579,34.056094563406155,33.05444472330598,33.05444472330598,30.049495203005428,32.05279488320579,32.05279488320579,25.041246002504526,40.06599360400725,57.40883532939446,47.362289146750435,45.927068263515565,48.7975100299853,47.362289146750435,47.362289146750435,43.05662649704585,45.927068263515565,45.927068263515565,35.880522080871536,57.40883532939446,64.6077507625741,53.30139437912363,51.68620061005928,54.91658814818799,53.30139437912363,53.30139437912363,48.45581307193057,51.68620061005928,51.68620061005928,40.37984422660882,64.6077507625741,77.69668791380974,64.09976752889304,62.157350331047795,66.04218472673828,64.09976752889304,64.09976752889304,58.2725159353573,62.157350331047795,62.157350331047795,48.56042994613109,77.69668791380974
total_embodied_carbon_kgCO2eq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.2485109967992,1753.0420274812843,7868.789723417799,1995.7395849787254,7581.682670777188,114.94209290087835,1323.9132115169389,6152.718890846016,3492.4753568409938,1906.64031067479,2079.5292550495246,409.12387715526353,2225.6467497110975,9990.146270051066,2533.7734355174184,9625.637679548645,145.92947086236475,1680.8285767944683,7811.437824438411,4434.016015900822,2420.6537800000388,2640.1520641692246,586.2159697090558,3189.033298871869,14314.449999726563,3630.534746230906,13792.161351275068,209.09604901462538,2408.386821398661,11192.672573684438,6353.310436292006,3468.450467470737,3782.960098143994,659.7258949200642,3588.9296022970966,16109.44400072395,4085.7941582251865,15521.661743312457,235.3161380589601,2710.392130479648,12596.203979031858,7149.998686265711,3903.384941515181,4257.3332443222025,793.3803043946244,4316.013790342962,19373.069457082816,4913.538543669329,18666.207910653156,282.9890272304776,3259.4926924450765,15148.079261481693,8598.522777126982,4694.174894323255,5119.829873737123
target_insulation_r_value_ip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,27.000000000000004,27.000000000000004,27.000000000000004,27.000000000000004,27.000000000000004,27.000000000000004,27.000000000000004,27.000000000000004,27.000000000000004,27.000000000000004,27.000000000000004,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,34.50000000000001,34.50000000000001,34.50000000000001,34.50000000000001,34.50000000000001,34.50000000000001,34.50000000000001,34.50000000000001,34.50000000000001,34.50000000000001,34.50000000000001,38.50000000000001,38.50000000000001,38.50000000000001,38.50000000000001,38.50000000000001,38.50000000000001,38.50000000000001,38.50000000000001,38.50000000000001,38.50000000000001,38.50000000000001
renovated_roof_area_m2,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988
original_insulation_r_value_ip,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385,14.755768664463385
insulation_material_type,Blown Cellulose,Blown Fiberglass,Blown Mineral Wool,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Blown Cellulose,Blown Fiberglass,Blown Mineral Wool,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Blown Cellulose,Blown Fiberglass,Blown Mineral Wool,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Blown Cellulose,Blown Fiberglass,Blown Mineral Wool,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Blown Cellulose,Blown Fiberglass,Blown Mineral Wool,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts,Blown Cellulose,Blown Fiberglass,Blown Mineral Wool,Expanded Polystyrene (EPS) Foam Board,Extruded Polystyrene (XPS) Foam Board,Fiberglass Batts,Graphite Polystyrene (GPS) Foam Board,Mineral Wool Heavy Density Blanket,Mineral Wool Light Density Blanket,Polyiso Insulation Foam Board,Pure Wool Batts
insulation_material_thermal_conductivity_W_per_mK,0.04,0.033,0.032,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.04,0.033,0.032,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.04,0.033,0.032,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.04,0.033,0.032,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.04,0.033,0.032,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04,0.04,0.033,0.032,0.034,0.033,0.033,0.03,0.032,0.032,0.025,0.04
insulation_material_lifetime_years,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
insulation_material_gwp_per_m3,10.21124999916,0.0,0.0,0.0,291.20554769936325,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0,10.21124999916,0.0,0.0,0.0,291.20554769936325,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0,10.21124999916,0.0,0.0,0.0,291.20554769936325,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0,10.21124999916,0.0,0.0,0.0,291.20554769936325,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0,10.21124999916,0.0,0.0,0.0,291.20554769936325,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0,10.21124999916,0.0,0.0,0.0,291.20554769936325,4.414821428220001,55.935334868,0.0,0.0,96.66666665700001,0.0
insulation_material_gwp_per_m2,0.438,1.29,5.16,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63,0.438,1.29,5.16,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63,0.438,1.29,5.16,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63,0.438,1.29,5.16,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63,0.438,1.29,5.16,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63,0.438,1.29,5.16,2.79,9.42458212,0.9445,1.73,4.0,4.77,2.41,2.63
