# Roof Construction AdditionalProperties
insulation_material_gwp_per_kg,0.6214928643964304,2.2444250875,3.463087248,3.72,12.13089076,0.8125334259000001,3.995381062,2.3660714285714284,2.8463944495,3.333333333,2.637913741,0.6214928643964304,2.2444250875,3.463087248,3.72,12.13089076,0.8125334259000001,3.995381062,2.3660714285714284,2.8463944495,3.333333333,2.637913741,0.6214928643964304,2.2444250875,3.463087248,3.72,12.13089076,0.8125334259000001,3.995381062,2.3660714285714284,2.8463944495,3.333333333,2.637913741,0.6214928643964304,2.2444250875,3.463087248,3.72,12.13089076,0.8125334259000001,3.995381062,2.3660714285714284,2.8463944495,3.333333333,2.637913741,0.6214928643964304,2.2444250875,3.463087248,3.72,12.13089076,0.8125334259000001,3.995381062,2.3660714285714284,2.8463944495,3.333333333,2.637913741,0.6214928643964304,2.2444250875,3.463087248,3.72,12.13089076,0.8125334259000001,3.995381062,2.3660714285714284,2.8463944495,3.333333333,2.637913741
insulation_material_density_kg_per_m3,25.2,30.0,90.0,20.0,25.63,12.3,14.0,103.0,48.6,29.0,24.98,25.2,30.0,90.0,20.0,25.63,12.3,14.0,103.0,48.6,29.0,24.98,25.2,30.0,90.0,20.0,25.63,12.3,14.0,103.0,48.6,29.0,24.98,25.2,30.0,90.0,20.0,25.63,12.3,14.0,103.0,48.6,29.0,24.98,25.2,30.0,90.0,20.0,25.63,12.3,14.0,103.0,48.6,29.0,24.98,25.2,30.0,90.0,20.0,25.63,12.3,14.0,103.0,48.6,29.0,24.98
construction_layers_count,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
construction_handle,{32661d83-4bfa-4113-a8e6-c394325c564d},{3f373df4-e0a3-44de-a2b2-0b650b323235},{098e6a8d-9d38-4fa5-8de5-3a53ddd6014f},{98adf4f7-baec-4659-be3d-d0cbbb433dbd},{3631ca08-4021-4f96-a12a-4edbb83ad843},{5ca44f25-7375-4526-a57f-5bdf8cf2cad2},{759a1677-c089-43e3-a020-c4312ec3566a},{0232258c-110a-4b66-8368-cd79cea04dce},{67a671f2-7e64-4f0a-89ba-4686ab0934e1},{3931e7e8-c842-42ef-ac0f-0b59bd37823c},{f0c62af0-ebde-46ea-bcb3-390a0cd60a5a},{e274db87-a9de-45d6-9e65-1afdb249d2a8},{a6101fe2-c9ea-4ef0-9eab-064a193cb28e},{8784bc6e-07b5-4cd8-9e0d-47ebb2df4c18},{112e8915-a3ee-4a37-9eac-c691dfdc16cb},{c0b52215-def9-4d13-960b-b724f8c48ef0},{e9be9f05-17e7-4e0c-a35d-fe589761955a},{ff49cc3f-3bcf-4cde-9a65-4130baf14bbd},{d0127c03-d960-4999-8b08-c28d151f6859},{f574bd7e-df35-494c-9e8d-8ec7563e8570},{cf2dc2d5-5e19-41f1-9140-4347b07d6a71},{eede362b-2c03-4d8d-90e7-3e9fa2b8af82},{4eb199f5-2e5f-48d9-bee2-b2b5b1c166d0},{3dbf319e-d96d-4086-80a1-3ef4dc7bcd81},{d868052f-dcde-42eb-ba69-2001d08746a0},{399aaf72-72bf-455f-aabc-6909f55ad39f},{be6e7ab0-bb94-4951-80ae-8f9f62ea2487},{9753a34f-932c-4e6a-949c-f43d350810c6},{ca5647a9-d452-4545-8688-d87ceebb4aad},{1f70f698-97e2-460c-9756-0d0012d6c30b},{e196326f-c130-4ef2-80aa-7bd01e765ee3},{099e2951-8b55-4a81-af3e-f15789b2b8a5},{bc22a837-004b-4927-8120-f2acd82f4881},{d6e2fcac-8d17-4f89-8727-fc648bb888b4},{96d9e1a0-5b3a-44ea-829f-4c0381a48e6d},{7bf69ff4-1cd4-4ff2-b4c9-df719579a0b2},{df7a65ba-e32d-42af-84fa-31a3738f4043},{ca65bc44-b52d-4e4c-a698-6f721930e8be},{907894ab-d867-4c5d-9ebb-c5112eda4409},{f530d76a-1175-4c4c-9f54-598cbec6614a},{889667bb-5d8e-490c-abe9-3f9cf65ddf70},{35b79167-81fb-4b08-adf2-aa3c6404e9b9},{54b34e00-db05-4d6e-a4be-6e7d3de0a81b},{98c29640-a331-4cf9-bf82-f59de4b858bd},{74e35f39-050d-4a03-9d94-32a5f9b014a9},{b22687bd-df40-4558-a1a1-0a5771fb3c41},{cf3cda5d-c656-4344-b471-e56f868b5ec8},{899eee1b-a4cb-4943-8269-78e234e37ffc},{f0184100-aeb9-46fe-ac6d-5a434bca447c},{db98aefe-902f-439f-a463-9321c496c98e},{7a1a21fd-4bbd-4383-b9a8-5c1335fb2c1c},{6c1e47ca-827a-437d-a57b-8d59a5daa45e},{c0e1e9f2-7bce-4b63-bc14-0383d87c4f43},{02d87cd1-74d9-4cfc-b699-109e19c82605},{9f050d9a-9ecb-4722-9ba3-b0a525266fc3},{da4e00da-851a-404b-be42-ce38fcc29902},{0bf0663d-1909-4a7f-9c0d-832b8f57ec29},{60c40734-e12b-49d6-ae79-76bd9355d938},{1ef6330d-2daf-4dcb-95b6-7217af69915c},{0f4872e7-a723-46b2-a333-98546a5ac94a},{b609ec76-608b-42a9-8757-1941088d7145},{9be39892-d1da-47dd-a025-a9ed57ea9080},{56d40ef3-554a-4837-87b7-6cccd08424bf},{12b6412e-6303-479a-984e-7658648e3c2c},{8dca91c1-29c0-40e0-ba38-0531a29652ef},{0383c36d-f5cb-4606-8e30-c54c71379e2f}
analysis_period_years,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
added_insulation_layer_thickness_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06793789407904013,0.05604876261520811,0.054350315263232106,0.05774720996718412,0.05604876261520811,0.05604876261520811,0.050953420559280094,0.054350315263232106,0.054350315263232106,0.04246118379940009,0.06793789407904013,0.08625335318199996,0.07115901637514997,0.06900268254559996,0.07331535020469997,0.07115901637514997,0.07115901637514997,0.06469001488649996,0.06900268254559996,0.06900268254559996,0.053908345738749974,0.08625335318199996,0.12358871212264876,0.10196068750118523,0.098870969698119,0.10505040530425144,0.10196068750118523,0.10196068750118523,0.09269153409198656,0.098870969698119,0.098870969698119,0.07724294507665547,0.12358871212264876,0.13908640828669172,0.11474628683652068,0.11126912662935338,0.11822344704368798,0.11474628683652068,0.11474628683652068,0.10431480621501879,0.11126912662935338,0.11126912662935338,0.08692900517918234,0.13908640828669172,0.16726403767586065,0.13799283108258503,0.13381123014068852,0.14217443202448155,0.13799283108258503,0.13799283108258503,0.12544802825689547,0.13381123014068852,0.13381123014068852,0.1045400235474129,0.16726403767586065
added_insulation_layer_area_m2,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988,464.5151999999988

# EnergyPlus Simulation Summary
,out_R0_Blown_Cellulose,out_R0_Blown_Fiberglass,out_R0_Blown_Mineral_Wool,out_R0_Expanded_Polystyrene_EPS_Foam_Board,out_R0_Extruded_Polystyrene_XPS_Foam_Board,out_R0_Fiberglass_Batts,out_R0_Graphite_Polystyrene_GPS_Foam_Board,out_R0_Mineral_Wool_Heavy_Density_Blanket,out_R0_Mineral_Wool_Light_Density_Blanket,out_R0_Polyiso_Insulation_Foam_Board,out_R0_Pure_Wool_Batts,out_R24.4_Blown_Cellulose,out_R24.4_Blown_Fiberglass,out_R24.4_Blown_Mineral_Wool,out_R24.4_Expanded_Polystyrene_EPS_Foam_Board,out_R24.4_Extruded_Polystyrene_XPS_Foam_Board,out_R24.4_Fiberglass_Batts,out_R24.4_Graphite_Polystyrene_GPS_Foam_Board,out_R24.4_Mineral_Wool_Heavy_Density_Blanket,out_R24.4_Mineral_Wool_Light_Density_Blanket,out_R24.4_Polyiso_Insulation_Foam_Board,out_R24.4_Pure_Wool_Batts,out_R27.0_Blown_Cellulose,out_R27.0_Blown_Fiberglass,out_R27.0_Blown_Mineral_Wool,out_R27.0_Expanded_Polystyrene_EPS_Foam_Board,out_R27.0_Extruded_Polystyrene_XPS_Foam_Board,out_R27.0_Fiberglass_Batts,out_R27.0_Graphite_Polystyrene_GPS_Foam_Board,out_R27.0_Mineral_Wool_Heavy_Density_Blanket,out_R27.0_Mineral_Wool_Light_Density_Blanket,out_R27.0_Polyiso_Insulation_Foam_Board,out_R27.0_Pure_Wool_Batts,out_R32.3_Blown_Cellulose,out_R32.3_Blown_Fiberglass,out_R32.3_Blown_Mineral_Wool,out_R32.3_Expanded_Polystyrene_EPS_Foam_Board,out_R32.3_Extruded_Polystyrene_XPS_Foam_Board,out_R32.3_Fiberglass_Batts,out_R32.3_Graphite_Polystyrene_GPS_Foam_Board,out_R32.3_Mineral_Wool_Heavy_Density_Blanket,out_R32.3_Mineral_Wool_Light_Density_Blanket,out_R32.3_Polyiso_Insulation_Foam_Board,out_R32.3_Pure_Wool_Batts,out_R34.5_Blown_Cellulose,out_R34.5_Blown_Fiberglass,out_R34.5_Blown_Mineral_Wool,out_R34.5_Expanded_Polystyrene_EPS_Foam_Board,out_R34.5_Extruded_Polystyrene_XPS_Foam_Board,out_R34.5_Fiberglass_Batts,out_R34.5_Graphite_Polystyrene_GPS_Foam_Board,out_R34.5_Mineral_Wool_Heavy_Density_Blanket,out_R34.5_Mineral_Wool_Light_Density_Blanket,out_R34.5_Polyiso_Insulation_Foam_Board,out_R34.5_Pure_Wool_Batts,out_R38.5_Blown_Cellulose,out_R38.5_Blown_Fiberglass,out_R38.5_Blown_Mineral_Wool,out_R38.5_Expanded_Polystyrene_EPS_Foam_Board,out_R38.5_Extruded_Polystyrene_XPS_Foam_Board,out_R38.5_Fiberglass_Batts,out_R38.5_Graphite_Polystyrene_GPS_Foam_Board,out_R38.5_Mineral_Wool_Heavy_Density_Blanket,out_R38.5_Mineral_Wool_Light_Density_Blanket,out_R38.5_Polyiso_Insulation_Foam_Board,out_R38.5_Pure_Wool_Batts
building_name,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice,90.1-2004|SmallOffice
