Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 3:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 3:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 3:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 3:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 3:Des Tot Cool Cap [W]
00:10:00,6.823837E-02,1.555851E+03,3.662196E-01,4.323381E+03,4.544805E+03,6.823837E-02,2.104411E+03,3.412748E-01,3.496313E+03,5.073615E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.179436E+03,2.945131E-01,3.466088E+03,3.603886E+03,5.172911E-02,1.595280E+03,2.216195E-01,2.236292E+03,3.494662E+03,1.265316E-01,5.041025E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,6.996567E+02,1.843136E-01,2.163372E+03,2.246559E+03,3.068637E-02,9.463404E+02,1.405247E-01,1.427717E+03,2.187632E+03,7.713233E-02,3.050570E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.179436E+03,2.962169E-01,3.485113E+03,3.622008E+03,5.172911E-02,1.595280E+03,2.221018E-01,2.241676E+03,3.504202E+03,1.274564E-01,5.067882E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,6.996567E+02,1.950743E-01,2.283518E+03,2.370849E+03,3.068637E-02,9.463404E+02,1.499479E-01,1.532926E+03,2.299359E+03,7.645283E-02,3.030842E+03,3.068637E-02,0.000000E+00,0.000000E+00
00:20:00,6.823837E-02,1.564765E+03,3.656349E-01,4.307938E+03,4.528912E+03,6.823837E-02,2.113325E+03,3.406891E-01,3.480860E+03,5.057654E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.186194E+03,2.926784E-01,3.438845E+03,3.576168E+03,5.172911E-02,1.602037E+03,2.198419E-01,2.209688E+03,3.467561E+03,1.265205E-01,5.040703E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.036653E+02,1.830725E-01,2.145506E+03,2.228404E+03,3.068637E-02,9.503490E+02,1.393192E-01,1.410249E+03,2.169906E+03,7.712644E-02,3.050399E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.186194E+03,2.943476E-01,3.457484E+03,3.593917E+03,5.172911E-02,1.602037E+03,2.202879E-01,2.214666E+03,3.476709E+03,1.274453E-01,5.067559E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.036653E+02,1.934679E-01,2.261574E+03,2.348509E+03,3.068637E-02,9.503490E+02,1.483770E-01,1.511378E+03,2.277421E+03,7.644691E-02,3.030670E+03,3.068637E-02,0.000000E+00,0.000000E+00
00:30:00,6.823837E-02,1.573680E+03,3.650575E-01,4.292578E+03,4.513104E+03,6.823837E-02,2.122239E+03,3.401109E-01,3.465490E+03,5.041778E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.192951E+03,2.908854E-01,3.412068E+03,3.548907E+03,5.172911E-02,1.608795E+03,2.180962E-01,2.183440E+03,3.440772E+03,1.265095E-01,5.040384E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.076739E+02,1.818592E-01,2.127950E+03,2.210554E+03,3.068637E-02,9.543576E+02,1.381356E-01,1.393025E+03,2.152394E+03,7.712059E-02,3.050229E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.192951E+03,2.925238E-01,3.430363E+03,3.566325E+03,5.172911E-02,1.608795E+03,2.185095E-01,2.188052E+03,3.449569E+03,1.274343E-01,5.067239E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.076739E+02,1.919159E-01,2.240237E+03,2.326777E+03,3.068637E-02,9.543576E+02,1.468548E-01,1.490373E+03,2.256004E+03,7.644105E-02,3.030500E+03,3.068637E-02,0.000000E+00,0.000000E+00
00:40:00,6.823837E-02,1.582594E+03,3.644869E-01,4.277293E+03,4.497375E+03,6.823837E-02,2.131153E+03,3.395396E-01,3.450197E+03,5.025982E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.199708E+03,2.891326E-01,3.385740E+03,3.522093E+03,5.172911E-02,1.615552E+03,2.163812E-01,2.157535E+03,3.414291E+03,1.264986E-01,5.040066E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.116825E+02,1.806727E-01,2.110694E+03,2.193001E+03,3.068637E-02,9.583662E+02,1.369731E-01,1.376037E+03,2.135091E+03,7.711478E-02,3.050060E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.199708E+03,2.907436E-01,3.403729E+03,3.539217E+03,5.172911E-02,1.615552E+03,2.167650E-01,2.161817E+03,3.422771E+03,1.274233E-01,5.066922E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.116825E+02,1.904146E-01,2.219465E+03,2.305615E+03,3.068637E-02,9.583662E+02,1.453778E-01,1.469873E+03,2.235075E+03,7.643522E-02,3.030331E+03,3.068637E-02,0.000000E+00,0.000000E+00
00:50:00,6.823837E-02,1.591508E+03,3.639226E-01,4.262078E+03,4.481716E+03,6.823837E-02,2.140067E+03,3.389746E-01,3.434975E+03,5.010258E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.206466E+03,2.874187E-01,3.359846E+03,3.495717E+03,5.172911E-02,1.622309E+03,2.146961E-01,2.131962E+03,3.388120E+03,1.264877E-01,5.039752E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.156911E+02,1.795121E-01,2.093726E+03,2.175739E+03,3.068637E-02,9.623748E+02,1.358310E-01,1.359276E+03,2.118000E+03,7.710903E-02,3.049893E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.206466E+03,2.890054E-01,3.377564E+03,3.512583E+03,5.172911E-02,1.622309E+03,2.150532E-01,2.135947E+03,3.396316E+03,1.274125E-01,5.066606E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.156911E+02,1.889605E-01,2.199220E+03,2.284990E+03,3.068637E-02,9.623748E+02,1.439430E-01,1.449846E+03,2.214612E+03,7.642944E-02,3.030163E+03,3.068637E-02,0.000000E+00,0.000000E+00
01:00:00,6.823837E-02,1.600422E+03,3.633641E-01,4.246929E+03,4.466124E+03,6.823837E-02,2.148981E+03,3.384155E-01,3.419819E+03,4.994601E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.213223E+03,2.857425E-01,3.334373E+03,3.469775E+03,5.172911E-02,1.629067E+03,2.130399E-01,2.106713E+03,3.362264E+03,1.264770E-01,5.039439E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.196997E+02,1.783766E-01,2.077039E+03,2.158764E+03,3.068637E-02,9.663834E+02,1.347086E-01,1.342736E+03,2.101123E+03,7.710331E-02,3.049727E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.213223E+03,2.873076E-01,3.351849E+03,3.486413E+03,5.172911E-02,1.629067E+03,2.133729E-01,2.110429E+03,3.370205E+03,1.274017E-01,5.066293E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.196997E+02,1.875507E-01,2.179471E+03,2.264873E+03,3.068637E-02,9.663834E+02,1.425479E-01,1.430260E+03,2.194592E+03,7.642371E-02,3.029997E+03,3.068637E-02,0.000000E+00,0.000000E+00
01:10:00,6.823837E-02,1.606365E+03,3.628243E-01,4.234959E+03,4.453794E+03,6.823837E-02,2.154924E+03,3.378758E-01,3.407849E+03,4.982226E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.217728E+03,2.841179E-01,3.311729E+03,3.446745E+03,5.172911E-02,1.633572E+03,2.114312E-01,2.084247E+03,3.339299E+03,1.264777E-01,5.039462E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.223721E+02,1.772735E-01,2.062050E+03,2.143537E+03,3.068637E-02,9.690558E+02,1.336160E-01,1.327865E+03,2.085974E+03,7.710373E-02,3.049739E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.217728E+03,2.856639E-01,3.328991E+03,3.463185E+03,5.172911E-02,1.633572E+03,2.117424E-01,2.087719E+03,3.347009E+03,1.274025E-01,5.066316E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.223721E+02,1.861911E-01,2.161618E+03,2.246706E+03,3.068637E-02,9.690558E+02,1.412009E-01,1.412548E+03,2.176512E+03,7.642413E-02,3.030009E+03,3.068637E-02,0.000000E+00,0.000000E+00
01:20:00,6.823837E-02,1.612307E+03,3.622897E-01,4.223047E+03,4.441525E+03,6.823837E-02,2.160867E+03,3.373411E-01,3.395938E+03,4.969912E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.222233E+03,2.825386E-01,3.289591E+03,3.424208E+03,5.172911E-02,1.638077E+03,2.098634E-01,2.062237E+03,3.316749E+03,1.264785E-01,5.039484E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.250445E+02,1.761996E-01,2.047387E+03,2.128624E+03,3.068637E-02,9.717282E+02,1.325499E-01,1.313290E+03,2.071087E+03,7.710414E-02,3.049751E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.222233E+03,2.840681E-01,3.306669E+03,3.440479E+03,5.172911E-02,1.638077E+03,2.101552E-01,2.065493E+03,3.324257E+03,1.274032E-01,5.066338E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.250445E+02,1.848767E-01,2.144269E+03,2.229037E+03,3.068637E-02,9.717282E+02,1.398969E-01,1.395316E+03,2.158882E+03,7.642454E-02,3.030021E+03,3.068637E-02,0.000000E+00,0.000000E+00
01:30:00,6.823837E-02,1.618250E+03,3.617601E-01,4.211191E+03,4.429313E+03,6.823837E-02,2.166809E+03,3.368116E-01,3.384082E+03,4.957655E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.226738E+03,2.810043E-01,3.267954E+03,3.402144E+03,5.172911E-02,1.642582E+03,2.083365E-01,2.040685E+03,3.294587E+03,1.264793E-01,5.039506E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.277169E+02,1.751546E-01,2.033046E+03,2.114014E+03,3.068637E-02,9.744007E+02,1.315102E-01,1.299008E+03,2.056444E+03,7.710455E-02,3.049763E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.226738E+03,2.825197E-01,3.284875E+03,3.418272E+03,5.172911E-02,1.642582E+03,2.086113E-01,2.043750E+03,3.301917E+03,1.274040E-01,5.066361E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.277169E+02,1.836057E-01,2.127405E+03,2.211835E+03,3.068637E-02,9.744007E+02,1.386343E-01,1.378548E+03,2.141667E+03,7.642495E-02,3.030033E+03,3.068637E-02,0.000000E+00,0.000000E+00
01:40:00,6.823837E-02,1.624193E+03,3.612356E-01,4.199393E+03,4.417159E+03,6.823837E-02,2.172752E+03,3.362870E-01,3.372282E+03,4.945455E+03,6.823837E-02,3.785059E+03,6.823837E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.231243E+03,2.795144E-01,3.246814E+03,3.380561E+03,5.172911E-02,1.647087E+03,2.068508E-01,2.019592E+03,3.272834E+03,1.264800E-01,5.039528E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.303894E+02,1.741380E-01,2.019024E+03,2.099710E+03,3.068637E-02,9.770731E+02,1.304969E-01,1.285023E+03,2.042057E+03,7.710495E-02,3.049775E+03,3.068637E-02,0.000000E+00,0.000000E+00,5.172911E-02,1.231243E+03,2.810180E-01,3.263603E+03,3.396570E+03,5.172911E-02,1.647087E+03,2.071107E-01,2.022491E+03,3.280008E+03,1.274048E-01,5.066383E+03,5.172911E-02,0.000000E+00,0.000000E+00,3.068637E-02,7.303894E+02,1.823765E-01,2.111008E+03,2.195093E+03,3.068637E-02,9.770731E+02,1.374120E-01,1.362228E+03,2.124865E+03,7.642536E-02,3.030044E+03,3.068637E-02,0.000000E+00,0.000000E+00
